Unnamed: 0,El-array,a,b,m,n,Rho,dev,ip,sp,vp,i,resist,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resInvError
,Mixed / non conventional,1,3,2,4,3826.91,1.38,0.0,28.54,81.303,0.2,406.515,,,9.424777960769378,3831.3136127221633,1,0.012688217729212196,5.1908823529411166,409.11044117647054,0.0,-1.25125
,Mixed / non conventional,1,3,4,6,2014.3,0.94,0.0,-14.48,-34.235,0.2,-171.17499999999998,,,-11.780972450961722,2016.6079592933725,2,0.002524019265264942,0.43259493670888105,-171.39129746835442,0.0,-1.60671
,Mixed / non conventional,1,3,6,8,2529.43,0.23,0.0,-15.52,-44.845,1.462,-30.67373461012312,,,-82.46680715673212,2529.5649568698027,3,0.005701703945901079,0.1753925719217655,-30.761430896084,0.0,-0.50891
,Mixed / non conventional,1,3,14,16,24261.99,0.1,0.0,-76.87,-47.824,3.321,-14.400481782595602,,,-1684.6790604875298,24260.190120070947,7,0.042782783724510186,0.6295598592842317,-14.715261712237718,0.0,0.13641
,Mixed / non conventional,1,3,20,22,-45815.59,0.12,0.0,22.99,49.746,5.784,8.600622406639005,,,-5327.355742324881,-45818.57516557634,10,0.022364835146174464,0.19452678198427265,8.697885797631141,0.0,0.97588
,Mixed / non conventional,1,3,5,7,2344.18,0.92,0.0,44.29,-42.81,0.688,-62.22383720930233,,,-37.699111843077524,2345.7833982589373,11,0.026738356938647765,1.6863077182339055,-63.066991068419284,0.0,-0.54732
,Mixed / non conventional,1,3,11,13,-11193.85,0.11,0.0,60.68,48.089,3.239,14.846866316764434,,,-753.9822368615518,-11194.273475898475,14,0.014914347477857828,0.22309498124092464,14.958413807384897,0.0,-1.99357
,Mixed / non conventional,1,3,13,15,29058.55,0.1,0.0,33.81,-46.768,2.124,-22.018832391713747,,,-1319.46891450771,29053.164874621743,15,0.046979653207093935,1.0593203613946045,-22.54849257241105,0.0,0.4835
,Mixed / non conventional,2,4,3,5,3256.04,5.43,0.0,-622.72,60.616,0.175,346.37714285714287,,,9.424777960769378,3264.527662114266,70,0.01932082234950097,6.757572168763886,349.7559289415248,0.0,-0.94024
,Mixed / non conventional,2,4,5,7,2140.95,1.95,0.0,32.93,-31.886,0.175,-182.2057142857143,,,-11.780972450961722,2146.5605004078025,71,-0.002229164377325297,-0.40571428571428214,-182.00285714285715,0.0,-1.76848
,Mixed / non conventional,2,4,7,9,31427.84,0.87,0.0,61.25,-64.078,0.168,-381.4166666666667,,,-82.46680715673212,31454.214696363575,72,0.04809356410844337,18.795662100456582,-390.81449771689495,0.0,0.05325
,Mixed / non conventional,2,4,9,11,-55906.31,0.83,0.0,187.5,37.996,0.168,226.16666666666666,,,-247.400421470196,-55953.72865584266,73,-0.02558144669311362,-5.7126022126022065,223.31036556036554,0.0,0.67106
,Mixed / non conventional,2,4,17,19,-298418.41,1.1,0.0,122.59,36.626,0.32,114.45625,,,-2603.594911662535,-297997.71010797506,77,0.027224674129443748,3.1590359707617353,116.03576798538086,0.0,1.06331
,Mixed / non conventional,2,4,21,23,-20850.02,0.04,0.0,188.66,36.769,9.395,3.9136774880255456,,,-5327.355742324881,-20849.55223944051,79,-0.04047403913653103,-0.15526032949200141,3.836047323279545,0.0,-0.72391
,Mixed / non conventional,2,4,6,8,2706.6,0.63,0.0,-19.26,-40.556,0.565,-71.78053097345133,,,-37.699111843077524,2706.0622653236323,80,0.0010941383139973057,0.07858081827913566,-71.8198213825909,0.0,-1.31853
,Mixed / non conventional,2,4,14,16,31913.25,0.28,0.0,-72.3,-45.585,1.885,-24.183023872679044,,,-1319.46891450771,31908.748258797856,84,0.03893519754390758,0.9602648627547055,-24.663156304056397,0.0,-0.4811
,Mixed / non conventional,2,4,22,24,32661.88,0.05,0.0,-143.73,-48.18,9.176,-5.250653879686138,,,-6220.353454107836,32660.922996830377,88,0.0417970803810564,0.2241463334198821,-5.3627270463960794,0.0,-2.75163
,Mixed / non conventional,2,4,30,32,-84673.34,0.04,0.0,-3.74,44.74,9.063,4.936555224539336,,,-17153.095888600008,-84677.20512589256,102,0.042221558638610275,0.2129240484849646,5.043017248781818,0.0,1.21874
,Mixed / non conventional,2,4,1,3,3873.31,1.57,0.0,267.58,69.99,0.17,411.7058823529411,,,9.424777960769378,3880.2365263191095,-1,0.012688217729212196,5.1908823529411166,409.11044117647054,0.0,
,Mixed / non conventional,3,5,4,6,3443.64,8.76,0.0,-529.18,70.163,0.192,365.43229166666663,,,9.424777960769378,3444.118208653447,139,0.02924641179690915,10.846189345991604,370.85538633966246,0.0,-1.02481
,Mixed / non conventional,3,5,6,8,2397.18,3.34,0.0,-36.36,-39.074,0.192,-203.51041666666666,,,-11.780972450961722,2397.550612233741,140,0.00684920390177401,1.3986742424242493,-204.20975378787878,0.0,-1.75362
,Mixed / non conventional,3,5,8,10,29399.32,1.84,0.0,87.06,-68.319,0.192,-355.828125,,,-82.46680715673212,29344.00936531657,141,0.006146990001388367,2.1940152214021964,-356.9251326107011,0.0,0.12127
,Mixed / non conventional,3,5,10,12,-49285.33,1.76,0.0,208.3,38.177,0.192,198.83854166666666,,,-247.400421470196,-49192.73901285246,142,-0.0240360152671428,-4.722530811849822,196.47727626074175,0.0,0.54976
,Mixed / non conventional,3,5,18,20,-282605.63,1.34,0.0,269.13,40.574,0.374,108.48663101604278,,,-2603.594911662535,-282455.24049677997,146,0.038274731009345836,4.233311040934524,110.60328653651004,0.0,0.01876
,Mixed / non conventional,3,5,21,23,-167951.63,0.36,0.0,201.1,46.322,1.248,37.11698717948718,,,-4523.893421169273,-167913.2941149063,156,0.029681580337998396,1.118287101088356,37.67613073003136,0.0,0.99751
