x,z,y,buried,remote,label
0.05,0.485,-0.005,False,False,1 1
0.1,0.485,-0.005,False,False,1 2
0.15,0.485,-0.005,False,False,1 3
0.2,0.485,-0.005,False,False,1 4
0.25,0.485,-0.005,False,False,1 5
0.3,0.485,-0.005,False,False,1 6
0.35,0.485,-0.005,False,False,1 7
0.4,0.485,-0.005,False,False,1 8
0.05,0.425,0.0,True,False,1 9
0.1,0.425,0.0,True,False,1 10
0.15,0.425,0.0,True,False,1 11
0.2,0.425,0.0,True,False,1 12
0.25,0.425,0.0,True,False,1 13
0.3,0.425,0.0,True,False,1 14
0.35,0.425,0.0,True,False,1 15
0.4,0.425,0.0,True,False,1 16
0.05,0.375,0.0,True,False,1 17
0.1,0.375,0.0,True,False,1 18
0.15,0.375,0.0,True,False,1 19
0.2,0.375,0.0,True,False,1 20
0.25,0.375,0.0,True,False,1 21
0.3,0.375,0.0,True,False,1 22
0.35,0.375,0.0,True,False,1 23
0.4,0.375,0.0,True,False,1 24
0.05,0.325,0.0,True,False,1 25
0.1,0.325,0.0,True,False,1 26
0.15,0.325,0.0,True,False,1 27
0.2,0.325,0.0,True,False,1 28
0.25,0.325,0.0,True,False,1 29
0.3,0.325,0.0,True,False,1 30
0.35,0.325,0.0,True,False,1 31
0.4,0.325,0.0,True,False,1 32
0.05,0.275,0.0,True,False,1 33
0.1,0.275,0.0,True,False,1 34
0.15,0.275,0.0,True,False,1 35
0.2,0.275,0.0,True,False,1 36
0.25,0.275,0.0,True,False,1 37
0.3,0.275,0.0,True,False,1 38
0.35,0.275,0.0,True,False,1 39
0.4,0.275,0.0,True,False,1 40
0.05,0.225,0.0,True,False,1 41
0.1,0.225,0.0,True,False,1 42
0.15,0.225,0.0,True,False,1 43
0.2,0.225,0.0,True,False,1 44
0.25,0.225,0.0,True,False,1 45
0.3,0.225,0.0,True,False,1 46
0.35,0.225,0.0,True,False,1 47
0.4,0.225,0.0,True,False,1 48
0.05,0.175,0.0,True,False,1 49
0.1,0.175,0.0,True,False,1 50
0.15,0.175,0.0,True,False,1 51
0.2,0.175,0.0,True,False,1 52
0.25,0.175,0.0,True,False,1 53
0.3,0.175,0.0,True,False,1 54
0.35,0.175,0.0,True,False,1 55
0.4,0.175,0.0,True,False,1 56
0.05,0.125,0.0,True,False,1 57
0.1,0.125,0.0,True,False,1 58
0.15,0.125,0.0,True,False,1 59
0.2,0.125,0.0,True,False,1 60
0.25,0.125,0.0,True,False,1 61
0.3,0.125,0.0,True,False,1 62
0.35,0.125,0.0,True,False,1 63
0.4,0.125,0.0,True,False,1 64
0.05,0.075,0.0,True,False,1 65
0.1,0.075,0.0,True,False,1 66
0.15,0.075,0.0,True,False,1 67
0.2,0.075,0.0,True,False,1 68
0.25,0.075,0.0,True,False,1 69
0.3,0.075,0.0,True,False,1 70
0.35,0.075,0.0,True,False,1 71
0.4,0.075,0.0,True,False,1 72
