index,resist,a,b,m,n,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
1.0,-137.5494806,1 72,1 65,1 71,1 1,,,,7.525488105557298,-1035.1269801808844,0,,,-137.5494806,
2.0,-183.3634571,1 72,1 65,1 71,1 2,,,,7.525046680883054,-1379.8185742455971,0,,,-183.3634571,
3.0,-257.7572734,1 72,1 65,1 71,1 3,,,,7.5245845407124206,-1939.5163946818245,0,,,-257.7572734,
4.0,-355.4541618,1 72,1 65,1 71,1 4,,,,7.524100367846867,-2674.47278955208,0,,,-355.4541618,
5.0,-492.4141576,1 72,1 65,1 71,1 5,,,,7.523592738670759,-3704.7235805380387,0,,,-492.4141576,
6.0,-706.7750023,1 72,1 65,1 71,1 6,,,,7.523060112661563,-5317.110828429414,0,,,-706.7750023,
7.0,-1342.300692,1 72,1 65,1 71,1 7,,,,7.522500820673164,-10097.458057160156,0,,,-1342.300692,
8.0,-2145.99642,1 72,1 65,1 71,1 8,,,,7.521913051825442,-16141.998480768672,0,,,-2145.99642,
9.0,-108.5505691,1 72,1 65,1 71,1 9,,,,7.5212948388072975,-816.4408351214249,0,,,-108.5505691,
10.0,-152.2050623,1 72,1 65,1 71,1 10,,,,7.520644041369752,-1144.6800948528069,0,,,-152.2050623,
11.0,-224.3391958,1 72,1 65,1 71,1 11,,,,7.51995832774975,-1687.0214036968916,0,,,-224.3391958,
12.0,-309.1684057,1 72,1 65,1 71,1 12,,,,7.51923515372265,-2324.709944559826,0,,,-309.1684057,
13.0,-423.1113541,1 72,1 65,1 71,1 13,,,,7.518471738930912,-3181.15075822164,0,,,-423.1113541,
14.0,-592.0070139,1 72,1 65,1 71,1 14,,,,7.51766504007633,-4450.510431876011,0,,,-592.0070139,
15.0,-829.2219904,1 72,1 65,1 71,1 15,,,,7.51681172049155,-6233.105576328051,0,,,-829.2219904,
16.0,-1053.672171,1 72,1 65,1 71,1 16,,,,7.515908115520665,-7919.303221117177,0,,,-1053.672171,
17.0,-57.00156343,1 72,1 65,1 71,1 17,,,,7.514950193035715,-428.36391010161606,0,,,-57.00156343,
18.0,-104.8472448,1 72,1 65,1 71,1 18,,,,7.513933508291611,-787.8152259547734,0,,,-104.8472448,
19.0,-166.9994538,1 72,1 65,1 71,1 19,,,,7.512853152171809,-1254.6423728923005,0,,,-166.9994538,
20.0,-244.4308913,1 72,1 65,1 71,1 20,,,,7.511703691694722,-1836.0924285424414,0,,,-244.4308913,
21.0,-344.9683849,1 72,1 65,1 71,1 21,,,,7.510479101428526,-2590.877845445002,0,,,-344.9683849,
22.0,-458.5494952,1 72,1 65,1 71,1 22,,,,7.509172684190236,-3443.327343705062,0,,,-458.5494952,
23.0,-577.5304527,1 72,1 65,1 71,1 23,,,,7.507776979070689,-4335.969837493333,0,,,-577.5304527,
24.0,-699.2492434,1 72,1 65,1 71,1 24,,,,7.506283654414926,-5248.763166095424,0,,,-699.2492434,
25.0,13.67570801,1 72,1 65,1 71,1 25,,,,7.504683382876283,102.63185865171506,0,,,13.67570801,
26.0,-37.35371597,1 72,1 65,1 71,1 26,,,,7.502965695025903,-280.26364950465126,0,,,-37.35371597,
