index,resist,a,b,m,n,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
1.0,-98.60918173,1 72,1 65,1 71,1 1,,,,7.525910034924181,-742.1238303174692,0,,,-98.60918173,
2.0,-133.1806533,1 72,1 65,1 71,1 2,,,,7.525488105557298,-1002.2494222995002,0,,,-133.1806533,
3.0,-194.8720858,1 72,1 65,1 71,1 3,,,,7.525046680883054,-1466.4215424460476,0,,,-194.8720858,
4.0,-264.2234885,1 72,1 65,1 71,1 4,,,,7.5245845407124206,-1988.1719768602059,0,,,-264.2234885,
5.0,-374.6642596,1 72,1 65,1 71,1 5,,,,7.524100367846867,-2819.0114934754342,0,,,-374.6642596,
6.0,-491.9274223,1 72,1 65,1 71,1 6,,,,7.523592738670759,-3701.061582369304,0,,,-491.9274223,
7.0,-683.0308481,1 72,1 65,1 71,1 7,,,,7.523060112661563,-5138.482129058509,0,,,-683.0308481,
8.0,-1245.425372,1 72,1 65,1 71,1 8,,,,7.522500820673164,-9368.71338295718,0,,,-1245.425372,
9.0,-77.39626877,1 72,1 65,1 71,1 9,,,,7.521913051825442,-582.1680042236529,0,,,-77.39626877,
10.0,-114.0049426,1 72,1 65,1 71,1 10,,,,7.5212948388072975,-857.4647863759022,0,,,-114.0049426,
11.0,-169.3982882,1 72,1 65,1 71,1 11,,,,7.520644041369752,-1273.984226769566,0,,,-169.3982882,
12.0,-237.7136414,1 72,1 65,1 71,1 12,,,,7.51995832774975,-1787.5966772656477,0,,,-237.7136414,
13.0,-319.6539346,1 72,1 65,1 71,1 13,,,,7.51923515372265,-2403.553102070081,0,,,-319.6539346,
14.0,-426.0393585,1 72,1 65,1 71,1 14,,,,7.518471738930912,-3203.164876554505,0,,,-426.0393585,
15.0,-563.7538963,1 72,1 65,1 71,1 15,,,,7.51766504007633,-4238.112957421326,0,,,-563.7538963,
16.0,-688.9885307,1 72,1 65,1 71,1 16,,,,7.51681172049155,-5178.997062850011,0,,,-688.9885307,
17.0,-37.3838389,1 72,1 65,1 71,1 17,,,,7.515908115520665,-280.97349817782714,0,,,-37.3838389,
18.0,-78.44689313,1 72,1 65,1 71,1 18,,,,7.514950193035715,-589.5244946703457,0,,,-78.44689313,
19.0,-128.8678818,1 72,1 65,1 71,1 19,,,,7.513933508291611,-968.3046951995826,0,,,-128.8678818,
20.0,-192.1131094,1 72,1 65,1 71,1 20,,,,7.512853152171809,-1443.3175795293178,0,,,-192.1131094,
21.0,-266.9725313,1 72,1 65,1 71,1 21,,,,7.511703691694722,-2005.4185489472948,0,,,-266.9725313,
