a,b,m,n
72,65,71,1
72,65,71,2
72,65,71,3
72,65,71,4
72,65,71,5
72,65,71,6
72,65,71,7
72,65,71,8
72,65,71,9
72,65,71,10
72,65,71,12
72,65,71,13
72,65,71,14
72,65,71,15
72,65,71,17
72,65,71,18
72,65,71,19
72,65,71,20
72,65,71,21
72,65,71,22
72,65,71,23
72,65,71,25
72,65,71,26
72,65,71,27
72,65,71,28
72,65,71,29
72,65,71,30
72,65,71,31
72,65,71,32
72,65,71,33
72,65,71,34
72,65,71,35
72,65,71,36
72,65,71,37
72,65,71,38
72,65,71,39
72,65,71,40
72,65,71,41
72,65,71,42
72,65,71,43
72,65,71,44
72,65,71,45
72,65,71,46
72,65,71,47
72,65,71,48
72,65,71,49
72,65,71,50
72,65,71,51
72,65,71,52
72,65,71,53
72,65,71,54
72,65,71,55
72,65,71,56
72,65,71,57
72,65,71,58
72,65,71,59
72,65,71,60
72,65,71,61
72,65,71,62
72,65,71,63
72,65,71,64
72,65,71,66
72,65,71,67
72,65,71,68
72,65,71,69
72,65,71,70
