x,z,y,buried,remote,label
0.06,0.487,0.0,False,False,1 1
0.11,0.487,0.0,False,False,1 2
0.16,0.487,0.0,False,False,1 3
0.21,0.487,0.0,False,False,1 4
0.26,0.487,0.0,False,False,1 5
0.31,0.487,0.0,False,False,1 6
0.36,0.487,0.0,False,False,1 7
0.41,0.487,0.0,False,False,1 8
0.06,0.435,0.0,True,False,1 9
0.11,0.435,0.0,True,False,1 10
0.16,0.435,0.0,True,False,1 11
0.21,0.435,0.0,True,False,1 12
0.26,0.435,0.0,True,False,1 13
0.31,0.435,0.0,True,False,1 14
0.36,0.435,0.0,True,False,1 15
0.41,0.435,0.0,True,False,1 16
0.06,0.385,0.0,True,False,1 17
0.11,0.385,0.0,True,False,1 18
0.16,0.385,0.0,True,False,1 19
0.21,0.385,0.0,True,False,1 20
0.26,0.385,0.0,True,False,1 21
0.31,0.385,0.0,True,False,1 22
0.36,0.385,0.0,True,False,1 23
0.41,0.385,0.0,True,False,1 24
0.06,0.335,0.0,True,False,1 25
0.11,0.335,0.0,True,False,1 26
0.16,0.335,0.0,True,False,1 27
0.21,0.335,0.0,True,False,1 28
0.26,0.335,0.0,True,False,1 29
0.31,0.335,0.0,True,False,1 30
0.36,0.335,0.0,True,False,1 31
0.41,0.335,0.0,True,False,1 32
0.06,0.285,0.0,True,False,1 33
0.11,0.285,0.0,True,False,1 34
0.16,0.285,0.0,True,False,1 35
0.21,0.285,0.0,True,False,1 36
0.26,0.285,0.0,True,False,1 37
0.31,0.285,0.0,True,False,1 38
0.36,0.285,0.0,True,False,1 39
0.41,0.285,0.0,True,False,1 40
0.06,0.235,0.0,True,False,1 41
0.11,0.235,0.0,True,False,1 42
0.16,0.235,0.0,True,False,1 43
0.21,0.235,0.0,True,False,1 44
0.26,0.235,0.0,True,False,1 45
0.31,0.235,0.0,True,False,1 46
0.36,0.235,0.0,True,False,1 47
0.41,0.235,0.0,True,False,1 48
0.06,0.185,0.0,True,False,1 49
0.11,0.185,0.0,True,False,1 50
0.16,0.185,0.0,True,False,1 51
0.21,0.185,0.0,True,False,1 52
0.26,0.185,0.0,True,False,1 53
0.31,0.185,0.0,True,False,1 54
0.36,0.185,0.0,True,False,1 55
0.41,0.185,0.0,True,False,1 56
0.06,0.135,0.0,True,False,1 57
0.11,0.135,0.0,True,False,1 58
0.16,0.135,0.0,True,False,1 59
0.21,0.135,0.0,True,False,1 60
0.26,0.135,0.0,True,False,1 61
0.31,0.135,0.0,True,False,1 62
0.36,0.135,0.0,True,False,1 63
0.41,0.135,0.0,True,False,1 64
0.06,0.085,0.0,True,False,1 65
0.11,0.085,0.0,True,False,1 66
0.16,0.085,0.0,True,False,1 67
0.21,0.085,0.0,True,False,1 68
0.26,0.085,0.0,True,False,1 69
0.31,0.085,0.0,True,False,1 70
0.36,0.085,0.0,True,False,1 71
0.41,0.085,0.0,True,False,1 72
