index,resist,a,b,m,n,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
1.0,-91.52127293,1 72,1 65,1 71,1 1,,,,7.834499291571701,-717.0233479338252,0,,,-91.52127293,
2.0,-1272.102241,1 72,1 65,1 71,1 7,,,,7.8337706673404774,-9965.357221403887,0,,,-1272.102241,
3.0,-1908.849897,1 72,1 65,1 71,1 8,,,,7.833000382948727,-14952.02197419264,0,,,-1908.849897,
4.0,-72.2107701,1 72,1 65,1 71,1 9,,,,7.832185200207671,-565.5681248728187,0,,,-72.2107701,
5.0,-143.3001552,1 72,1 65,1 71,1 11,,,,7.831321560016102,-1122.2295949714135,0,,,-143.3001552,
6.0,-740.1859654,1 72,1 65,1 71,1 15,,,,7.830405543418225,-5795.9562866285305,0,,,-740.1859654,
7.0,-978.2948897,1 72,1 65,1 71,1 16,,,,7.829432827033533,-7659.494123936329,0,,,-978.2948897,
8.0,-40.22716769,1 72,1 65,1 71,1 17,,,,7.828398631909419,-314.9143045099868,0,,,-40.22716769,
9.0,-68.42204846,1 72,1 65,1 71,1 18,,,,7.827297664663131,-535.5597401224256,0,,,-68.42204846,
10.0,-108.9145781,1 72,1 65,1 71,1 19,,,,7.826124049555088,-852.3789990155559,0,,,-108.9145781,
11.0,-249.2727031,1 72,1 65,1 71,1 21,,,,7.8248712498604185,-1950.526807862182,0,,,-249.2727031,
12.0,-479.5592968,1 72,1 65,1 71,1 23,,,,7.823531976566983,-3751.8474931747764,0,,,-479.5592968,
13.0,-632.3783416,1 72,1 65,1 71,1 24,,,,7.822098082009768,-4946.525412933878,0,,,-632.3783416,
14.0,4.532871663,1 72,1 65,1 71,1 25,,,,7.8205604355320375,35.44959678700211,0,,,4.532871663,
15.0,-25.07845453,1 72,1 65,1 71,1 26,,,,7.818908777615561,-196.0861482536497,0,,,-25.07845453,
16.0,-64.19234911,1 72,1 65,1 71,1 27,,,,7.81713154810973,-501.8000373750545,0,,,-64.19234911,
17.0,-115.205656,1 72,1 65,1 71,1 28,,,,7.815215683165132,-900.3570495605272,0,,,-115.205656,
18.0,-183.7674696,1 72,1 65,1 71,1 29,,,,7.813146374179121,-1435.802138797312,0,,,-183.7674696,
19.0,-256.4775372,1 72,1 65,1 71,1 30,,,,7.810906780406067,-2003.322134337329,0,,,-256.4775372,
20.0,-338.8515502,1 72,1 65,1 71,1 31,,,,7.80847768476258,-2645.914768183907,0,,,-338.8515502,
21.0,-404.2485794,1 72,1 65,1 71,1 32,,,,7.805837079618284,-3155.4985504635356,0,,,-404.2485794,
22.0,62.27855665,1 72,1 65,1 71,1 33,,,,7.802959665802279,485.95706558433227,0,,,62.27855665,
23.0,33.84631916,1 72,1 65,1 71,1 34,,,,7.799816243395348,263.9950699633112,0,,,33.84631916,
24.0,-7.462145685,1 72,1 65,1 71,1 35,,,,7.7963729667326165,-58.17767089235444,0,,,-7.462145685,
25.0,-60.70981021,1 72,1 65,1 71,1 36,,,,7.792590427872545,-473.08668592040493,0,,,-60.70981021,
