index,resist,a,b,m,n,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
1.0,-136.2669458,1 72,1 65,1 71,1 1,,,,7.833000382948727,-1067.3790386346534,0,,,-136.2669458,
2.0,-116.9500688,1 72,1 65,1 71,1 9,,,,7.832185200207671,-915.9745980186289,0,,,-116.9500688,
3.0,-152.6886214,1 72,1 65,1 71,1 10,,,,7.831321560016102,-1195.7536927389558,0,,,-152.6886214,
4.0,-206.9490361,1 72,1 65,1 71,1 11,,,,7.830405543418225,-1620.4948794824984,0,,,-206.9490361,
5.0,-933.5350165,1 72,1 65,1 71,1 16,,,,7.829432827033533,-7309.0497033703905,0,,,-933.5350165,
6.0,-76.09318457,1 72,1 65,1 71,1 17,,,,7.828398631909419,-595.687781985419,0,,,-76.09318457,
7.0,-113.2829536,1 72,1 65,1 71,1 18,,,,7.827297664663131,-886.6993981594219,0,,,-113.2829536,
8.0,-164.3710384,1 72,1 65,1 71,1 19,,,,7.826124049555088,-1286.388136672583,0,,,-164.3710384,
9.0,-303.0898952,1 72,1 65,1 71,1 21,,,,7.8248712498604185,-2371.6394070736874,0,,,-303.0898952,
10.0,-533.7650642,1 72,1 65,1 71,1 23,,,,7.823531976566983,-4175.928047743028,0,,,-533.7650642,
11.0,-639.4021631,1 72,1 65,1 71,1 24,,,,7.822098082009768,-5001.466433617407,0,,,-639.4021631,
12.0,-15.9329577,1 72,1 65,1 71,1 25,,,,7.8205604355320375,-124.60465860962553,0,,,-15.9329577,
13.0,-53.96983769,1 72,1 65,1 71,1 26,,,,7.818908777615561,-421.98523764082813,0,,,-53.96983769,
14.0,-101.6604804,1 72,1 65,1 71,1 27,,,,7.81713154810973,-794.6933485308308,0,,,-101.6604804,
15.0,-158.7761668,1 72,1 65,1 71,1 28,,,,7.815215683165132,-1240.869988888203,0,,,-158.7761668,
16.0,-222.5547227,1 72,1 65,1 71,1 29,,,,7.813146374179121,-1738.852624719945,0,,,-222.5547227,
17.0,-294.1162152,1 72,1 65,1 71,1 30,,,,7.810906780406067,-2297.31433953305,0,,,-294.1162152,
18.0,-376.6384767,1 72,1 65,1 71,1 31,,,,7.80847768476258,-2940.973140534921,0,,,-376.6384767,
19.0,-440.552958,1 72,1 65,1 71,1 32,,,,7.805837079618284,-3438.884615091916,0,,,-440.552958,
20.0,59.50378981,1 72,1 65,1 71,1 33,,,,7.802959665802279,464.30567184980663,0,,,59.50378981,
21.0,20.83642387,1 72,1 65,1 71,1 34,,,,7.799816243395348,162.52027735549657,0,,,20.83642387,
22.0,-29.85654963,1 72,1 65,1 71,1 35,,,,7.7963729667326165,-232.7727964152427,0,,,-29.85654963,
23.0,-86.13811904,1 72,1 65,1 71,1 36,,,,7.792590427872545,-671.2390819060498,0,,,-86.13811904,
24.0,-143.2613447,1 72,1 65,1 71,1 37,,,,7.788422521837801,-1115.7798835702486,0,,,-143.2613447,
25.0,-195.3701293,1 72,1 65,1 71,1 38,,,,7.783815032122417,-1520.7249492730402,0,,,-195.3701293,
26.0,-256.3414994,1 72,1 65,1 71,1 39,,,,7.7787038547351095,-1994.0046095113576,0,,,-256.3414994,
27.0,-304.625161,1 72,1 65,1 71,1 40,,,,7.773012751150003,-2367.8552607741226,0,,,-304.625161,
28.0,151.5257313,1 72,1 65,1 71,1 41,,,,7.76665048163229,1176.8473939808298,0,,,151.5257313,
29.0,106.8317131,1 72,1 65,1 71,1 42,,,,7.759507115522504,828.9614379629087,0,,,106.8317131,
30.0,46.81465878,1 72,1 65,1 71,1 43,,,,7.75144923666411,362.88145106492175,0,,,46.81465878,
31.0,-15.57159839,1 72,1 65,1 71,1 44,,,,7.7423136486573085,-120.56019874630717,0,,,-15.57159839,
32.0,-73.93395576,1 72,1 65,1 71,1 45,,,,7.731899017902341,-571.6498799303791,0,,,-73.93395576,
33.0,-124.7289632,1 72,1 65,1 71,1 46,,,,7.719954643633621,-962.9019386514469,0,,,-124.7289632,
34.0,-164.0543612,1 72,1 65,1 71,1 47,,,,7.706165166584749,-1264.2300037057526,0,,,-164.0543612,
35.0,-198.4507734,1 72,1 65,1 71,1 48,,,,7.690129444114096,-1526.1121357305544,0,,,-198.4507734,
36.0,267.2118479,1 72,1 65,1 71,1 49,,,,7.671330898300658,2049.8705051872857,0,,,267.2118479,
37.0,210.4183409,1 72,1 65,1 71,1 50,,,,7.649095156566453,1609.5099122309389,0,,,210.4183409,
38.0,132.7981215,1 72,1 65,1 71,1 51,,,,7.622528344171698,1012.2574451865071,0,,,132.7981215,
39.0,54.55568061,1 72,1 65,1 71,1 52,,,,7.590425203304197,414.1008130855581,0,,,54.55568061,
40.0,-6.688694034,1 72,1 65,1 71,1 53,,,,7.551128871738962,-50.50719063436555,0,,,-6.688694034,
41.0,-60.13123294,1 72,1 65,1 71,1 54,,,,7.502310814542789,-451.1231991775536,0,,,-60.13123294,
42.0,-99.8863836,1 72,1 65,1 71,1 55,,,,7.440614179554772,-743.2160421586073,0,,,-99.8863836,
43.0,-126.3472889,1 72,1 65,1 71,1 56,,,,7.361053916361021,-930.0492057789423,0,,,-126.3472889,
44.0,332.0038907,1 72,1 65,1 71,1 58,,,,7.2559627278342935,2409.0078564151704,0,,,332.0038907,
45.0,223.3205629,1 72,1 65,1 71,1 59,,,,7.113039970391984,1588.4880901181373,0,,,223.3205629,
46.0,117.4487055,1 72,1 65,1 71,1 60,,,,6.911503837897544,811.7471788193484,0,,,117.4487055,
47.0,50.01785492,1 72,1 65,1 71,1 61,,,,6.613879270715353,330.81205382103593,0,,,50.01785492,
48.0,-8.073046107,1 72,1 65,1 71,1 62,,,,6.1465943222409,-49.6217393644752,0,,,-8.073046107,
49.0,-41.07124415,1 72,1 65,1 71,1 63,,,,5.347391750791137,-219.62403216243874,0,,,-41.07124415,
50.0,-67.14682628,1 72,1 65,1 71,1 64,,,,3.7915773405394053,-254.59238501238386,0,,,-67.14682628,
