PRD_MALM_11_080622,PRD_MALM2_11_080622,PRD_MALM_12_150622,PRD_MALM2_12_150622,PRD_MALM_13_150622,PRD_MALM2_13_150622,PRD_MALM_14_220622,PRD_MALM2_14_220622,PRD_MALM_15_220622,PRD_MALM2_15_220622,PRD_MALM_16_230622,PRD_MALM2_16_230622,PRD_MALM_17_230622,PRD_MALM2_17_230622,PRD_MALM_18_290622,PRD_MALM2_18_290622,PRD_MALM_19_290622,PRD_MALM2_19_290622,PRD_MALM_20_050722,PRD_MALM2_20_050722,PRD_MALM_21_050722,PRD_MALM2_21_050722,PRD_MALM_22_070722,PRD_MALM2_22_070722,PRD_MALM_23_110722,PRD_MALM2_23_110722,PRD_MALM_24_110722,PRD_MALM2_24_110722,PRD_MALM_25_120722,PRD_MALM2_25_120722
2022-06-08 12:05:00,2022-06-08 12:15:00,2022-06-15 17:05:00,2022-06-15 17:15:00,2022-06-15 18:25:00,2022-06-15 18:35:00,2022-06-22 16:44:00,2022-06-22 16:58:00,2022-06-22 17:52:00,2022-06-22 18:00:00,2022-06-23 11:30:00,2022-06-23 11:44:00,2022-06-23 16:10:00,2022-06-23 16:26:00,2022-06-29 10:14:00,2022-06-29 10:24:00,2022-06-29 14:50:00,2022-06-29 15:02:00,2022-07-05 17:15:00,2022-07-05 17:55:00,2022-07-05 19:15:00,2022-07-05 19:35:00,2022-07-07 13:50:00,2022-07-07 14:20:00,2022-07-11 12:05:00,2022-07-11 12:15:00,2022-07-11 16:30:00,2022-07-11 16:40:00,2022-07-12 12:40:00,2022-07-12 12:50:00
Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil
1.0635823114360682e-38,6.051456654238068e-22,4.171738341454139e-11,3.069582902208043e-42,5.004573837466028e-36,2.802406672122751e-25,1.0872155620993221e-07,0.00023853239061515913,0.014575627770296085,9.340539885354359e-38,0.0002530686371765738,2.654324006468506e-22,0.006860274240445997,4.342764355875059e-06,0.0007965985888187448,8.933442024555012e-25,0.009901921582098584,2.674578214778482e-27,1.8172041257468902e-33,7.385855084827058e-33,1.3372012805785644e-05,1.7131016855053217e-28,7.743629152772623e-23,2.843746726449775e-30,8.125204718680275e-48,6.579912157364939e-28,1.9029353313647264e-20,1.1248706905067307e-21,0.00736515299468847,5.0313640240076365e-24
3.216684257023237e-36,1.3897843115387712e-28,9.750912871104373e-06,3.6678341276716363e-31,4.698948276176538e-46,5.593389775521286e-25,0.003923030872773149,0.0004219498590416845,0.004179508900238215,3.6769789309732514e-34,2.761733375459069e-10,1.924631761749446e-21,2.6156636528586115e-05,0.0006727262682517701,2.4669501423367068e-05,2.672777312643114e-24,7.657583968261594e-07,6.339554484041681e-24,4.111005658298076e-25,2.682579362133357e-29,6.491407513312364e-18,1.4827615211611285e-30,9.524917729470286e-25,5.2887650247305876e-27,7.83241093653885e-38,2.589670459842374e-22,2.0108050096565166e-26,4.278969330861685e-23,0.0003866118976164338,2.198637483763088e-26
2.9865818118216253e-36,1.4102452257583366e-28,3.6939590545883134e-10,4.644022983909606e-30,4.617919309573583e-47,3.5882865459386423e-25,0.0036452298192075063,0.0002260726935347623,0.004008568081476366,1.2411457103157123e-34,0.00012077763462612284,1.243306715364818e-21,3.0918277843015045e-05,0.0004104470586567478,6.220011834394936e-09,6.4533454293781006e-24,5.913499696599278e-07,7.234373250877571e-24,2.9964427637736027e-30,4.238514528538893e-30,1.72130199463215e-11,1.2630196148243446e-30,1.4765744290898424e-29,2.8835259475081058e-27,4.311378996405019e-38,2.0496365228476306e-22,1.0292442158262924e-24,1.3921274173910978e-24,0.0002406666269606346,4.6613032934365445e-34
2.6631737850586807e-36,1.6750079892691845e-28,9.238035982647185e-06,1.5996816803218995e-30,7.358648246785911e-48,1.0402483808531978e-25,9.272492218072313e-08,0.00015174114431744265,0.0033941018309073356,9.189329512338565e-36,6.624732613589331e-05,2.9746260044535165e-22,3.497036127203847e-05,0.0002300171811622067,1.6611718653621195e-07,5.768279774059668e-26,2.2231641238408977e-07,5.93002497486026e-24,1.7121836247934877e-26,9.497929206543109e-32,1.60400606487856e-12,4.647082404852925e-31,2.690277131944064e-26,5.600118962740006e-28,8.545779842443089e-39,8.967022304255969e-23,2.0387815320303482e-24,2.5151795834888323e-26,7.181505392649015e-05,3.4072309899895016e-28
2.798387562587455e-36,3.1206276975460254e-28,1.995515901117132e-06,2.9248163617195024e-32,4.3847663396687795e-50,1.1923648760227126e-26,0.0020771571036194885,8.031612341405271e-05,0.0024091716306333883,1.6181952521648352e-37,2.2719316546951083e-05,2.764220834486351e-23,2.6833870284211275e-05,8.695185066066543e-05,1.060892182526064e-07,1.3455235788529094e-28,4.937478123165174e-08,2.458098395322015e-24,6.486708877139229e-28,2.662748526444425e-33,5.2438867886475504e-14,6.693029146964765e-32,8.704584570755022e-28,7.651881276013839e-29,7.779345188257078e-40,2.0146972579206264e-23,5.089505523275686e-25,2.688587248907653e-23,2.8533405423153934e-05,1.1429731422703464e-24
5.419682747102261e-36,1.1962864226772592e-27,5.393168169043928e-07,7.759649201830343e-34,1.7622840968370188e-52,6.4763718092745955e-28,0.0011391971647039547,4.315254527194439e-05,0.0015890056534807683,4.062224118231212e-39,7.069887144548028e-06,1.8384801770932817e-24,1.6357101745082367e-05,1.3218987902933835e-09,6.173940858278731e-08,5.585817546759992e-30,1.3541994940500534e-08,1.032811490195352e-24,7.738693405209072e-29,2.9346095647203775e-34,1.6570592159046102e-15,6.518089726686691e-33,9.601997696692725e-29,1.953163905652567e-29,6.912813004746932e-41,3.606986011444048e-24,2.360518790418036e-25,2.7310751376417826e-23,2.0722105611610964e-05,3.090474760822531e-24
2.4805933392595744e-35,1.635556981115362e-26,3.112229656463632e-07,3.67176237704358e-35,1.9718131861525083e-54,2.6233657514419703e-29,0.0005543565290311314,2.6467027368623643e-05,0.0009706851897847906,2.045878241683429e-40,2.82657833324968e-06,1.3670329631351122e-25,1.041026210182802e-05,3.267974084656399e-05,4.862576998885673e-08,1.5285838426087244e-30,6.087334127517533e-09,5.531257272548212e-25,2.8964580378300896e-29,9.416476719972405e-35,9.640989328000798e-17,3.995741086081341e-34,2.53904217258704e-29,7.712963277376634e-30,7.222804654125032e-42,6.440152917111125e-25,3.097217224505526e-25,1.6148552607922424e-23,1.983409712479754e-05,5.948962875115013e-24
1.0868250089506854e-35,9.919997155727703e-30,2.6785543292871113e-07,8.337442733180542e-36,1.4879664168089303e-55,2.1947777275615416e-30,0.00032397847438191997,2.0218431078055107e-05,0.0006990847172318757,3.2550499284339115e-41,1.673521811303407e-06,1.6971177573399704e-26,7.970034359474387e-06,2.540780656505909e-05,4.413688701580899e-08,1.272083452095456e-30,4.189700559164809e-09,4.1075187688745175e-25,2.048525743803703e-29,4.397075448692224e-35,2.5643444140875983e-17,2.1563229197905212e-35,1.1312798393971461e-29,3.795584048879279e-30,1.5618639195984867e-42,1.938349062892374e-25,1.3906958873375374e-24,2.3754130921320992e-24,2.116114326298696e-05,8.795389187529382e-24
