filename,PRD_MALM_11_080622,PRD_MALM2_11_080622,PRD_MALM_12_150622,PRD_MALM2_12_150622,PRD_MALM_13_150622,PRD_MALM2_13_150622,PRD_MALM_14_220622,PRD_MALM2_14_220622,PRD_MALM_15_220622,PRD_MALM2_15_220622,PRD_MALM_16_230622,PRD_MALM2_16_230622,PRD_MALM_17_230622,PRD_MALM2_17_230622,PRD_MALM_18_290622,PRD_MALM2_18_290622,PRD_MALM_19_290622,PRD_MALM2_19_290622,PRD_MALM_20_050722,PRD_MALM2_20_050722,PRD_MALM_21_050722,PRD_MALM2_21_050722,PRD_MALM_22_070722,PRD_MALM2_22_070722,PRD_MALM_23_110722,PRD_MALM2_23_110722,PRD_MALM_24_110722,PRD_MALM2_24_110722,PRD_MALM_25_120722,PRD_MALM2_25_120722
datetime,2022-06-08 12:05:00,2022-06-08 12:15:00,2022-06-15 17:05:00,2022-06-15 17:15:00,2022-06-15 18:25:00,2022-06-15 18:35:00,2022-06-22 16:44:00,2022-06-22 16:58:00,2022-06-22 17:52:00,2022-06-22 18:00:00,2022-06-23 11:30:00,2022-06-23 11:44:00,2022-06-23 16:10:00,2022-06-23 16:26:00,2022-06-29 10:14:00,2022-06-29 10:24:00,2022-06-29 14:50:00,2022-06-29 15:02:00,2022-07-05 17:15:00,2022-07-05 17:55:00,2022-07-05 19:15:00,2022-07-05 19:35:00,2022-07-07 13:50:00,2022-07-07 14:20:00,2022-07-11 12:05:00,2022-07-11 12:15:00,2022-07-11 16:30:00,2022-07-11 16:40:00,2022-07-12 12:40:00,2022-07-12 12:50:00
injection,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil
0,1.7794312473491507e-43,7.610495006086899e-24,0.0031053772425096247,4.3101169554788324e-35,0.0006424652941815117,5.7897549425714055e-25,5.1090954565310455e-40,8.421114130830606e-26,1.1999213457448755e-23,9.509050181851967e-22,0.0063487422444760185,2.7469410791299915e-38,8.571780564749916e-29,0.0002499682769063217,1.785595481390909e-22,1.9480340598927554e-24,0.0011750208767600735,0.0009852329900495763,2.98169582816564e-09,8.020067374130604e-21,0.005154149727185205,1.5237580360982227e-24,9.995455888215536e-05,2.6695100217962677e-27,0.006219649514688492,8.114268790842749e-24,0.0013191917383528705,4.701395564806623e-27,0.004500850724100206,6.32336926461189e-24
1,5.096059408817189e-42,7.269980432735076e-28,0.00025548586584919823,1.55945440253533e-29,5.877714309643485e-05,3.656860560426033e-25,3.8042919470459966e-45,2.3953111754575634e-30,3.337339988374582e-27,8.508189495834405e-22,9.990804986585386e-05,3.97017824119362e-39,6.032812592406754e-34,0.002178903132971856,3.709794050086321e-34,4.4330172006321014e-33,0.00013780933539587855,0.001695545839461882,5.688520882404571e-05,5.708355417156893e-21,0.0007524752293125348,3.9676830646992976e-27,2.267242732535262e-08,3.371025687812141e-32,0.00043270181085308787,2.3493542769898963e-24,5.8306665902689876e-05,1.3911521137561225e-27,2.6468714727503545e-05,7.214468205612273e-26
2,4.480972091682548e-42,8.027757219858197e-28,0.00022699579272461907,1.1333901412256563e-36,5.0277026385147085e-05,1.7468495132536462e-25,7.12193028877417e-39,7.034709115213057e-29,1.153344752169263e-27,1.109441821927247e-22,6.762052308293108e-05,1.4479164018349165e-39,2.8451631362606043e-34,0.0005971270072896665,5.376926712235748e-28,8.813217118995727e-28,0.000136888574017128,8.76204638073229e-11,4.8221196893998594e-05,2.164789880182512e-28,0.0006455078199889654,7.082591045218516e-28,3.2353987702250134e-05,8.196357705035056e-33,0.00036360440756911063,5.0175673829542175e-25,4.829025833646552e-05,7.672534156924453e-28,2.1194031857512668e-05,2.5806268718967396e-26
3,3.495428116895758e-42,1.134022657346972e-27,0.00013273095272703137,3.1119506414096256e-30,2.945422981198717e-05,2.0740741859352927e-25,1.2501861052593848e-46,1.7047994039862784e-24,9.239761571690577e-29,1.768291822607934e-23,2.7262722815912776e-05,4.3400714609078865e-40,4.569184942163731e-35,0.0001795035147694037,2.2674488987825455e-29,1.990510039085783e-28,5.291835663689446e-05,0.0004162140513137398,2.5622286418582207e-05,2.6502802944058013e-22,0.00043004640807946606,8.230865094019829e-29,1.4256902573999405e-05,1.5997188744325275e-33,0.0002423492693622752,8.165220008619356e-26,3.2420865102330915e-05,2.3590754557861417e-28,1.2617601352145945e-05,3.224531133553965e-27
4,2.871743326204649e-42,2.4189192239374645e-27,4.1799629215200604e-05,3.8281607340637214e-38,9.989734302035235e-06,2.821965784932926e-25,7.265631007745687e-41,1.0542640067345944e-26,2.8075799701501183e-30,1.2395864670628073e-24,7.18507333075318e-06,7.731131757409551e-41,3.522263701408685e-36,4.26309186693439e-05,8.163301898851119e-31,2.2659408669246408e-29,1.0420990351411877e-05,0.00022626144506910492,9.9400438985952e-06,2.867969156313237e-23,0.00022484394888554668,6.937994728796889e-30,5.086635455737337e-06,2.081790393401694e-34,0.000132402463255381,6.491116103001592e-27,2.0144597371690372e-05,5.416970017809574e-29,6.278603312862021e-06,2.1948223248768163e-28
5,3.7511934566960524e-42,7.913603385842387e-27,1.1413279135771666e-05,1.2155734758579339e-32,2.92552782193307e-06,3.4736471529652663e-25,7.988907071598064e-42,2.601299116641159e-28,1.203325977143048e-31,1.0423683478934165e-25,1.7212149896223962e-06,9.412202720909764e-42,2.8213550336149267e-37,1.1215000552361303e-05,9.150915382354404e-32,3.862143831325374e-30,2.493331706304937e-06,0.00012383238279328239,4.9683522174819985e-06,5.655111489674285e-24,0.00010987512537233307,1.0312330467641624e-30,2.0578492255953458e-06,2.8282577751776553e-35,6.612726906939308e-05,4.642461232812102e-28,1.323595826039999e-05,1.1388269204382177e-29,3.081498878957282e-06,1.1952731623454945e-29
6,1.0001576026268727e-41,3.578665840235368e-26,3.54174483712963e-06,8.707914970159616e-34,9.036194713733692e-07,3.4177114143291754e-25,9.943120751366338e-43,1.9240278464153172e-29,9.927995805206903e-33,1.2026299060529392e-26,4.847246356098148e-07,1.1493089118346316e-42,4.14066456312826e-38,3.7310863944322466e-06,2.1179003070046284e-32,9.606285969530527e-31,1.033911917776489e-06,8.363594724779895e-05,3.307382515897421e-06,2.076047390935727e-24,5.905224151623944e-05,2.2616459551335177e-31,9.444673733661048e-07,4.857977212669028e-36,3.115969599742801e-05,3.7223149194042486e-29,9.29387863824039e-06,2.134879190401267e-30,1.5412135276480567e-06,6.03599774676898e-31
7,5.512680426529418e-48,1.0662618087599593e-25,1.5024522001042018e-06,1.3969791987961321e-34,4.0283181666499555e-07,3.1189050474609677e-25,1.6164821092531898e-43,4.328731029551808e-30,2.1563368016584698e-33,2.9519824718081506e-27,2.023503724962585e-07,1.9552198651795077e-43,1.3473896458619874e-38,3.24272157011516e-06,8.887475691936028e-33,3.964918121544475e-31,6.704734258728073e-07,0.00012504327412711833,2.654037668940055e-06,1.154046678571625e-24,4.122047793537555e-05,7.586116600334363e-32,5.33431330115305e-07,1.3179828628299207e-36,1.7066048471986145e-05,6.161027980880068e-30,7.24663158701322e-06,4.2429764817506875e-31,9.001189736191651e-07,5.499858299841988e-32
8,8.698559206991242e-42,4.1980610303839375e-26,1.3668389975530175e-06,1.1577558960541453e-34,3.6205600222494543e-07,3.6883436139674146e-25,1.4115932519697363e-43,4.1370769156753975e-30,1.651870870415004e-33,2.1797832123235966e-27,1.7472974792198812e-07,1.2065786035209192e-43,1.252736701739983e-38,1.6978438721144077e-06,7.990211257144027e-33,3.5286530934430353e-31,6.603799431020502e-07,9.533773570353139e-05,2.612013699803516e-06,1.0563290031962279e-24,4.0416949205705377e-05,5.558405715346561e-32,4.754029044069226e-07,9.401558474100427e-37,1.4544674638048818e-05,3.8214832339582625e-30,6.885986132394684e-06,1.9607131748763726e-31,7.735030286195585e-07,2.4270127702264495e-32
9,5.724811816609234e-47,1.2101747687386878e-26,1.6329683457407044e-06,1.6957222614467455e-34,4.184370696256348e-07,1.160501603850966e-24,2.668787110003026e-43,6.144195239730919e-30,1.9801795448929496e-33,1.1516741639588193e-26,2.025681114103425e-07,3.215059960733142e-43,1.6942026094968947e-38,7.191318696660839e-06,1.4168988522805937e-32,1.0468265996306788e-30,7.793939263131229e-07,0.0003138626017444718,2.7892210774364007e-06,2.0438666546108492e-24,4.427610110259112e-05,1.7497082416066967e-31,5.224981077746728e-07,1.934331055575769e-36,1.5425091957867027e-05,9.971282986838824e-30,7.177155899255525e-06,1.9904949120016307e-31,8.068330046906046e-07,2.898555716903087e-32
10,5.887336589076286e-42,6.701899259005279e-28,0.00014465485477490678,1.0704557820494762e-29,7.0591664462211e-05,1.5932518546973812e-25,7.047186631148512e-38,3.270972241720505e-21,1.0248242777911092e-26,6.2806121011351765e-22,0.00014734647002106685,9.154432375753132e-46,1.3006494684608631e-33,0.0014135775154505315,1.2987178332008522e-33,1.4525673997525773e-28,2.0397169783275774e-06,0.0003799577445472733,4.3495464978843525e-08,7.239678979097389e-21,0.0008771202337739148,7.001095479112843e-27,1.7144620217607342e-09,5.147395134955556e-32,0.0005307387343504503,2.715288765669374e-24,7.323089101298924e-05,3.0125822903958447e-27,3.371979055464616e-05,2.4785990382744747e-25
