3406
1	1 1	1 3	1 2	1 4
2	1 1	1 3	1 6	1 8
3	1 1	1 3	1 8	1 10
4	1 1	1 3	1 10	1 12
5	1 1	1 3	1 12	1 14
6	1 1	1 3	1 14	1 16
7	1 1	1 3	1 16	1 18
8	1 1	1 3	1 18	1 20
9	1 1	1 3	1 20	1 22
10	1 1	1 3	1 5	1 7
11	1 1	1 3	1 9	1 11
12	1 1	1 3	1 11	1 13
13	1 1	1 3	1 13	1 15
14	1 1	1 3	1 15	1 17
15	1 1	1 3	1 17	1 19
16	1 1	1 3	1 19	1 21
17	1 1	1 3	1 24	1 26
18	1 1	1 3	1 26	1 28
19	1 1	1 3	1 28	1 30
20	1 1	1 3	1 30	1 32
21	1 1	1 3	1 34	1 36
22	1 1	1 3	1 36	1 38
23	1 1	1 3	1 38	1 40
24	1 1	1 3	1 25	1 27
25	1 1	1 3	1 27	1 29
26	1 1	1 3	1 29	1 31
27	1 1	1 3	1 33	1 35
28	1 1	1 3	1 35	1 37
29	1 1	1 3	1 37	1 39
30	1 1	1 3	1 41	1 43
31	1 1	1 3	1 43	1 45
32	1 1	1 3	1 42	1 44
33	1 1	1 3	1 44	1 46
34	1 1	1 3	1 46	1 48
35	1 1	1 3	1 50	1 52
36	1 1	1 3	1 52	1 54
37	1 1	1 3	1 54	1 56
38	1 1	1 3	1 56	1 58
39	1 1	1 3	1 58	1 60
40	1 1	1 3	1 60	1 62
41	1 1	1 3	1 45	1 47
42	1 1	1 3	1 49	1 51
43	1 1	1 3	1 51	1 53
44	1 1	1 3	1 53	1 55
45	1 1	1 3	1 55	1 57
46	1 1	1 3	1 57	1 59
47	1 1	1 3	1 59	1 61
48	1 1	1 3	1 61	1 63
49	1 1	1 3	1 63	1 65
50	1 1	1 3	1 62	1 64
51	1 1	1 3	1 64	1 66
52	1 1	1 3	1 66	1 68
53	1 1	1 3	1 68	1 70
54	1 1	1 3	1 70	1 72
55	1 1	1 3	1 65	1 67
56	1 1	1 3	1 67	1 69
57	1 1	1 3	1 69	1 71
58	1 2	1 4	1 3	1 5
59	1 2	1 4	1 5	1 7
60	1 2	1 4	1 7	1 9
61	1 2	1 4	1 9	1 11
62	1 2	1 4	1 11	1 13
63	1 2	1 4	1 13	1 15
64	1 2	1 4	1 15	1 17
65	1 2	1 4	1 17	1 19
66	1 2	1 4	1 19	1 21
67	1 2	1 4	1 6	1 8
68	1 2	1 4	1 10	1 12
69	1 2	1 4	1 12	1 14
70	1 2	1 4	1 14	1 16
71	1 2	1 4	1 16	1 18
72	1 2	1 4	1 18	1 20
73	1 2	1 4	1 20	1 22
74	1 2	1 4	1 24	1 26
75	1 2	1 4	1 23	1 25
76	1 2	1 4	1 25	1 27
77	1 2	1 4	1 27	1 29
78	1 2	1 4	1 29	1 31
79	1 2	1 4	1 33	1 35
80	1 2	1 4	1 35	1 37
81	1 2	1 4	1 37	1 39
82	1 2	1 4	1 41	1 43
83	1 2	1 4	1 26	1 28
84	1 2	1 4	1 28	1 30
85	1 2	1 4	1 30	1 32
86	1 2	1 4	1 34	1 36
87	1 2	1 4	1 36	1 38
88	1 2	1 4	1 38	1 40
89	1 2	1 4	1 42	1 44
90	1 2	1 4	1 44	1 46
91	1 2	1 4	1 43	1 45
92	1 2	1 4	1 45	1 47
93	1 2	1 4	1 49	1 51
94	1 2	1 4	1 51	1 53
95	1 2	1 4	1 53	1 55
96	1 2	1 4	1 57	1 59
97	1 2	1 4	1 59	1 61
98	1 2	1 4	1 61	1 63
99	1 2	1 4	1 46	1 48
100	1 2	1 4	1 50	1 52
101	1 2	1 4	1 52	1 54
102	1 2	1 4	1 54	1 56
103	1 2	1 4	1 56	1 58
104	1 2	1 4	1 58	1 60
105	1 2	1 4	1 60	1 62
106	1 2	1 4	1 62	1 64
107	1 2	1 4	1 64	1 66
108	1 2	1 4	1 63	1 65
109	1 2	1 4	1 65	1 67
110	1 2	1 4	1 67	1 69
111	1 2	1 4	1 69	1 71
112	1 2	1 4	1 1	1 3
113	1 2	1 4	1 66	1 68
114	1 2	1 4	1 68	1 70
115	1 2	1 4	1 70	1 72
116	1 3	1 5	1 4	1 6
117	1 3	1 5	1 6	1 8
118	1 3	1 5	1 8	1 10
119	1 3	1 5	1 10	1 12
120	1 3	1 5	1 12	1 14
121	1 3	1 5	1 14	1 16
122	1 3	1 5	1 16	1 18
123	1 3	1 5	1 18	1 20
124	1 3	1 5	1 20	1 22
125	1 3	1 5	1 9	1 11
126	1 3	1 5	1 11	1 13
127	1 3	1 5	1 13	1 15
128	1 3	1 5	1 15	1 17
129	1 3	1 5	1 17	1 19
130	1 3	1 5	1 19	1 21
131	1 3	1 5	1 21	1 23
132	1 3	1 5	1 23	1 25
133	1 3	1 5	1 25	1 27
134	1 3	1 5	1 24	1 26
135	1 3	1 5	1 26	1 28
136	1 3	1 5	1 28	1 30
137	1 3	1 5	1 30	1 32
138	1 3	1 5	1 34	1 36
139	1 3	1 5	1 36	1 38
140	1 3	1 5	1 38	1 40
141	1 3	1 5	1 40	1 42
142	1 3	1 5	1 42	1 44
143	1 3	1 5	1 27	1 29
144	1 3	1 5	1 29	1 31
145	1 3	1 5	1 33	1 35
146	1 3	1 5	1 35	1 37
147	1 3	1 5	1 37	1 39
148	1 3	1 5	1 41	1 43
149	1 3	1 5	1 43	1 45
150	1 3	1 5	1 45	1 47
151	1 3	1 5	1 44	1 46
152	1 3	1 5	1 46	1 48
153	1 3	1 5	1 48	1 50
154	1 3	1 5	1 50	1 52
155	1 3	1 5	1 52	1 54
156	1 3	1 5	1 54	1 56
157	1 3	1 5	1 56	1 58
158	1 3	1 5	1 58	1 60
159	1 3	1 5	1 60	1 62
160	1 3	1 5	1 62	1 64
161	1 3	1 5	1 47	1 49
162	1 3	1 5	1 49	1 51
163	1 3	1 5	1 51	1 53
164	1 3	1 5	1 53	1 55
165	1 3	1 5	1 55	1 57
166	1 3	1 5	1 59	1 61
167	1 3	1 5	1 61	1 63
168	1 3	1 5	1 63	1 65
169	1 3	1 5	1 65	1 67
170	1 3	1 5	1 64	1 66
171	1 3	1 5	1 66	1 68
172	1 3	1 5	1 68	1 70
173	1 3	1 5	1 70	1 72
174	1 3	1 5	1 2	1 4
175	1 3	1 5	1 67	1 69
176	1 3	1 5	1 69	1 71
177	1 4	1 6	1 5	1 7
178	1 4	1 6	1 7	1 9
179	1 4	1 6	1 9	1 11
180	1 4	1 6	1 11	1 13
181	1 4	1 6	1 13	1 15
182	1 4	1 6	1 17	1 19
183	1 4	1 6	1 19	1 21
184	1 4	1 6	1 21	1 23
185	1 4	1 6	1 23	1 25
186	1 4	1 6	1 12	1 14
187	1 4	1 6	1 14	1 16
188	1 4	1 6	1 16	1 18
189	1 4	1 6	1 18	1 20
190	1 4	1 6	1 20	1 22
191	1 4	1 6	1 22	1 24
192	1 4	1 6	1 24	1 26
193	1 4	1 6	1 26	1 28
194	1 4	1 6	1 25	1 27
195	1 4	1 6	1 27	1 29
196	1 4	1 6	1 29	1 31
197	1 4	1 6	1 33	1 35
198	1 4	1 6	1 35	1 37
199	1 4	1 6	1 37	1 39
200	1 4	1 6	1 39	1 41
201	1 4	1 6	1 41	1 43
202	1 4	1 6	1 43	1 45
203	1 4	1 6	1 28	1 30
204	1 4	1 6	1 30	1 32
205	1 4	1 6	1 34	1 36
206	1 4	1 6	1 36	1 38
207	1 4	1 6	1 38	1 40
208	1 4	1 6	1 42	1 44
209	1 4	1 6	1 44	1 46
210	1 4	1 6	1 46	1 48
211	1 4	1 6	1 45	1 47
212	1 4	1 6	1 47	1 49
213	1 4	1 6	1 49	1 51
214	1 4	1 6	1 51	1 53
215	1 4	1 6	1 53	1 55
216	1 4	1 6	1 55	1 57
217	1 4	1 6	1 57	1 59
218	1 4	1 6	1 59	1 61
219	1 4	1 6	1 61	1 63
220	1 4	1 6	1 63	1 65
221	1 4	1 6	1 50	1 52
222	1 4	1 6	1 52	1 54
223	1 4	1 6	1 54	1 56
224	1 4	1 6	1 56	1 58
225	1 4	1 6	1 58	1 60
226	1 4	1 6	1 60	1 62
227	1 4	1 6	1 62	1 64
228	1 4	1 6	1 64	1 66
229	1 4	1 6	1 66	1 68
