4096
1	1 1	1 3	1 2	1 4
2	1 1	1 3	1 6	1 8
3	1 1	1 3	1 8	1 10
4	1 1	1 3	1 10	1 12
5	1 1	1 3	1 12	1 14
6	1 1	1 3	1 14	1 16
7	1 1	1 3	1 16	1 18
8	1 1	1 3	1 20	1 22
9	1 1	1 3	1 5	1 7
10	1 1	1 3	1 9	1 11
11	1 1	1 3	1 11	1 13
12	1 1	1 3	1 13	1 15
13	1 1	1 3	1 17	1 19
14	1 1	1 3	1 19	1 21
15	1 1	1 3	1 21	1 23
16	1 1	1 3	1 22	1 24
17	1 1	1 3	1 24	1 26
18	1 1	1 3	1 26	1 28
19	1 1	1 3	1 28	1 30
20	1 1	1 3	1 30	1 32
21	1 1	1 3	1 32	1 34
22	1 1	1 3	1 34	1 36
23	1 1	1 3	1 36	1 38
24	1 1	1 3	1 38	1 40
25	1 1	1 3	1 40	1 42
26	1 1	1 3	1 25	1 27
27	1 1	1 3	1 27	1 29
28	1 1	1 3	1 29	1 31
29	1 1	1 3	1 31	1 33
30	1 1	1 3	1 33	1 35
31	1 1	1 3	1 35	1 37
32	1 1	1 3	1 37	1 39
33	1 1	1 3	1 39	1 41
34	1 1	1 3	1 41	1 43
35	1 1	1 3	1 43	1 45
36	1 1	1 3	1 42	1 44
37	1 1	1 3	1 44	1 46
38	1 1	1 3	1 46	1 48
39	1 1	1 3	1 48	1 50
40	1 1	1 3	1 52	1 54
41	1 1	1 3	1 54	1 56
42	1 1	1 3	1 56	1 58
43	1 1	1 3	1 58	1 60
44	1 1	1 3	1 60	1 62
45	1 1	1 3	1 45	1 47
46	1 1	1 3	1 47	1 49
47	1 1	1 3	1 49	1 51
48	1 1	1 3	1 51	1 53
49	1 1	1 3	1 53	1 55
50	1 1	1 3	1 55	1 57
51	1 1	1 3	1 57	1 59
52	1 1	1 3	1 59	1 61
53	1 1	1 3	1 61	1 63
54	1 1	1 3	1 63	1 65
55	1 1	1 3	1 62	1 64
56	1 1	1 3	1 64	1 66
57	1 1	1 3	1 66	1 68
58	1 1	1 3	1 68	1 70
59	1 1	1 3	1 70	1 72
60	1 1	1 3	1 65	1 67
61	1 1	1 3	1 67	1 69
62	1 1	1 3	1 69	1 71
63	1 2	1 4	1 3	1 5
64	1 2	1 4	1 5	1 7
65	1 2	1 4	1 7	1 9
66	1 2	1 4	1 11	1 13
67	1 2	1 4	1 13	1 15
68	1 2	1 4	1 15	1 17
69	1 2	1 4	1 6	1 8
70	1 2	1 4	1 10	1 12
71	1 2	1 4	1 12	1 14
72	1 2	1 4	1 14	1 16
73	1 2	1 4	1 18	1 20
74	1 2	1 4	1 20	1 22
75	1 2	1 4	1 23	1 25
76	1 2	1 4	1 25	1 27
77	1 2	1 4	1 31	1 33
78	1 2	1 4	1 33	1 35
79	1 2	1 4	1 35	1 37
80	1 2	1 4	1 37	1 39
81	1 2	1 4	1 39	1 41
82	1 2	1 4	1 41	1 43
83	1 2	1 4	1 26	1 28
84	1 2	1 4	1 28	1 30
85	1 2	1 4	1 30	1 32
86	1 2	1 4	1 32	1 34
87	1 2	1 4	1 34	1 36
88	1 2	1 4	1 36	1 38
89	1 2	1 4	1 38	1 40
90	1 2	1 4	1 40	1 42
91	1 2	1 4	1 42	1 44
92	1 2	1 4	1 44	1 46
93	1 2	1 4	1 43	1 45
94	1 2	1 4	1 45	1 47
95	1 2	1 4	1 47	1 49
96	1 2	1 4	1 49	1 51
97	1 2	1 4	1 51	1 53
98	1 2	1 4	1 53	1 55
99	1 2	1 4	1 55	1 57
100	1 2	1 4	1 57	1 59
101	1 2	1 4	1 59	1 61
102	1 2	1 4	1 61	1 63
103	1 2	1 4	1 46	1 48
104	1 2	1 4	1 48	1 50
105	1 2	1 4	1 50	1 52
106	1 2	1 4	1 52	1 54
107	1 2	1 4	1 54	1 56
108	1 2	1 4	1 56	1 58
109	1 2	1 4	1 58	1 60
110	1 2	1 4	1 60	1 62
111	1 2	1 4	1 62	1 64
112	1 2	1 4	1 64	1 66
113	1 2	1 4	1 63	1 65
114	1 2	1 4	1 65	1 67
115	1 2	1 4	1 67	1 69
116	1 2	1 4	1 69	1 71
117	1 2	1 4	1 71	1 1
118	1 2	1 4	1 1	1 3
119	1 2	1 4	1 66	1 68
120	1 2	1 4	1 68	1 70
121	1 2	1 4	1 70	1 72
122	1 3	1 5	1 4	1 6
123	1 3	1 5	1 6	1 8
124	1 3	1 5	1 8	1 10
125	1 3	1 5	1 10	1 12
126	1 3	1 5	1 12	1 14
127	1 3	1 5	1 14	1 16
128	1 3	1 5	1 16	1 18
129	1 3	1 5	1 18	1 20
130	1 3	1 5	1 20	1 22
131	1 3	1 5	1 9	1 11
132	1 3	1 5	1 11	1 13
133	1 3	1 5	1 17	1 19
134	1 3	1 5	1 19	1 21
135	1 3	1 5	1 21	1 23
136	1 3	1 5	1 25	1 27
137	1 3	1 5	1 24	1 26
138	1 3	1 5	1 26	1 28
139	1 3	1 5	1 28	1 30
140	1 3	1 5	1 30	1 32
141	1 3	1 5	1 32	1 34
142	1 3	1 5	1 34	1 36
143	1 3	1 5	1 36	1 38
144	1 3	1 5	1 38	1 40
145	1 3	1 5	1 40	1 42
146	1 3	1 5	1 42	1 44
147	1 3	1 5	1 27	1 29
148	1 3	1 5	1 29	1 31
149	1 3	1 5	1 33	1 35
150	1 3	1 5	1 35	1 37
151	1 3	1 5	1 37	1 39
152	1 3	1 5	1 39	1 41
153	1 3	1 5	1 41	1 43
154	1 3	1 5	1 43	1 45
155	1 3	1 5	1 45	1 47
156	1 3	1 5	1 44	1 46
157	1 3	1 5	1 46	1 48
158	1 3	1 5	1 48	1 50
159	1 3	1 5	1 50	1 52
160	1 3	1 5	1 52	1 54
161	1 3	1 5	1 54	1 56
162	1 3	1 5	1 56	1 58
163	1 3	1 5	1 58	1 60
164	1 3	1 5	1 60	1 62
165	1 3	1 5	1 62	1 64
166	1 3	1 5	1 47	1 49
167	1 3	1 5	1 49	1 51
168	1 3	1 5	1 51	1 53
169	1 3	1 5	1 53	1 55
170	1 3	1 5	1 55	1 57
171	1 3	1 5	1 57	1 59
172	1 3	1 5	1 59	1 61
173	1 3	1 5	1 61	1 63
174	1 3	1 5	1 65	1 67
175	1 3	1 5	1 64	1 66
176	1 3	1 5	1 66	1 68
177	1 3	1 5	1 68	1 70
178	1 3	1 5	1 70	1 72
179	1 3	1 5	1 72	1 2
180	1 3	1 5	1 2	1 4
181	1 3	1 5	1 67	1 69
182	1 3	1 5	1 69	1 71
183	1 3	1 5	1 71	1 1
184	1 4	1 6	1 5	1 7
185	1 4	1 6	1 7	1 9
186	1 4	1 6	1 9	1 11
187	1 4	1 6	1 11	1 13
188	1 4	1 6	1 15	1 17
189	1 4	1 6	1 17	1 19
190	1 4	1 6	1 19	1 21
191	1 4	1 6	1 21	1 23
192	1 4	1 6	1 23	1 25
193	1 4	1 6	1 12	1 14
194	1 4	1 6	1 14	1 16
195	1 4	1 6	1 18	1 20
196	1 4	1 6	1 20	1 22
197	1 4	1 6	1 22	1 24
198	1 4	1 6	1 26	1 28
199	1 4	1 6	1 25	1 27
200	1 4	1 6	1 27	1 29
201	1 4	1 6	1 29	1 31
202	1 4	1 6	1 31	1 33
203	1 4	1 6	1 33	1 35
204	1 4	1 6	1 35	1 37
205	1 4	1 6	1 37	1 39
206	1 4	1 6	1 39	1 41
207	1 4	1 6	1 41	1 43
208	1 4	1 6	1 43	1 45
209	1 4	1 6	1 28	1 30
210	1 4	1 6	1 30	1 32
211	1 4	1 6	1 32	1 34
212	1 4	1 6	1 34	1 36
213	1 4	1 6	1 36	1 38
214	1 4	1 6	1 38	1 40
215	1 4	1 6	1 40	1 42
216	1 4	1 6	1 42	1 44
217	1 4	1 6	1 44	1 46
218	1 4	1 6	1 46	1 48
219	1 4	1 6	1 45	1 47
220	1 4	1 6	1 47	1 49
221	1 4	1 6	1 49	1 51
222	1 4	1 6	1 51	1 53
223	1 4	1 6	1 53	1 55
224	1 4	1 6	1 55	1 57
225	1 4	1 6	1 59	1 61
226	1 4	1 6	1 61	1 63
227	1 4	1 6	1 63	1 65
228	1 4	1 6	1 48	1 50
229	1 4	1 6	1 50	1 52
