x,z,y,buried
0.06,0.487,-0.005,0
0.11,0.487,-0.005,0
0.16,0.487,-0.005,0
0.21,0.487,-0.005,0
0.26,0.487,-0.005,0
0.31,0.487,-0.005,0
0.36,0.487,-0.005,0
0.41,0.487,-0.005,0
0.06,0.425,0,1
0.11,0.425,0,1
0.16,0.425,0,1
0.21,0.425,0,1
0.26,0.425,0,1
0.31,0.425,0,1
0.36,0.425,0,1
0.41,0.425,0,1
0.06,0.375,0,1
0.11,0.375,0,1
0.16,0.375,0,1
0.21,0.375,0,1
0.26,0.375,0,1
0.31,0.375,0,1
0.36,0.375,0,1
0.41,0.375,0,1
0.06,0.325,0,1
0.11,0.325,0,1
0.16,0.325,0,1
0.21,0.325,0,1
0.26,0.325,0,1
0.31,0.325,0,1
0.36,0.325,0,1
0.41,0.325,0,1
0.06,0.275,0,1
0.11,0.275,0,1
0.16,0.275,0,1
0.21,0.275,0,1
0.26,0.275,0,1
0.31,0.275,0,1
0.36,0.275,0,1
0.41,0.275,0,1
0.06,0.225,0,1
0.11,0.225,0,1
0.16,0.225,0,1
0.21,0.225,0,1
0.26,0.225,0,1
0.31,0.225,0,1
0.36,0.225,0,1
0.41,0.225,0,1
0.06,0.175,0,1
0.11,0.175,0,1
0.16,0.175,0,1
0.21,0.175,0,1
0.26,0.175,0,1
0.31,0.175,0,1
0.36,0.175,0,1
0.41,0.175,0,1
0.06,0.125,0,1
0.11,0.125,0,1
0.16,0.125,0,1
0.21,0.125,0,1
0.26,0.125,0,1
0.31,0.125,0,1
0.36,0.125,0,1
0.41,0.125,0,1
0.06,0.075,0,1
0.11,0.075,0,1
0.16,0.075,0,1
0.21,0.075,0,1
0.26,0.075,0,1
0.31,0.075,0,1
0.36,0.075,0,1
0.41,0.075,0,1
