,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,1.00,3.00,2.00,4.00,5899.09,0.12,0.00,56.20,2647.550,4.230,ERT72
,Mixed / non conventional,1.00,3.00,4.00,6.00,3094.52,0.08,0.00,-7.62,-1111.073,4.230,ERT72
,Mixed / non conventional,1.00,3.00,6.00,8.00,2673.56,0.03,0.00,11.66,-137.133,4.230,ERT72
,Mixed / non conventional,1.00,3.00,8.00,10.00,60181.97,0.07,0.00,-120.52,-1028.953,4.230,ERT72
,Mixed / non conventional,1.00,3.00,10.00,12.00,-167242.20,0.06,0.00,127.49,1299.730,4.230,ERT72
,Mixed / non conventional,1.00,3.00,12.00,14.00,52639.23,0.06,0.00,-129.94,-220.278,4.230,ERT72
,Mixed / non conventional,1.00,3.00,14.00,16.00,28636.56,0.09,0.00,-43.65,-71.901,4.230,ERT72
,Mixed / non conventional,1.00,3.00,16.00,18.00,499111.94,0.03,0.00,-38.10,-810.874,4.230,ERT72
,Mixed / non conventional,1.00,3.00,18.00,20.00,-683178.38,0.06,0.00,202.56,759.419,4.230,ERT72
,Mixed / non conventional,1.00,3.00,20.00,22.00,-61327.11,0.09,0.00,-13.08,48.694,4.230,ERT72
,Mixed / non conventional,1.00,3.00,5.00,7.00,2705.96,0.29,0.00,-11.67,-253.911,3.537,ERT72
,Mixed / non conventional,1.00,3.00,7.00,9.00,87232.02,0.29,0.00,-81.79,-2046.333,3.537,ERT72
,Mixed / non conventional,1.00,3.00,9.00,11.00,-221241.53,0.29,0.00,68.79,2076.001,3.537,ERT72
,Mixed / non conventional,1.00,3.00,11.00,13.00,-10414.70,0.28,0.00,71.78,48.863,3.537,ERT72
,Mixed / non conventional,1.00,3.00,13.00,15.00,39845.75,0.29,0.00,-43.52,-106.825,3.537,ERT72
,Mixed / non conventional,1.00,3.00,15.00,17.00,706111.81,0.29,0.00,-143.96,-1183.165,3.537,ERT72
