,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name,Date
,Mixed / non conventional,1.00,3.00,2.00,4.00,6017.15,0.06,0.00,87.86,2464.656,3.860,ERT72,7/12/2022 12:31:34 PM
,Mixed / non conventional,1.00,3.00,4.00,6.00,2639.49,0.07,0.00,-16.83,-864.918,3.860,ERT72,7/12/2022 12:31:34 PM
,Mixed / non conventional,1.00,3.00,6.00,8.00,3828.08,0.07,0.00,-46.45,-179.200,3.860,ERT72,7/12/2022 12:31:34 PM
,Mixed / non conventional,1.00,3.00,8.00,10.00,65635.70,0.07,0.00,-179.85,-1024.180,3.860,ERT72,7/12/2022 12:31:34 PM
,Mixed / non conventional,1.00,3.00,10.00,12.00,-179598.77,0.07,0.00,6.29,1273.847,3.860,ERT72,7/12/2022 12:31:34 PM
,Mixed / non conventional,1.00,3.00,12.00,14.00,48177.30,0.10,0.00,-28.28,-183.997,3.860,ERT72,7/12/2022 12:31:34 PM
,Mixed / non conventional,1.00,3.00,14.00,16.00,42643.02,0.06,0.00,-45.94,-97.716,3.860,ERT72,7/12/2022 12:31:34 PM
,Mixed / non conventional,1.00,3.00,16.00,18.00,540823.31,0.03,0.00,-17.72,-801.895,3.860,ERT72,7/12/2022 12:31:34 PM
,Mixed / non conventional,1.00,3.00,18.00,20.00,-737776.81,0.06,0.00,205.53,748.478,3.860,ERT72,7/12/2022 12:31:34 PM
,Mixed / non conventional,1.00,3.00,20.00,22.00,-66231.22,0.16,0.00,-80.02,47.994,3.860,ERT72,7/12/2022 12:31:34 PM
,Mixed / non conventional,1.00,3.00,5.00,7.00,3031.70,0.64,0.00,0.11,-427.984,5.322,ERT72,7/12/2022 12:31:36 PM
,Mixed / non conventional,1.00,3.00,7.00,9.00,94570.38,0.64,0.00,-212.10,-3337.616,5.322,ERT72,7/12/2022 12:31:36 PM
,Mixed / non conventional,1.00,3.00,9.00,11.00,-235258.13,0.64,0.00,54.11,3321.134,5.322,ERT72,7/12/2022 12:31:36 PM
,Mixed / non conventional,1.00,3.00,11.00,13.00,-21307.88,0.64,0.00,39.27,150.401,5.322,ERT72,7/12/2022 12:31:36 PM
,Mixed / non conventional,1.00,3.00,13.00,15.00,50060.38,0.63,0.00,34.21,-201.914,5.322,ERT72,7/12/2022 12:31:36 PM
,Mixed / non conventional,1.00,3.00,15.00,17.00,778732.38,0.64,0.00,-97.29,-1963.094,5.322,ERT72,7/12/2022 12:31:36 PM
,Mixed / non conventional,1.00,3.00,17.00,19.00,-905956.50,0.64,0.00,-39.23,1522.548,5.322,ERT72,7/12/2022 12:31:36 PM
,Mixed / non conventional,1.00,3.00,19.00,21.00,-324558.13,0.64,0.00,7.16,381.815,5.322,ERT72,7/12/2022 12:31:36 PM
,Mixed / non conventional,1.00,3.00,21.00,23.00,58155.96,0.61,0.00,123.86,-49.757,5.322,ERT72,7/12/2022 12:31:36 PM
,Mixed / non conventional,1.00,3.00,23.00,25.00,1901847.13,0.63,0.00,-117.69,-1220.377,5.322,ERT72,7/12/2022 12:31:36 PM
,Mixed / non conventional,1.00,3.00,22.00,24.00,91373.13,0.19,0.00,-6.32,-49.465,3.902,ERT72,7/12/2022 12:31:39 PM
,Mixed / non conventional,1.00,3.00,24.00,26.00,1386236.00,0.20,0.00,5.60,-570.338,3.902,ERT72,7/12/2022 12:31:39 PM
,Mixed / non conventional,1.00,3.00,26.00,28.00,-1267833.38,0.19,0.00,3.71,405.711,3.902,ERT72,7/12/2022 12:31:39 PM
,Mixed / non conventional,1.00,3.00,28.00,30.00,-395598.00,0.20,0.00,-12.92,100.400,3.902,ERT72,7/12/2022 12:31:39 PM
