,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,1.00,3.00,2.00,4.00,4463.67,0.17,0.00,16.03,1692.952,3.575
,Mixed / non conventional,1.00,3.00,4.00,6.00,2023.03,0.17,0.00,18.26,-613.826,3.575
,Mixed / non conventional,1.00,3.00,6.00,8.00,2360.66,0.16,0.00,-22.59,-102.324,3.575
,Mixed / non conventional,1.00,3.00,8.00,10.00,49733.51,0.15,0.00,-232.99,-718.575,3.575
,Mixed / non conventional,1.00,3.00,10.00,12.00,-130331.63,0.15,0.00,7.15,855.954,3.575
,Mixed / non conventional,1.00,3.00,12.00,14.00,29378.12,0.14,0.00,-32.14,-103.891,3.575
,Mixed / non conventional,1.00,3.00,14.00,16.00,23401.35,0.17,0.00,-57.47,-49.653,3.575
,Mixed / non conventional,1.00,3.00,16.00,18.00,431142.81,0.16,0.00,-65.75,-591.930,3.575
,Mixed / non conventional,1.00,3.00,18.00,20.00,-571302.25,0.15,0.00,182.88,536.669,3.575
,Mixed / non conventional,1.00,3.00,20.00,22.00,-77772.52,0.16,0.00,8.62,52.184,3.575
,Mixed / non conventional,1.00,3.00,5.00,7.00,2336.10,0.09,0.00,23.92,-150.739,2.433
,Mixed / non conventional,1.00,3.00,7.00,9.00,69509.52,0.08,0.00,-163.01,-1121.294,2.433
,Mixed / non conventional,1.00,3.00,9.00,11.00,-169716.80,0.08,0.00,-67.43,1095.117,2.433
,Mixed / non conventional,1.00,3.00,11.00,13.00,-17823.38,0.10,0.00,78.84,57.504,2.433
,Mixed / non conventional,1.00,3.00,13.00,15.00,26991.93,0.09,0.00,-23.00,-49.762,2.433
,Mixed / non conventional,1.00,3.00,15.00,17.00,597857.25,0.09,0.00,-124.17,-688.881,2.433
,Mixed / non conventional,1.00,3.00,17.00,19.00,-663529.63,0.09,0.00,-21.24,509.704,2.433
,Mixed / non conventional,1.00,3.00,19.00,21.00,-303164.25,0.09,0.00,58.63,163.017,2.433
,Mixed / non conventional,1.00,3.00,21.00,23.00,28549.83,0.04,0.00,93.98,-35.994,7.842
,Mixed / non conventional,1.00,3.00,23.00,25.00,1622491.13,0.06,0.00,-122.46,-1534.162,7.842
,Mixed / non conventional,1.00,3.00,22.00,24.00,51897.68,0.05,0.00,-109.09,-50.419,7.002
,Mixed / non conventional,1.00,3.00,24.00,26.00,1229075.38,0.05,0.00,-13.11,-907.484,7.002
,Mixed / non conventional,1.00,3.00,26.00,28.00,-1121760.25,0.05,0.00,141.29,644.198,7.002
,Mixed / non conventional,1.00,3.00,28.00,30.00,-431437.72,0.05,0.00,-23.08,196.500,7.002
,Mixed / non conventional,1.00,3.00,30.00,32.00,-6300.09,0.24,0.00,-8.64,2.544,7.697
,Mixed / non conventional,1.00,3.00,32.00,34.00,2268379.50,0.09,0.00,-98.31,-749.309,7.697
,Mixed / non conventional,1.00,3.00,34.00,36.00,-1526342.38,0.06,0.00,96.93,295.088,5.437
,Mixed / non conventional,1.00,3.00,36.00,38.00,-851483.38,0.05,0.00,12.87,137.925,5.437
,Mixed / non conventional,1.00,3.00,38.00,40.00,-369141.34,0.05,0.00,-4.17,50.595,5.437
,Mixed / non conventional,1.00,3.00,40.00,42.00,3505746.00,0.06,0.00,-88.17,-410.181,5.437
,Mixed / non conventional,1.00,3.00,25.00,27.00,-1293149.75,0.03,0.00,100.75,684.973,5.711
,Mixed / non conventional,1.00,3.00,27.00,29.00,-775788.31,0.06,0.00,-16.79,322.873,5.711
,Mixed / non conventional,1.00,3.00,29.00,31.00,-152006.30,0.03,0.00,14.22,50.610,5.711
,Mixed / non conventional,1.00,3.00,31.00,33.00,2839212.00,0.00,0.00,-127.13,-768.064,5.711
,Mixed / non conventional,1.00,3.00,33.00,35.00,-1699593.00,0.07,0.00,174.45,378.646,5.711
,Mixed / non conventional,1.00,3.00,35.00,37.00,-1242833.75,0.03,0.00,-83.85,230.735,5.711
,Mixed / non conventional,1.00,3.00,37.00,39.00,-568096.75,0.05,0.00,51.09,88.815,5.711
,Mixed / non conventional,1.00,3.00,39.00,41.00,3852792.50,0.05,0.00,-70.78,-511.990,5.711
,Mixed / non conventional,1.00,3.00,41.00,43.00,-1771023.50,0.00,0.00,40.99,201.726,5.711
,Mixed / non conventional,1.00,3.00,43.00,45.00,-1642625.25,0.04,0.00,78.45,161.588,5.711
,Mixed / non conventional,1.00,3.00,42.00,44.00,-1848938.88,0.07,0.00,67.95,194.145,5.670
,Mixed / non conventional,1.00,3.00,44.00,46.00,-1322157.13,0.07,0.00,-93.66,120.318,5.670
,Mixed / non conventional,1.00,3.00,46.00,48.00,-684694.94,0.06,0.00,38.58,54.353,5.670
,Mixed / non conventional,1.00,3.00,48.00,50.00,4590351.00,0.06,0.00,-39.80,-319.786,5.670
,Mixed / non conventional,1.00,3.00,50.00,52.00,-2109196.00,0.05,0.00,84.49,129.649,5.670
,Mixed / non conventional,1.00,3.00,52.00,54.00,-1729491.75,0.06,0.00,-10.68,94.271,5.670
,Mixed / non conventional,1.00,3.00,54.00,56.00,-1042960.13,0.06,0.00,27.46,50.649,5.670
,Mixed / non conventional,1.00,3.00,56.00,58.00,5560523.00,0.06,0.00,16.17,-241.617,5.670
,Mixed / non conventional,1.00,3.00,58.00,60.00,-2360584.25,0.03,0.00,60.41,92.137,5.670
,Mixed / non conventional,1.00,3.00,60.00,62.00,-2145434.25,0.07,0.00,21.70,75.502,5.670
,Mixed / non conventional,1.00,3.00,45.00,47.00,-973733.44,0.00,0.00,-8.35,67.515,4.629
,Mixed / non conventional,1.00,3.00,47.00,49.00,4682479.00,0.03,0.00,-156.33,-284.085,4.629
,Mixed / non conventional,1.00,3.00,49.00,51.00,-1807211.25,0.03,0.00,143.63,96.484,4.629
,Mixed / non conventional,1.00,3.00,51.00,53.00,-2004880.38,0.00,0.00,-109.38,94.691,4.629
,Mixed / non conventional,1.00,3.00,53.00,55.00,-1481696.25,0.05,0.00,95.51,62.201,4.629
,Mixed / non conventional,1.00,3.00,55.00,57.00,5537113.50,0.02,0.00,-86.82,-207.554,4.629
,Mixed / non conventional,1.00,3.00,57.00,59.00,-1745764.13,0.00,0.00,213.04,58.665,4.629
,Mixed / non conventional,1.00,3.00,59.00,61.00,-2329995.00,0.06,0.00,-110.21,70.474,4.629
,Mixed / non conventional,1.00,3.00,61.00,63.00,-1860023.38,0.06,0.00,26.34,50.809,4.629
,Mixed / non conventional,1.00,3.00,63.00,65.00,6295857.00,0.06,0.00,129.28,-155.875,4.629
,Mixed / non conventional,1.00,3.00,62.00,64.00,-1294952.75,0.09,0.00,-76.88,55.350,7.611
,Mixed / non conventional,1.00,3.00,64.00,66.00,6455093.00,0.09,0.00,60.60,-250.409,7.611
,Mixed / non conventional,1.00,3.00,66.00,68.00,-2517284.75,0.09,0.00,37.34,88.913,7.611
,Mixed / non conventional,1.00,3.00,68.00,70.00,-2560220.75,0.08,0.00,-102.41,82.568,7.611
,Mixed / non conventional,1.00,3.00,70.00,72.00,-1535437.50,0.10,0.00,168.66,45.330,7.611
,Mixed / non conventional,1.00,3.00,72.00,2.00,3308468.00,0.09,0.00,2.81,-1636.299,7.611
,Mixed / non conventional,1.00,3.00,65.00,67.00,-1888990.00,0.07,0.00,-95.59,53.061,5.778
,Mixed / non conventional,1.00,3.00,67.00,69.00,-2677291.75,0.07,0.00,-10.33,68.567,5.778
,Mixed / non conventional,1.00,3.00,69.00,71.00,-2159426.00,0.07,0.00,38.88,50.566,5.778
,Mixed / non conventional,2.00,4.00,3.00,5.00,3997.24,0.12,0.00,-441.45,2141.089,5.048
,Mixed / non conventional,2.00,4.00,5.00,7.00,2226.16,0.08,0.00,7.89,-953.941,5.048
,Mixed / non conventional,2.00,4.00,7.00,9.00,38591.93,0.06,0.00,-195.15,-2362.450,5.048
,Mixed / non conventional,2.00,4.00,9.00,11.00,-68671.88,0.03,0.00,-41.09,1401.275,5.048
,Mixed / non conventional,2.00,4.00,11.00,13.00,-103803.41,0.08,0.00,84.76,962.796,5.048
,Mixed / non conventional,2.00,4.00,13.00,15.00,19453.79,0.07,0.00,-21.11,-97.159,5.048
,Mixed / non conventional,2.00,4.00,15.00,17.00,548602.63,0.04,0.00,-147.08,-1643.940,5.048
,Mixed / non conventional,2.00,4.00,17.00,19.00,-409730.88,0.04,0.00,-8.75,794.455,5.048
,Mixed / non conventional,2.00,4.00,19.00,21.00,-515148.03,0.06,0.00,65.06,683.431,5.048
,Mixed / non conventional,2.00,4.00,21.00,23.00,-51925.23,0.05,0.00,94.66,49.205,5.048
,Mixed / non conventional,2.00,4.00,6.00,8.00,2589.09,0.58,0.00,-25.26,-152.326,2.218
,Mixed / non conventional,2.00,4.00,8.00,10.00,56630.11,0.58,0.00,-251.15,-832.940,2.218
,Mixed / non conventional,2.00,4.00,10.00,12.00,-137110.78,0.58,0.00,27.16,806.674,2.218
,Mixed / non conventional,2.00,4.00,12.00,14.00,-18524.04,0.56,0.00,-34.20,54.492,2.218
,Mixed / non conventional,2.00,4.00,14.00,16.00,29227.07,0.59,0.00,-59.82,-49.130,2.218
,Mixed / non conventional,2.00,4.00,16.00,18.00,535700.44,0.58,0.00,-76.36,-562.807,2.218
,Mixed / non conventional,2.00,4.00,18.00,20.00,-585612.63,0.59,0.00,193.78,410.165,2.218
,Mixed / non conventional,2.00,4.00,20.00,22.00,-263761.19,0.58,0.00,9.36,129.317,2.218
,Mixed / non conventional,2.00,4.00,22.00,24.00,30411.66,0.08,0.00,-105.63,-29.705,6.076
,Mixed / non conventional,2.00,4.00,24.00,26.00,1534302.88,0.09,0.00,-18.71,-1123.997,6.076
,Mixed / non conventional,2.00,4.00,23.00,25.00,1667735.50,0.08,0.00,-111.61,-459.934,1.988
