,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,71.00,1.00,-2531.61,4.72,0.00,92.35,-39.876,0.119
,Mixed / non conventional,72.00,65.00,71.00,2.00,-3158.73,1.89,0.00,77.25,-50.198,0.120
,Mixed / non conventional,72.00,65.00,71.00,3.00,-4249.51,2.24,0.00,85.51,-69.321,0.123
,Mixed / non conventional,72.00,65.00,71.00,4.00,-7000.25,2.50,0.00,75.76,-111.416,0.120
,Mixed / non conventional,72.00,65.00,71.00,5.00,-6739.80,2.64,0.00,35.01,-104.994,0.117
,Mixed / non conventional,72.00,65.00,71.00,6.00,-4486.69,1.33,0.00,103.95,-70.990,0.119
,Mixed / non conventional,72.00,65.00,71.00,7.00,-3424.38,2.20,0.00,83.84,-54.236,0.119
,Mixed / non conventional,72.00,65.00,71.00,8.00,-2925.55,1.93,0.00,108.05,-45.261,0.116
,Mixed / non conventional,72.00,65.00,71.00,9.00,-2204.66,2.55,0.00,1.82,-34.013,0.116
,Mixed / non conventional,72.00,65.00,71.00,10.00,-2615.16,1.96,0.00,77.61,-40.928,0.118
,Mixed / non conventional,72.00,65.00,71.00,11.00,-3301.32,2.51,0.00,165.57,-51.549,0.117
,Mixed / non conventional,72.00,65.00,71.00,12.00,-4175.04,0.72,0.00,174.63,-64.368,0.116
,Mixed / non conventional,72.00,65.00,71.00,13.00,-4018.24,1.35,0.00,202.44,-62.104,0.116
,Mixed / non conventional,72.00,65.00,71.00,14.00,-3540.46,1.04,0.00,45.46,-54.725,0.116
,Mixed / non conventional,72.00,65.00,71.00,15.00,-3010.54,4.05,0.00,189.00,-46.584,0.116
,Mixed / non conventional,72.00,65.00,71.00,16.00,-2641.34,2.54,0.00,48.63,-40.953,0.117
,Mixed / non conventional,72.00,65.00,71.00,17.00,-1620.32,1.10,0.00,-2.81,-34.134,0.158
,Mixed / non conventional,72.00,65.00,71.00,18.00,-1936.05,1.64,0.00,-13.80,-32.538,0.126
,Mixed / non conventional,72.00,65.00,71.00,19.00,-2399.41,2.95,0.00,91.22,-37.199,0.116
,Mixed / non conventional,72.00,65.00,71.00,20.00,-2842.98,1.46,0.00,188.01,-43.621,0.115
,Mixed / non conventional,72.00,65.00,71.00,21.00,-2836.00,0.78,0.00,51.30,-45.341,0.120
,Mixed / non conventional,72.00,65.00,71.00,22.00,-2796.96,3.01,0.00,168.77,-43.382,0.116
,Mixed / non conventional,72.00,65.00,71.00,23.00,-2441.94,0.80,0.00,176.07,-38.315,0.118
,Mixed / non conventional,72.00,65.00,71.00,24.00,-2273.41,6.21,0.00,44.27,-34.091,0.113
,Mixed / non conventional,72.00,65.00,71.00,25.00,-947.84,0.98,0.00,71.36,-38.083,0.302
,Mixed / non conventional,72.00,65.00,71.00,26.00,-1259.68,2.64,0.00,227.76,-35.851,0.214
,Mixed / non conventional,72.00,65.00,71.00,27.00,-1553.83,1.31,0.00,287.01,-34.179,0.165
,Mixed / non conventional,72.00,65.00,71.00,28.00,-1898.41,1.70,0.00,258.08,-32.764,0.129
,Mixed / non conventional,72.00,65.00,71.00,29.00,-2039.96,1.77,0.00,189.56,-32.608,0.120
,Mixed / non conventional,72.00,65.00,71.00,30.00,-2067.06,1.74,0.00,174.37,-32.440,0.118
,Mixed / non conventional,72.00,65.00,71.00,31.00,-1922.00,1.00,0.00,212.59,-32.503,0.127
,Mixed / non conventional,72.00,65.00,71.00,32.00,-1818.96,1.06,0.00,204.78,-32.964,0.136
,Mixed / non conventional,72.00,65.00,71.00,33.00,-177.78,0.11,0.00,117.57,-47.480,2.000
,Mixed / non conventional,72.00,65.00,71.00,34.00,-439.48,0.69,0.00,173.12,-43.770,0.746
,Mixed / non conventional,72.00,65.00,71.00,35.00,-726.39,0.27,0.00,370.31,-40.416,0.416
,Mixed / non conventional,72.00,65.00,71.00,36.00,-1061.93,1.43,0.00,194.14,-37.224,0.262
,Mixed / non conventional,72.00,65.00,71.00,37.00,-1299.47,1.40,0.00,69.19,-35.469,0.204
,Mixed / non conventional,72.00,65.00,71.00,38.00,-1422.24,1.60,0.00,92.30,-34.697,0.182
,Mixed / non conventional,72.00,65.00,71.00,39.00,-1378.40,1.04,0.00,197.80,-34.713,0.188
,Mixed / non conventional,72.00,65.00,71.00,40.00,-1409.14,0.51,0.00,239.65,-34.675,0.184
,Mixed / non conventional,72.00,65.00,71.00,41.00,868.61,0.90,0.00,70.55,38.642,0.332
,Mixed / non conventional,72.00,65.00,71.00,42.00,433.77,0.42,0.00,221.99,43.157,0.741
,Mixed / non conventional,72.00,65.00,71.00,43.00,-1.15,4.34,0.00,466.63,-1.070,6.924
,Mixed / non conventional,72.00,65.00,71.00,44.00,-353.06,0.22,0.00,183.55,-45.360,0.955
,Mixed / non conventional,72.00,65.00,71.00,45.00,-634.77,0.13,0.00,167.21,-41.399,0.484
,Mixed / non conventional,72.00,65.00,71.00,46.00,-882.30,1.01,0.00,8.77,-38.728,0.325
,Mixed / non conventional,72.00,65.00,71.00,47.00,-961.95,1.48,0.00,208.21,-37.835,0.291
,Mixed / non conventional,72.00,65.00,71.00,48.00,-1009.34,0.55,0.00,71.72,-37.237,0.273
,Mixed / non conventional,72.00,65.00,71.00,49.00,2226.32,1.26,0.00,5.27,35.651,0.118
,Mixed / non conventional,72.00,65.00,71.00,50.00,1635.73,3.39,0.00,55.52,33.177,0.149
,Mixed / non conventional,72.00,65.00,71.00,51.00,847.90,1.27,0.00,291.20,38.744,0.335
,Mixed / non conventional,72.00,65.00,71.00,52.00,310.15,0.15,0.00,212.08,44.644,1.051
,Mixed / non conventional,72.00,65.00,71.00,53.00,-99.22,0.09,0.00,153.25,-49.591,3.635
,Mixed / non conventional,72.00,65.00,71.00,54.00,-398.61,0.12,0.00,57.50,-44.609,0.809
,Mixed / non conventional,72.00,65.00,71.00,55.00,-622.48,0.08,0.00,228.59,-41.465,0.479
,Mixed / non conventional,72.00,65.00,71.00,56.00,-668.24,0.21,0.00,182.33,-40.645,0.433
,Mixed / non conventional,72.00,65.00,71.00,57.00,4143.31,4.20,0.00,6.70,70.386,0.120
,Mixed / non conventional,72.00,65.00,71.00,58.00,3027.01,0.86,0.00,23.91,51.308,0.118
,Mixed / non conventional,72.00,65.00,71.00,59.00,1878.03,4.29,0.00,330.52,31.972,0.116
,Mixed / non conventional,72.00,65.00,71.00,60.00,878.24,1.23,0.00,102.81,37.545,0.283
,Mixed / non conventional,72.00,65.00,71.00,61.00,346.17,0.11,0.00,158.47,43.656,0.798
,Mixed / non conventional,72.00,65.00,71.00,62.00,-27.60,0.03,0.00,458.31,-32.758,6.991
,Mixed / non conventional,72.00,65.00,71.00,63.00,-209.10,0.11,0.00,359.11,-45.935,1.129
,Mixed / non conventional,72.00,65.00,71.00,64.00,-205.28,0.11,0.00,318.57,-44.120,0.790
,Mixed / non conventional,72.00,65.00,71.00,66.00,2346.98,2.72,0.00,46.84,76.731,0.123
,Mixed / non conventional,72.00,65.00,71.00,67.00,2213.48,3.33,0.00,266.91,46.422,0.116
,Mixed / non conventional,72.00,65.00,71.00,68.00,1552.68,0.55,0.00,201.34,33.117,0.146
