,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,71.00,1.00,-2303.03,0.74,0.00,-1.78,-109.207,0.357,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,2.00,-2782.01,0.79,0.00,-26.43,-131.106,0.355,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,3.00,-3744.75,1.35,0.00,-43.49,-175.742,0.353,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,4.00,-5741.27,1.17,0.00,-53.17,-267.382,0.350,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,5.00,-4950.33,0.73,0.00,-60.39,-232.933,0.354,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,6.00,-3697.14,1.03,0.00,-38.35,-173.787,0.354,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,7.00,-2860.81,0.64,0.00,-58.71,-132.944,0.350,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,8.00,-2392.01,0.94,0.00,-33.57,-112.243,0.353,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,9.00,-2018.96,0.78,0.00,-94.29,-94.254,0.351,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,10.00,-2337.62,0.64,0.00,-44.65,-111.105,0.357,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,11.00,-2914.11,0.86,0.00,-3.06,-137.678,0.355,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,12.00,-3644.05,0.91,0.00,45.77,-172.906,0.357,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,13.00,-3363.72,0.48,0.00,36.08,-160.910,0.360,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,14.00,-2946.81,0.69,0.00,-88.59,-139.611,0.356,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,15.00,-2525.56,0.67,0.00,95.73,-120.449,0.359,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,16.00,-2193.26,0.87,0.00,-74.23,-104.743,0.359,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,17.00,-1571.12,0.52,0.00,-149.23,-75.006,0.359,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,18.00,-1833.22,0.88,0.00,-163.44,-87.949,0.361,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,19.00,-2140.58,0.36,0.00,-66.14,-102.787,0.361,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,20.00,-2444.88,0.89,0.00,81.47,-116.640,0.358,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,21.00,-2462.02,0.41,0.00,-44.45,-118.494,0.362,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,22.00,-2371.30,0.67,0.00,37.89,-112.710,0.357,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,23.00,-2051.00,0.57,0.00,124.04,-98.654,0.361,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,24.00,-1897.81,0.77,0.00,-28.99,-90.489,0.358,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,25.00,-1003.15,0.47,0.00,-159.54,-49.160,0.368,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,26.00,-1235.44,0.79,0.00,-87.44,-59.232,0.360,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,27.00,-1451.91,0.76,0.00,96.94,-70.132,0.362,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,28.00,-1667.58,0.55,0.00,116.26,-80.137,0.360,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,29.00,-1767.52,0.71,0.00,31.62,-85.342,0.362,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,30.00,-1730.59,0.57,0.00,31.89,-83.736,0.363,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,31.00,-1619.09,0.69,0.00,170.40,-78.353,0.363,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,32.00,-1512.80,1.52,0.00,112.10,-73.044,0.362,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,33.00,-399.74,0.21,0.00,-81.54,-45.777,0.858,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,34.00,-577.41,0.34,0.00,-100.56,-46.442,0.602,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,35.00,-798.62,0.49,0.00,184.06,-47.847,0.448,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,36.00,-1024.42,0.48,0.00,25.53,-49.561,0.362,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,37.00,-1160.09,1.75,0.00,-52.71,-56.085,0.361,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,38.00,-1178.12,0.69,0.00,46.71,-57.986,0.368,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,39.00,-1206.26,0.55,0.00,199.83,-58.396,0.361,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,40.00,-1196.87,0.55,0.00,357.42,-58.775,0.366,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,41.00,347.35,0.26,0.00,-77.26,45.488,0.976,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,42.00,128.13,0.17,0.00,-39.76,46.047,2.677,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,43.00,-201.75,0.34,0.00,129.20,-46.143,1.702,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,44.00,-467.17,0.10,0.00,-45.83,-46.305,0.737,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,45.00,-651.90,0.33,0.00,7.79,-46.925,0.534,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,46.00,-797.09,1.01,0.00,-77.92,-47.713,0.444,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,47.00,-832.37,0.91,0.00,178.30,-47.930,0.426,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,48.00,-875.87,0.51,0.00,32.39,-48.340,0.408,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,49.00,1106.31,0.57,0.00,-116.17,54.591,0.364,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,50.00,885.43,0.30,0.00,-104.05,48.365,0.402,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,51.00,444.82,0.25,0.00,61.16,45.943,0.757,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,52.00,83.54,0.03,0.00,9.89,47.904,4.188,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,53.00,-210.42,0.05,0.00,-14.22,-46.550,1.609,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,54.00,-410.83,0.17,0.00,-33.29,-46.712,0.822,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,55.00,-554.67,0.05,0.00,237.83,-46.588,0.603,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,56.00,-584.24,0.20,0.00,175.49,-46.706,0.570,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,57.00,2141.06,0.28,0.00,-58.79,111.314,0.366,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,58.00,1711.53,0.37,0.00,-48.40,90.003,0.365,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,59.00,1071.69,0.54,0.00,327.33,57.156,0.363,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,60.00,512.09,0.86,0.00,15.12,46.480,0.600,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,61.00,176.89,0.12,0.00,139.80,46.057,1.648,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,62.00,-81.25,0.13,0.00,205.84,-47.383,3.435,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,63.00,-191.29,0.39,0.00,322.67,-46.486,1.249,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,64.00,-182.22,0.41,0.00,267.61,-46.289,0.934,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,66.00,1347.14,0.92,0.00,1.23,130.299,0.365,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,67.00,1275.54,0.31,0.00,169.72,83.345,0.362,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,68.00,905.38,1.42,0.00,124.32,49.087,0.372,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,69.00,633.09,0.19,0.00,145.43,46.493,0.615,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,70.00,315.27,0.06,0.00,276.49,46.260,1.729,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,63.00,-191.86,0.07,0.00,321.04,-46.321,1.241,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,70.00,314.99,0.24,0.00,275.98,46.365,1.734,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,62.00,-81.08,0.25,0.00,202.62,-47.551,3.454,MA72B65Rec
,Mixed / non conventional,72.00,65.00,2.00,1.00,-8621019.00,0.26,0.00,25.38,46.887,0.730,MA72B65Rec
,Mixed / non conventional,72.00,65.00,4.00,3.00,-32688238.00,0.09,0.00,10.10,101.042,0.379,MA72B65Rec
,Mixed / non conventional,72.00,65.00,3.00,2.00,-16796442.00,0.29,0.00,12.73,49.583,0.379,MA72B65Rec
,Mixed / non conventional,72.00,65.00,6.00,5.00,18975144.00,0.39,0.00,-28.82,-61.884,0.364,MA72B65Rec
,Mixed / non conventional,72.00,65.00,8.00,7.00,6271168.50,0.42,0.00,-27.50,-46.315,0.747,MA72B65Rec
,Mixed / non conventional,72.00,65.00,7.00,6.00,13036425.00,0.41,0.00,17.80,-91.675,0.747,MA72B65Rec
,Mixed / non conventional,72.00,65.00,10.00,9.00,-4530565.50,0.12,0.00,-53.70,58.072,1.173,MA72B65Rec
,Mixed / non conventional,72.00,65.00,9.00,1.00,558477.25,0.09,0.00,86.30,-46.254,1.173,MA72B65Rec
,Mixed / non conventional,72.00,65.00,14.00,13.00,4675378.00,0.07,0.00,131.93,-76.891,1.218,MA72B65Rec
,Mixed / non conventional,72.00,65.00,13.00,12.00,3025648.75,0.07,0.00,7.79,-47.128,1.218,MA72B65Rec
,Mixed / non conventional,72.00,65.00,12.00,11.00,-8543759.00,0.07,0.00,-48.08,126.157,1.218,MA72B65Rec
,Mixed / non conventional,72.00,65.00,11.00,10.00,-6839722.50,0.08,0.00,-38.44,95.839,1.218,MA72B65Rec
,Mixed / non conventional,72.00,65.00,10.00,2.00,743959.25,0.06,0.00,6.28,-67.124,1.218,MA72B65Rec
,Mixed / non conventional,72.00,65.00,16.00,8.00,289718.19,0.11,0.00,42.72,-46.238,1.586,MA72B65Rec
,Mixed / non conventional,72.00,65.00,18.00,17.00,-2230601.25,0.25,0.00,13.56,46.299,1.224,MA72B65Rec
,Mixed / non conventional,72.00,65.00,17.00,9.00,579301.19,0.26,0.00,48.96,-75.307,1.224,MA72B65Rec
,Mixed / non conventional,72.00,65.00,20.00,19.00,-2151233.25,0.06,0.00,-162.07,194.679,4.729,MA72B65Rec
,Mixed / non conventional,72.00,65.00,19.00,18.00,-2458742.50,0.00,0.00,-93.95,209.337,4.729,MA72B65Rec
,Mixed / non conventional,72.00,65.00,18.00,10.00,661499.19,0.04,0.00,123.25,-351.119,4.729,MA72B65Rec
,Mixed / non conventional,72.00,65.00,10.00,1.00,-126035.39,0.03,0.00,32.27,48.592,4.729,MA72B65Rec
,Mixed / non conventional,72.00,65.00,22.00,21.00,783193.50,0.06,0.00,-78.87,-149.992,8.823,MA72B65Rec
,Mixed / non conventional,72.00,65.00,21.00,20.00,-279570.53,0.05,0.00,136.32,50.241,8.823,MA72B65Rec
,Mixed / non conventional,72.00,65.00,20.00,12.00,1381847.00,0.04,0.00,-30.51,-1533.302,8.823,MA72B65Rec
,Mixed / non conventional,72.00,65.00,12.00,4.00,3633120.75,0.05,0.00,-77.74,-2620.727,8.823,MA72B65Rec
,Mixed / non conventional,72.00,65.00,24.00,16.00,270922.22,0.11,0.00,-41.64,-47.383,1.092,MA72B65Rec
,Mixed / non conventional,72.00,65.00,16.00,15.00,3069972.75,0.11,0.00,174.80,-50.644,1.092,MA72B65Rec
,Mixed / non conventional,72.00,65.00,26.00,25.00,-1112211.63,0.13,0.00,-74.69,46.524,1.473,MA72B65Rec
,Mixed / non conventional,72.00,65.00,25.00,17.00,465962.59,0.12,0.00,12.68,-117.052,1.473,MA72B65Rec
,Mixed / non conventional,72.00,65.00,28.00,27.00,-901903.63,0.05,0.00,-15.61,58.174,1.966,MA72B65Rec
,Mixed / non conventional,72.00,65.00,27.00,26.00,-1047668.38,0.06,0.00,-183.05,62.818,1.966,MA72B65Rec
,Mixed / non conventional,72.00,65.00,26.00,18.00,472726.44,0.06,0.00,-74.00,-169.150,1.966,MA72B65Rec
,Mixed / non conventional,72.00,65.00,18.00,9.00,193752.67,0.06,0.00,63.15,-46.910,1.966,MA72B65Rec
,Mixed / non conventional,72.00,65.00,30.00,29.00,119453.46,0.04,0.00,0.39,-50.336,11.035,MA72B65Rec
,Mixed / non conventional,72.00,65.00,29.00,28.00,-437267.75,0.03,0.00,88.36,170.644,11.035,MA72B65Rec
,Mixed / non conventional,72.00,65.00,28.00,20.00,527430.25,0.05,0.00,-22.50,-1211.863,11.035,MA72B65Rec
,Mixed / non conventional,72.00,65.00,20.00,11.00,496675.38,0.05,0.00,-92.01,-755.718,11.035,MA72B65Rec
,Mixed / non conventional,72.00,65.00,11.00,3.00,1490198.38,0.08,0.00,-38.26,-1279.249,11.035,MA72B65Rec
,Mixed / non conventional,72.00,65.00,32.00,24.00,185046.94,0.14,0.00,-145.66,-46.973,0.913,MA72B65Rec
,Mixed / non conventional,72.00,65.00,34.00,33.00,-482605.63,0.10,0.00,15.75,46.652,1.822,MA72B65Rec
