,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name,Date
,Mixed / non conventional,72.00,65.00,71.00,1.00,-3336.32,0.41,0.00,-58.03,-147.286,0.332,3333,7/12/2022 1:27:59 PM
,Mixed / non conventional,72.00,65.00,71.00,2.00,-3928.07,0.66,0.00,-74.00,-176.518,0.338,3333,7/12/2022 1:28:01 PM
,Mixed / non conventional,72.00,65.00,71.00,3.00,-4931.07,0.15,0.00,-99.97,-223.929,0.342,3333,7/12/2022 1:28:03 PM
,Mixed / non conventional,72.00,65.00,71.00,4.00,-6380.82,1.02,0.00,-66.45,-290.112,0.342,3333,7/12/2022 1:28:05 PM
,Mixed / non conventional,72.00,65.00,71.00,5.00,-7687.10,0.33,0.00,-131.72,-352.133,0.345,3333,7/12/2022 1:28:07 PM
,Mixed / non conventional,72.00,65.00,71.00,6.00,-5959.34,0.90,0.00,-96.02,-274.148,0.346,3333,7/12/2022 1:28:09 PM
,Mixed / non conventional,72.00,65.00,71.00,7.00,-4665.04,0.91,0.00,-114.86,-214.518,0.346,3333,7/12/2022 1:28:11 PM
,Mixed / non conventional,72.00,65.00,71.00,8.00,-4044.49,0.98,0.00,-90.23,-187.786,0.349,3333,7/12/2022 1:28:13 PM
,Mixed / non conventional,72.00,65.00,71.00,9.00,-2987.62,0.62,0.00,-213.37,-137.999,0.347,3333,7/12/2022 1:28:15 PM
,Mixed / non conventional,72.00,65.00,71.00,10.00,-3435.72,0.41,0.00,-175.44,-158.786,0.348,3333,7/12/2022 1:28:17 PM
,Mixed / non conventional,72.00,65.00,71.00,11.00,-4071.11,0.22,0.00,-83.17,-187.748,0.347,3333,7/12/2022 1:28:19 PM
,Mixed / non conventional,72.00,65.00,71.00,12.00,-4762.85,0.46,0.00,-5.51,-221.179,0.349,3333,7/12/2022 1:28:21 PM
,Mixed / non conventional,72.00,65.00,71.00,13.00,-5136.10,0.52,0.00,-2.62,-236.602,0.346,3333,7/12/2022 1:28:23 PM
,Mixed / non conventional,72.00,65.00,71.00,14.00,-4682.84,0.23,0.00,-109.28,-216.954,0.348,3333,7/12/2022 1:28:25 PM
,Mixed / non conventional,72.00,65.00,71.00,15.00,-4120.65,0.52,0.00,55.11,-192.479,0.351,3333,7/12/2022 1:28:27 PM
,Mixed / non conventional,72.00,65.00,71.00,16.00,-3768.89,1.15,0.00,-154.68,-174.677,0.348,3333,7/12/2022 1:28:29 PM
,Mixed / non conventional,72.00,65.00,71.00,17.00,-2445.06,0.55,0.00,-226.77,-114.201,0.351,3333,7/12/2022 1:28:31 PM
,Mixed / non conventional,72.00,65.00,71.00,18.00,-2781.27,0.77,0.00,-285.76,-131.214,0.355,3333,7/12/2022 1:28:33 PM
,Mixed / non conventional,72.00,65.00,71.00,19.00,-3178.18,1.37,0.00,-77.91,-149.960,0.355,3333,7/12/2022 1:28:36 PM
,Mixed / non conventional,72.00,65.00,71.00,20.00,-3540.69,0.98,0.00,40.43,-167.638,0.356,3333,7/12/2022 1:28:38 PM
,Mixed / non conventional,72.00,65.00,71.00,21.00,-3706.92,0.86,0.00,-138.65,-176.438,0.358,3333,7/12/2022 1:28:40 PM
,Mixed / non conventional,72.00,65.00,71.00,22.00,-3687.51,1.10,0.00,31.44,-175.761,0.358,3333,7/12/2022 1:28:42 PM
,Mixed / non conventional,72.00,65.00,71.00,23.00,-3344.61,0.63,0.00,124.20,-160.211,0.360,3333,7/12/2022 1:28:44 PM
,Mixed / non conventional,72.00,65.00,71.00,24.00,-3209.83,0.73,0.00,-62.01,-152.834,0.357,3333,7/12/2022 1:28:46 PM
,Mixed / non conventional,72.00,65.00,71.00,25.00,-1729.32,0.57,0.00,-196.60,-82.856,0.360,3333,7/12/2022 1:28:48 PM
,Mixed / non conventional,72.00,65.00,71.00,26.00,-2017.28,0.65,0.00,-131.22,-97.627,0.363,3333,7/12/2022 1:28:50 PM
,Mixed / non conventional,72.00,65.00,71.00,27.00,-2296.52,0.61,0.00,178.36,-110.844,0.362,3333,7/12/2022 1:28:52 PM
,Mixed / non conventional,72.00,65.00,71.00,28.00,-2539.21,0.33,0.00,77.21,-122.926,0.363,3333,7/12/2022 1:28:54 PM
,Mixed / non conventional,72.00,65.00,71.00,29.00,-2686.28,0.59,0.00,37.88,-130.060,0.363,3333,7/12/2022 1:28:56 PM
