,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name,Date
,Mixed / non conventional,72.00,1.00,2.00,3.00,8144.86,0.17,0.00,13.34,-1019.791,1.573,6666,7/7/2022 3:54:13 PM
,Mixed / non conventional,72.00,1.00,3.00,4.00,15610.15,0.17,0.00,99.32,-652.061,1.573,6666,7/7/2022 3:54:13 PM
,Mixed / non conventional,72.00,1.00,4.00,5.00,22078.66,0.16,0.00,-72.80,-461.755,1.573,6666,7/7/2022 3:54:13 PM
,Mixed / non conventional,72.00,1.00,5.00,6.00,-25920.39,0.18,0.00,32.81,325.873,1.573,6666,7/7/2022 3:54:13 PM
,Mixed / non conventional,72.00,1.00,6.00,7.00,-24852.19,0.16,0.00,-46.66,208.808,1.573,6666,7/7/2022 3:54:13 PM
,Mixed / non conventional,72.00,1.00,7.00,8.00,-13121.34,0.19,0.00,70.44,78.989,1.573,6666,7/7/2022 3:54:13 PM
,Mixed / non conventional,72.00,1.00,8.00,16.00,-2212.11,0.18,0.00,-118.07,43.424,1.573,6666,7/7/2022 3:54:13 PM
,Mixed / non conventional,72.00,1.00,16.00,24.00,-10113.95,0.16,0.00,359.88,66.239,1.573,6666,7/7/2022 3:54:14 PM
,Mixed / non conventional,72.00,1.00,24.00,32.00,-18549.04,0.16,0.00,-226.98,71.441,1.573,6666,7/7/2022 3:54:14 PM
,Mixed / non conventional,72.00,1.00,32.00,40.00,-17250.76,0.17,0.00,337.70,55.560,1.573,6666,7/7/2022 3:54:14 PM
,Mixed / non conventional,72.00,1.00,9.00,10.00,145674.58,0.37,0.00,4.96,-117.034,0.357,6666,7/7/2022 3:54:16 PM
,Mixed / non conventional,72.00,1.00,10.00,11.00,179646.77,0.43,0.00,42.15,-116.070,0.357,6666,7/7/2022 3:54:16 PM
,Mixed / non conventional,72.00,1.00,11.00,12.00,146066.22,0.44,0.00,82.18,-77.687,0.357,6666,7/7/2022 3:54:16 PM
,Mixed / non conventional,72.00,1.00,12.00,13.00,92126.32,0.50,0.00,-40.44,-41.119,0.357,6666,7/7/2022 3:54:16 PM
,Mixed / non conventional,72.00,1.00,13.00,14.00,1008.29,0.06,0.00,-71.12,-8.890,8.265,6666,7/7/2022 3:54:18 PM
,Mixed / non conventional,72.00,1.00,14.00,15.00,-38129.69,0.06,0.00,134.77,290.756,8.265,6666,7/7/2022 3:54:18 PM
,Mixed / non conventional,72.00,1.00,15.00,16.00,-33431.00,0.04,0.00,-111.33,223.185,8.265,6666,7/7/2022 3:54:18 PM
,Mixed / non conventional,72.00,1.00,16.00,23.00,-10653.75,0.08,0.00,212.53,333.019,8.265,6666,7/7/2022 3:54:18 PM
,Mixed / non conventional,72.00,1.00,23.00,24.00,-6358.58,0.08,0.00,154.84,20.086,8.265,6666,7/7/2022 3:54:18 PM
,Mixed / non conventional,72.00,1.00,24.00,31.00,-22682.59,0.04,0.00,-180.78,408.822,8.265,6666,7/7/2022 3:54:18 PM
,Mixed / non conventional,72.00,1.00,17.00,18.00,251066.77,0.03,0.00,-201.81,-1331.115,8.301,6666,7/7/2022 3:54:20 PM
,Mixed / non conventional,72.00,1.00,18.00,19.00,304058.34,0.06,0.00,93.69,-1453.082,8.301,6666,7/7/2022 3:54:20 PM
,Mixed / non conventional,72.00,1.00,19.00,20.00,266258.88,0.03,0.00,352.68,-1156.164,8.301,6666,7/7/2022 3:54:20 PM
,Mixed / non conventional,72.00,1.00,20.00,21.00,177868.72,0.03,0.00,-381.56,-706.986,8.301,6666,7/7/2022 3:54:20 PM
,Mixed / non conventional,72.00,1.00,21.00,22.00,82834.50,0.00,0.00,105.16,-303.471,8.301,6666,7/7/2022 3:54:20 PM
,Mixed / non conventional,72.00,1.00,22.00,23.00,-12826.91,0.09,0.00,71.04,43.596,8.301,6666,7/7/2022 3:54:20 PM
,Mixed / non conventional,72.00,1.00,23.00,31.00,-20257.37,0.03,0.00,-25.21,430.960,8.301,6666,7/7/2022 3:54:20 PM
,Mixed / non conventional,72.00,1.00,31.00,32.00,12634.57,0.06,0.00,-39.70,-28.126,8.301,6666,7/7/2022 3:54:20 PM
,Mixed / non conventional,72.00,1.00,32.00,39.00,-26761.96,0.06,0.00,-29.58,397.583,8.301,6666,7/7/2022 3:54:20 PM
,Mixed / non conventional,72.00,1.00,39.00,40.00,46725.27,0.06,0.00,374.24,-100.108,8.301,6666,7/7/2022 3:54:21 PM
,Mixed / non conventional,72.00,1.00,25.00,26.00,282618.69,0.06,0.00,66.34,-424.150,4.429,6666,7/7/2022 3:54:23 PM
,Mixed / non conventional,72.00,1.00,26.00,27.00,297704.56,0.08,0.00,106.12,-424.200,4.429,6666,7/7/2022 3:54:23 PM
,Mixed / non conventional,72.00,1.00,27.00,28.00,250906.45,0.08,0.00,-69.95,-341.247,4.429,6666,7/7/2022 3:54:23 PM
,Mixed / non conventional,72.00,1.00,28.00,29.00,202032.27,0.08,0.00,12.23,-263.631,4.429,6666,7/7/2022 3:54:23 PM
,Mixed / non conventional,72.00,1.00,29.00,30.00,118097.71,0.10,0.00,-39.82,-148.607,4.429,6666,7/7/2022 3:54:23 PM
,Mixed / non conventional,72.00,1.00,30.00,31.00,57662.84,0.12,0.00,91.59,-70.320,4.429,6666,7/7/2022 3:54:23 PM
,Mixed / non conventional,72.00,1.00,31.00,39.00,-21575.66,0.05,0.00,-74.95,196.641,4.429,6666,7/7/2022 3:54:23 PM
,Mixed / non conventional,72.00,1.00,39.00,47.00,-12941.96,0.04,0.00,5.43,130.207,4.429,6666,7/7/2022 3:54:23 PM
,Mixed / non conventional,72.00,1.00,47.00,48.00,32437.74,0.16,0.00,-44.45,-48.682,4.429,6666,7/7/2022 3:54:23 PM
,Mixed / non conventional,72.00,1.00,48.00,56.00,-5434.73,0.08,0.00,73.53,91.662,4.429,6666,7/7/2022 3:54:23 PM
,Mixed / non conventional,72.00,1.00,33.00,34.00,230558.28,0.06,0.00,-176.31,-429.221,7.213,6666,7/7/2022 3:54:25 PM
,Mixed / non conventional,72.00,1.00,34.00,35.00,203346.72,0.06,0.00,128.00,-374.074,7.213,6666,7/7/2022 3:54:25 PM
,Mixed / non conventional,72.00,1.00,35.00,36.00,184975.78,0.05,0.00,208.85,-337.855,7.213,6666,7/7/2022 3:54:25 PM
,Mixed / non conventional,72.00,1.00,36.00,37.00,151199.58,0.06,0.00,-394.16,-275.506,7.213,6666,7/7/2022 3:54:25 PM
,Mixed / non conventional,72.00,1.00,37.00,38.00,97590.90,0.04,0.00,27.55,-178.248,7.213,6666,7/7/2022 3:54:25 PM
,Mixed / non conventional,72.00,1.00,38.00,39.00,74105.77,0.06,0.00,11.33,-136.324,7.213,6666,7/7/2022 3:54:25 PM
,Mixed / non conventional,72.00,1.00,39.00,48.00,-7078.17,0.03,0.00,-37.54,133.279,7.213,6666,7/7/2022 3:54:25 PM
,Mixed / non conventional,72.00,1.00,48.00,55.00,-8739.97,0.07,0.00,124.39,199.807,7.213,6666,7/7/2022 3:54:25 PM
,Mixed / non conventional,72.00,1.00,55.00,56.00,10823.94,0.06,0.00,-47.57,-49.865,7.213,6666,7/7/2022 3:54:25 PM
,Mixed / non conventional,72.00,1.00,56.00,64.00,-1403.84,0.09,0.00,345.67,104.441,7.213,6666,7/7/2022 3:54:25 PM
,Mixed / non conventional,72.00,1.00,41.00,42.00,119198.83,0.02,0.00,-49.58,-235.064,7.353,6666,7/7/2022 3:54:28 PM
,Mixed / non conventional,72.00,1.00,42.00,43.00,113016.95,0.03,0.00,27.47,-228.840,7.353,6666,7/7/2022 3:54:28 PM
,Mixed / non conventional,72.00,1.00,43.00,44.00,103780.26,0.05,0.00,-61.97,-216.829,7.353,6666,7/7/2022 3:54:28 PM
,Mixed / non conventional,72.00,1.00,44.00,45.00,89284.19,0.03,0.00,-32.91,-193.444,7.353,6666,7/7/2022 3:54:28 PM
