,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,71.00,1.00,-2040.38,0.75,0.00,-310.97,-47.564,0.175,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,2.00,-2411.75,2.74,0.00,-296.58,-48.616,0.152,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,3.00,-3120.00,0.98,0.00,-327.55,-49.720,0.120,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,4.00,-4300.62,0.63,0.00,-295.59,-52.053,0.091,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,5.00,-4260.39,4.05,0.00,-314.08,-52.324,0.092,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,6.00,-3329.39,1.33,0.00,-294.21,-49.802,0.113,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,7.00,-2663.70,2.95,0.00,-320.18,-48.960,0.138,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,8.00,-2457.20,0.70,0.00,-271.40,-48.610,0.149,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,9.00,-1776.24,1.33,0.00,-417.63,-48.305,0.205,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,10.00,-2131.30,1.02,0.00,-400.53,-48.394,0.171,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,11.00,-2622.87,0.14,0.00,-274.76,-48.709,0.140,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,12.00,-3014.68,4.56,0.00,-201.24,-49.297,0.123,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,13.00,-3054.15,1.17,0.00,-180.99,-49.294,0.121,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,14.00,-2765.70,2.01,0.00,-307.87,-48.887,0.133,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,15.00,-2508.73,1.64,0.00,-92.05,-48.588,0.146,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,16.00,-2274.14,1.13,0.00,-296.47,-48.480,0.160,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,17.00,-1376.73,0.29,0.00,-451.94,-48.473,0.265,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,18.00,-1697.28,1.33,0.00,-482.84,-48.318,0.214,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,19.00,-1955.19,0.67,0.00,-349.97,-48.321,0.186,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,20.00,-2276.57,0.34,0.00,-211.96,-48.422,0.160,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,21.00,-2370.47,1.93,0.00,-291.99,-48.467,0.154,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,22.00,-2264.36,1.14,0.00,-116.43,-48.429,0.161,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,23.00,-2118.75,2.46,0.00,36.86,-48.343,0.171,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,24.00,-2002.80,2.95,0.00,-233.77,-48.295,0.181,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,25.00,-834.36,0.62,0.00,-438.09,-49.033,0.441,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,26.00,-1127.01,0.86,0.00,-490.08,-48.753,0.325,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,27.00,-1375.96,0.54,0.00,-71.95,-48.489,0.264,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,28.00,-1622.91,2.08,0.00,-188.51,-48.410,0.224,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,29.00,-1749.03,2.24,0.00,-233.26,-48.318,0.207,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,30.00,-1774.46,1.94,0.00,-214.71,-48.286,0.204,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,31.00,-1719.56,0.92,0.00,5.47,-48.295,0.210,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,32.00,-1656.84,1.30,0.00,2.26,-48.267,0.218,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,33.00,-128.76,0.46,0.00,-381.11,-24.612,1.432,MA72B65Rec
