,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name,Date
,Mixed / non conventional,72.00,65.00,71.00,1.00,-2875.44,1.69,0.00,-363.80,-54.591,0.143,MA72B65Rec,7/7/2022 2:41:59 PM
,Mixed / non conventional,72.00,65.00,71.00,2.00,-3370.14,2.01,0.00,-351.03,-55.665,0.124,MA72B65Rec,7/7/2022 2:42:01 PM
,Mixed / non conventional,72.00,65.00,71.00,3.00,-3987.67,2.41,0.00,-382.49,-57.668,0.109,MA72B65Rec,7/7/2022 2:42:03 PM
,Mixed / non conventional,72.00,65.00,71.00,4.00,-5256.06,2.43,0.00,-344.99,-61.681,0.088,MA72B65Rec,7/7/2022 2:42:05 PM
,Mixed / non conventional,72.00,65.00,71.00,5.00,-5104.48,1.79,0.00,-389.72,-61.449,0.091,MA72B65Rec,7/7/2022 2:42:07 PM
,Mixed / non conventional,72.00,65.00,71.00,6.00,-4313.84,3.00,0.00,-359.04,-57.881,0.101,MA72B65Rec,7/7/2022 2:42:09 PM
,Mixed / non conventional,72.00,65.00,71.00,7.00,-3560.66,1.93,0.00,-381.85,-55.996,0.118,MA72B65Rec,7/7/2022 2:42:11 PM
,Mixed / non conventional,72.00,65.00,71.00,8.00,-3194.70,0.68,0.00,-368.30,-55.144,0.130,MA72B65Rec,7/7/2022 2:42:13 PM
,Mixed / non conventional,72.00,65.00,71.00,9.00,-2622.49,1.93,0.00,-608.29,-53.818,0.154,MA72B65Rec,7/7/2022 2:42:15 PM
,Mixed / non conventional,72.00,65.00,71.00,10.00,-2997.52,0.38,0.00,-458.81,-54.622,0.137,MA72B65Rec,7/7/2022 2:42:17 PM
,Mixed / non conventional,72.00,65.00,71.00,11.00,-3429.93,0.55,0.00,-404.20,-55.576,0.122,MA72B65Rec,7/7/2022 2:42:20 PM
,Mixed / non conventional,72.00,65.00,71.00,12.00,-3878.43,0.62,0.00,-250.52,-56.756,0.110,MA72B65Rec,7/7/2022 2:42:22 PM
,Mixed / non conventional,72.00,65.00,71.00,13.00,-3936.44,1.03,0.00,-347.07,-56.797,0.108,MA72B65Rec,7/7/2022 2:42:24 PM
,Mixed / non conventional,72.00,65.00,71.00,14.00,-3601.26,0.94,0.00,-428.94,-55.951,0.117,MA72B65Rec,7/7/2022 2:42:26 PM
,Mixed / non conventional,72.00,65.00,71.00,15.00,-3331.37,1.07,0.00,-131.24,-55.131,0.124,MA72B65Rec,7/7/2022 2:42:28 PM
,Mixed / non conventional,72.00,65.00,71.00,16.00,-3047.91,1.09,0.00,-395.83,-54.584,0.135,MA72B65Rec,7/7/2022 2:42:30 PM
,Mixed / non conventional,72.00,65.00,71.00,17.00,-2141.36,0.81,0.00,-496.36,-52.797,0.185,MA72B65Rec,7/7/2022 2:42:32 PM
,Mixed / non conventional,72.00,65.00,71.00,18.00,-2500.31,1.14,0.00,-634.00,-53.370,0.160,MA72B65Rec,7/7/2022 2:42:34 PM
,Mixed / non conventional,72.00,65.00,71.00,19.00,-2827.78,0.98,0.00,-340.89,-53.980,0.143,MA72B65Rec,7/7/2022 2:42:36 PM
,Mixed / non conventional,72.00,65.00,71.00,20.00,-3096.56,1.52,0.00,-239.30,-54.502,0.132,MA72B65Rec,7/7/2022 2:42:38 PM
,Mixed / non conventional,72.00,65.00,71.00,21.00,-3096.93,1.98,0.00,-396.51,-54.676,0.133,MA72B65Rec,7/7/2022 2:42:40 PM
,Mixed / non conventional,72.00,65.00,71.00,22.00,-3090.94,1.85,0.00,-157.10,-54.511,0.132,MA72B65Rec,7/7/2022 2:42:42 PM
,Mixed / non conventional,72.00,65.00,71.00,23.00,-2856.14,2.88,0.00,-93.97,-53.986,0.142,MA72B65Rec,7/7/2022 2:42:44 PM
,Mixed / non conventional,72.00,65.00,71.00,24.00,-2759.48,1.37,0.00,-325.33,-53.780,0.146,MA72B65Rec,7/7/2022 2:42:46 PM
,Mixed / non conventional,72.00,65.00,71.00,25.00,-1577.96,0.66,0.00,-474.97,-51.735,0.246,MA72B65Rec,7/7/2022 2:42:48 PM
,Mixed / non conventional,72.00,65.00,71.00,26.00,-1870.85,0.35,0.00,-391.15,-52.184,0.209,MA72B65Rec,7/7/2022 2:42:50 PM
,Mixed / non conventional,72.00,65.00,71.00,27.00,-2058.99,0.84,0.00,-53.46,-52.559,0.192,MA72B65Rec,7/7/2022 2:42:52 PM
,Mixed / non conventional,72.00,65.00,71.00,28.00,-2303.91,1.54,0.00,-202.36,-52.931,0.172,MA72B65Rec,7/7/2022 2:42:55 PM
,Mixed / non conventional,72.00,65.00,71.00,29.00,-2339.51,1.08,0.00,-127.47,-53.071,0.170,MA72B65Rec,7/7/2022 2:42:57 PM
,Mixed / non conventional,72.00,65.00,71.00,30.00,-2352.37,0.99,0.00,-258.08,-53.064,0.169,MA72B65Rec,7/7/2022 2:42:59 PM
,Mixed / non conventional,72.00,65.00,71.00,31.00,-2344.75,0.72,0.00,-44.93,-52.944,0.169,MA72B65Rec,7/7/2022 2:43:01 PM
,Mixed / non conventional,72.00,65.00,71.00,32.00,-2253.15,1.94,0.00,-155.74,-52.861,0.176,MA72B65Rec,7/7/2022 2:43:03 PM
,Mixed / non conventional,72.00,65.00,71.00,33.00,-829.40,1.03,0.00,-425.81,-50.731,0.458,MA72B65Rec,7/7/2022 2:43:05 PM
