,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,71.00,1.00,-2327.78,0.98,0.00,-125.21,-49.443,0.160
,Mixed / non conventional,72.00,65.00,71.00,2.00,-2608.81,2.29,0.00,-166.58,-49.627,0.143
,Mixed / non conventional,72.00,65.00,71.00,3.00,-3264.95,3.68,0.00,-109.58,-49.936,0.115
,Mixed / non conventional,72.00,65.00,71.00,4.00,-4096.55,1.98,0.00,-134.13,-51.093,0.094
,Mixed / non conventional,72.00,65.00,71.00,5.00,-4278.04,1.79,0.00,-160.47,-51.026,0.090
,Mixed / non conventional,72.00,65.00,71.00,6.00,-3354.74,1.91,0.00,-103.97,-49.761,0.112
,Mixed / non conventional,72.00,65.00,71.00,7.00,-2966.70,0.45,0.00,-147.84,-49.214,0.125
,Mixed / non conventional,72.00,65.00,71.00,8.00,-2685.20,0.44,0.00,-122.18,-48.883,0.137
,Mixed / non conventional,72.00,65.00,71.00,9.00,-2153.45,1.85,0.00,-265.05,-48.655,0.170
,Mixed / non conventional,72.00,65.00,71.00,10.00,-2428.22,1.34,0.00,-254.10,-48.635,0.151
,Mixed / non conventional,72.00,65.00,71.00,11.00,-2807.80,1.91,0.00,-203.75,-48.829,0.131
,Mixed / non conventional,72.00,65.00,71.00,12.00,-3322.47,0.81,0.00,-130.96,-49.135,0.111
,Mixed / non conventional,72.00,65.00,71.00,13.00,-3235.86,1.11,0.00,-143.77,-49.147,0.114
,Mixed / non conventional,72.00,65.00,71.00,14.00,-3108.94,1.10,0.00,-254.56,-48.922,0.118
,Mixed / non conventional,72.00,65.00,71.00,15.00,-2760.05,0.29,0.00,-66.32,-48.731,0.133
,Mixed / non conventional,72.00,65.00,71.00,16.00,-2634.15,1.34,0.00,-234.65,-48.651,0.139
,Mixed / non conventional,72.00,65.00,71.00,17.00,-1922.74,1.44,0.00,-270.70,-48.613,0.190
,Mixed / non conventional,72.00,65.00,71.00,18.00,-2121.93,0.31,0.00,-334.74,-48.613,0.172
,Mixed / non conventional,72.00,65.00,71.00,19.00,-2385.85,0.50,0.00,-253.03,-48.591,0.153
,Mixed / non conventional,72.00,65.00,71.00,20.00,-2767.15,1.12,0.00,-103.61,-48.683,0.132
,Mixed / non conventional,72.00,65.00,71.00,21.00,-2714.09,1.79,0.00,-222.92,-48.699,0.135
,Mixed / non conventional,72.00,65.00,71.00,22.00,-2667.97,4.09,0.00,-127.32,-48.667,0.137
,Mixed / non conventional,72.00,65.00,71.00,23.00,-2446.76,2.60,0.00,-22.23,-48.779,0.150
,Mixed / non conventional,72.00,65.00,71.00,24.00,-2414.93,1.74,0.00,-207.14,-48.670,0.151
,Mixed / non conventional,72.00,65.00,71.00,25.00,-1391.71,0.26,0.00,-295.01,-49.033,0.264
,Mixed / non conventional,72.00,65.00,71.00,26.00,-1642.08,0.50,0.00,-340.82,-48.861,0.223
,Mixed / non conventional,72.00,65.00,71.00,27.00,-1866.98,0.54,0.00,-42.09,-48.734,0.196
,Mixed / non conventional,72.00,65.00,71.00,28.00,-2072.23,2.10,0.00,-27.02,-48.696,0.176
,Mixed / non conventional,72.00,65.00,71.00,29.00,-2210.85,2.70,0.00,-174.12,-48.664,0.165
,Mixed / non conventional,72.00,65.00,71.00,30.00,-2225.30,1.01,0.00,-181.67,-48.766,0.164
,Mixed / non conventional,72.00,65.00,71.00,31.00,-2175.33,1.80,0.00,-1.24,-48.651,0.168
,Mixed / non conventional,72.00,65.00,71.00,32.00,-2091.96,2.14,0.00,-58.09,-48.661,0.174
,Mixed / non conventional,72.00,65.00,71.00,33.00,-560.52,0.36,0.00,-262.75,-50.050,0.669
,Mixed / non conventional,72.00,65.00,71.00,34.00,-813.12,0.96,0.00,-288.54,-49.923,0.460
,Mixed / non conventional,72.00,65.00,71.00,35.00,-1076.06,0.16,0.00,53.23,-49.682,0.345
,Mixed / non conventional,72.00,65.00,71.00,36.00,-1363.35,1.55,0.00,-90.00,-49.408,0.271
,Mixed / non conventional,72.00,65.00,71.00,37.00,-1493.35,2.03,0.00,-182.56,-49.128,0.246
,Mixed / non conventional,72.00,65.00,71.00,38.00,-1633.34,1.28,0.00,-103.04,-49.023,0.224
,Mixed / non conventional,72.00,65.00,71.00,39.00,-1722.43,0.63,0.00,4.81,-48.928,0.212
,Mixed / non conventional,72.00,65.00,71.00,40.00,-1793.16,1.08,0.00,20.15,-48.880,0.203
,Mixed / non conventional,72.00,65.00,71.00,41.00,540.26,0.45,0.00,-250.43,50.076,0.691
,Mixed / non conventional,72.00,65.00,71.00,42.00,174.46,0.21,0.00,-299.99,27.359,1.168
,Mixed / non conventional,72.00,65.00,71.00,43.00,-249.99,0.32,0.00,-44.84,-39.158,1.166
,Mixed / non conventional,72.00,65.00,71.00,44.00,-592.70,1.17,0.00,-83.89,-50.553,0.634
,Mixed / non conventional,72.00,65.00,71.00,45.00,-855.61,0.34,0.00,-105.13,-50.044,0.434
,Mixed / non conventional,72.00,65.00,71.00,46.00,-1086.26,0.21,0.00,-251.01,-49.777,0.340
,Mixed / non conventional,72.00,65.00,71.00,47.00,-1210.85,0.34,0.00,64.63,-49.570,0.303
,Mixed / non conventional,72.00,65.00,71.00,48.00,-1328.75,1.02,0.00,-154.83,-49.402,0.275
,Mixed / non conventional,72.00,65.00,71.00,49.00,1545.26,0.84,0.00,-278.59,49.252,0.235
,Mixed / non conventional,72.00,65.00,71.00,50.00,1166.72,0.87,0.00,-292.52,49.481,0.312
,Mixed / non conventional,72.00,65.00,71.00,51.00,593.11,0.26,0.00,-145.68,50.120,0.619
,Mixed / non conventional,72.00,65.00,71.00,52.00,125.69,0.22,0.00,-172.38,20.075,1.167
,Mixed / non conventional,72.00,65.00,71.00,53.00,-265.50,0.48,0.00,-216.69,-42.226,1.157
,Mixed / non conventional,72.00,65.00,71.00,54.00,-555.37,0.23,0.00,-187.61,-50.591,0.659
,Mixed / non conventional,72.00,65.00,71.00,55.00,-779.44,1.70,0.00,33.59,-50.063,0.461
,Mixed / non conventional,72.00,65.00,71.00,56.00,-857.17,0.20,0.00,-9.15,-49.964,0.415
,Mixed / non conventional,72.00,65.00,71.00,57.00,2668.28,0.46,0.00,-333.95,50.050,0.132
,Mixed / non conventional,72.00,65.00,71.00,58.00,2012.05,3.21,0.00,-401.42,49.577,0.171
,Mixed / non conventional,72.00,65.00,71.00,59.00,1309.02,1.92,0.00,210.99,49.344,0.257
,Mixed / non conventional,72.00,65.00,71.00,60.00,670.30,0.57,0.00,-152.19,49.901,0.492
,Mixed / non conventional,72.00,65.00,71.00,61.00,240.14,0.72,0.00,-148.74,44.340,1.169
,Mixed / non conventional,72.00,65.00,71.00,62.00,-100.49,0.17,0.00,-34.88,-19.760,1.158
,Mixed / non conventional,72.00,65.00,71.00,63.00,-253.62,0.21,0.00,33.02,-50.721,1.028
