datetime,name,dataset,iteration,resRMS,phaseRMS,read,rejected,success
2022-05-13 16:25:00,PRD_ERT_1_130522,1,1,0.9,,2332,,N/A
2022-05-17 15:00:00,PRD_ERT_2_170522,1,1,1.04,,2301,,N/A
2022-05-19 15:38:00,PRD_ERT_3_190522,1,1,1.43,,2244,,N/A
2022-05-19 18:20:00,PRD_ERT_4_190522,1,1,0.82,,2317,,N/A
2022-05-23 07:45:00,PRD_ERT_5_230522,1,1,1.2,,2260,,N/A
2022-05-25 13:30:00,PRD_ERT_6_250522,1,1,1.37,,2287,,N/A
2022-06-01 12:50:00,PRD_ERT_7_010622,1,1,1.36,,2048,,N/A
2022-06-01 16:35:00,PRD_ERT_8_010622,1,1,1.15,,1920,,N/A
2022-06-06 10:15:00,PRD_ERT_9_060622,1,1,1.53,,2268,,N/A
2022-06-08 10:00:00,PRD_ERT_10_080622,1,1,1.41,,2230,,N/A
2022-06-08 12:30:00,PRD_ERT_11_080622,1,1,1.16,,2028,,N/A
2022-06-15 16:20:00,PRD_ERT_12_150622,1,1,1.08,,2137,,N/A
2022-06-15 17:50:00,PRD_ERT_13_150622,1,1,1.47,,1493,,N/A
2022-06-22 16:10:00,PRD_ERT_14_220622,1,1,1.38,,2109,,N/A
2022-06-22 17:21:00,PRD_ERT_15_220622,1,1,1.14,,1372,,N/A
2022-06-23 10:55:00,PRD_ERT_16_230622,1,1,1.48,,2229,,N/A
2022-06-23 15:20:00,PRD_ERT_17_230622,1,1,1.38,,2268,,N/A
2022-06-29 09:30:00,PRD_ERT_18_290622,1,1,1.27,,2075,,N/A
2022-06-29 14:15:00,PRD_ERT_19_290622,1,1,2.04,,2027,,N/A
2022-07-05 16:35:00,PRD_ERT_20_050722,1,1,1.7,,2067,,N/A
2022-07-05 16:35:00,PRD_ERT_20_050722,1,2,0.9,,2067,,N/A
2022-07-05 16:35:00,PRD_ERT_20_050722,1,2,1.0,,2067,,N/A
2022-07-05 18:25:00,PRD_ERT_21_050722,1,1,1.85,,980,,N/A
2022-07-05 18:25:00,PRD_ERT_21_050722,1,2,0.57,,980,,N/A
2022-07-05 18:25:00,PRD_ERT_21_050722,1,2,0.79,,980,,N/A
2022-07-07 13:15:00,PRD_ERT_22_070722,1,1,1.98,,2225,,N/A
2022-07-07 13:15:00,PRD_ERT_22_070722,1,2,0.75,,2225,,N/A
2022-07-07 13:15:00,PRD_ERT_22_070722,1,2,1.0,,2225,,N/A
2022-07-11 11:20:00,PRD_ERT_23_110722,1,1,2.5,,2093,,N/A
2022-07-11 11:20:00,PRD_ERT_23_110722,1,2,0.96,,2093,,N/A
2022-07-11 11:20:00,PRD_ERT_23_110722,1,2,1.0,,2093,,N/A
2022-07-11 15:50:00,PRD_ERT_24_110722,1,1,2.72,,2238,,N/A
2022-07-11 15:50:00,PRD_ERT_24_110722,1,2,0.88,,2238,,N/A
2022-07-11 15:50:00,PRD_ERT_24_110722,1,2,1.01,,2238,,N/A
2022-07-12 12:00:00,PRD_ERT_25_120722,1,1,2.68,,2255,,N/A
2022-07-12 12:00:00,PRD_ERT_25_120722,1,2,0.98,,2255,,N/A
2022-07-12 12:00:00,PRD_ERT_25_120722,1,2,1.0,,2255,,N/A
