PRD_MALM_1_130522,PRD_MALM_2_170522,PRD_MALM_3_190522,PRD_MALM_4_190522,PRD_MALM_5_230522,PRD_MALM_7_010622,PRD_MALM2_7_010622,PRD_MALM_8_010622,PRD_MALM2_8_010622,PRD_MALM_9_060622,PRD_MALM2_9_060622,PRD_MALM_10_080622,PRD_MALM2_10_080622,PRD_MALM_11_080622,PRD_MALM2_11_080622,PRD_MALM_12_150622,PRD_MALM2_12_150622,PRD_MALM_13_150622,PRD_MALM2_13_150622,PRD_MALM_14_220622,PRD_MALM2_14_220622,PRD_MALM_15_220622,PRD_MALM2_15_220622,PRD_MALM_16_230622,PRD_MALM2_16_230622,PRD_MALM_17_230622,PRD_MALM2_17_230622,PRD_MALM_18_290622,PRD_MALM2_18_290622,PRD_MALM_19_290622,PRD_MALM2_19_290622,PRD_MALM_20_050722,PRD_MALM2_20_050722,PRD_MALM_21_050722,PRD_MALM2_21_050722,PRD_MALM_22_070722,PRD_MALM2_22_070722,PRD_MALM_23_110722,PRD_MALM2_23_110722,PRD_MALM_24_110722,PRD_MALM2_24_110722,PRD_MALM_25_120722,PRD_MALM2_25_120722
2022-05-13 17:15:00,2022-05-17 17:15:00,2022-05-19 16:46:00,2022-05-19 18:55:00,2022-05-23 08:20:00,2022-06-01 15:20:00,2022-06-01 15:40:00,2022-06-01 16:15:00,2022-06-01 16:25:00,2022-06-06 12:00:00,2022-06-06 12:15:00,2022-06-08 11:30:00,2022-06-08 11:40:00,2022-06-08 12:05:00,2022-06-08 12:15:00,2022-06-15 17:05:00,2022-06-15 17:15:00,2022-06-15 18:25:00,2022-06-15 18:35:00,2022-06-22 16:44:00,2022-06-22 16:58:00,2022-06-22 17:52:00,2022-06-22 18:00:00,2022-06-23 11:30:00,2022-06-23 11:44:00,2022-06-23 16:10:00,2022-06-23 16:26:00,2022-06-29 10:14:00,2022-06-29 10:24:00,2022-06-29 14:50:00,2022-06-29 15:02:00,2022-07-05 17:15:00,2022-07-05 17:55:00,2022-07-05 19:15:00,2022-07-05 19:35:00,2022-07-07 13:50:00,2022-07-07 14:20:00,2022-07-11 12:05:00,2022-07-11 12:15:00,2022-07-11 16:30:00,2022-07-11 16:40:00,2022-07-12 12:40:00,2022-07-12 12:50:00
Stem,Stem,Stem,Stem,Stem,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil,Stem,Soil
8.980031556624752e-15,2.4480876390697874e-22,2.8766034178373653e-25,3.573643696835162e-23,2.0840750909788177e-22,2.5321014275187963e-06,2.150805045534569e-28,1.7501687794262668e-09,0.00012327409232649965,4.601731182798674e-05,7.661104071777752e-23,3.2323220372907314e-29,2.947180983083877e-25,1.7203172061160928e-27,0.0005587155980826035,0.0015098405101615147,5.957495827931069e-34,6.601981124574294e-31,1.222229899725105e-29,1.8308521386588274e-24,1.9481856090150515e-38,0.00035167542757454025,1.7576351118157155e-27,5.703900226725003e-45,7.423323565479223e-32,0.000396854690197161,2.067173113802379e-30,6.231052669069766e-21,2.187490814203565e-31,2.290600157592366e-12,0.0003458644384495314,2.1495752777516042e-39,1.988103097241848e-35,0.0034287126259461894,6.550328888992683e-34,6.08720126338333e-12,1.5810139699686697e-21,3.45775571032859e-22,4.216343163839234e-42,1.3856094092866952e-28,5.328252548371671e-11,5.348659763801854e-19,7.32808247622002e-30
2.0954829821251843e-39,7.663892586480076e-33,1.1482638776545114e-37,1.2592930149190878e-33,3.2598708645228833e-38,2.7309076911089204e-05,9.827945559799837e-24,1.153559297285488e-05,1.6983436879591185e-05,5.320745369852355e-07,1.0363713368725248e-28,3.887546383055947e-33,7.010447445706926e-31,3.071077537446435e-28,2.1450375233975766e-06,9.814647875512606e-05,1.497963709998618e-29,1.5608326764207616e-32,4.970722448257194e-32,4.157837776909331e-30,1.0320740501674583e-32,6.112578189073305e-05,8.973549866406867e-27,1.1757944316191869e-36,2.459594040235159e-21,2.4526715936904005e-06,1.8590720687768729e-28,5.043279249314524e-33,2.422179616295843e-26,5.100617749155098e-23,0.00021240400196400697,4.453699800081892e-41,3.2909955380091475e-29,1.1217282642877628e-09,3.7619707173878545e-31,2.9357582002605973e-10,8.570776227258636e-25,9.097745130332365e-39,2.373048893796587e-43,9.941332787471495e-32,5.705761883418545e-05,7.3775027971190995e-34,1.3371617023257498e-32
2.6076302827207354e-39,7.889971398964432e-33,3.0303754486983444e-39,4.628337675710136e-28,3.5423664488936034e-32,2.561902804310663e-05,7.053414702166021e-24,1.0912941412866073e-05,1.6407763717863148e-05,5.170335378387298e-07,9.925654791230301e-29,3.931568911238758e-33,6.7754838161675305e-31,2.9849186539718417e-28,2.179777598026857e-06,3.630390360071205e-08,8.245120455071573e-30,1.117271293698369e-32,1.425591105453047e-34,4.737996042704524e-37,4.613545128216936e-41,5.785689778197294e-05,5.7971200579850475e-27,9.216966562884581e-37,1.47784008346959e-21,2.1877382400901006e-06,1.901786170631516e-28,5.60401002887717e-33,1.7704914550872916e-26,9.119146700043913e-24,4.6688380716688756e-05,1.3347403605804723e-36,2.496529544234008e-29,0.0010117102975770518,2.632776480916366e-31,9.466854804475449e-06,7.100591511711753e-25,6.376825106416141e-39,1.836091532644949e-43,8.553489819262555e-32,5.1459602240679984e-05,5.660756445408729e-34,1.0926085139076632e-32
5.525198148509974e-39,8.652519723184578e-33,1.5339401991599786e-37,5.716796439387583e-29,2.971828407723646e-32,2.1726392802726203e-05,2.984858693224511e-24,9.559286666011512e-06,1.399758955703746e-05,4.7596355618578044e-07,8.828605062271719e-29,4.098343372580303e-33,6.209246071486603e-31,2.7757440045650517e-28,2.3216236973150118e-06,0.0001343111637884309,3.485160993591955e-30,2.829721208247244e-33,6.436920666268061e-32,3.2574404193489645e-30,1.2255836259525694e-40,4.7602310465039205e-05,1.631654447828033e-27,4.396535560326008e-37,2.1221171263581896e-29,1.5196499513320971e-06,9.896924035392248e-29,2.743660775785711e-33,8.756463594589665e-27,2.237939946205997e-23,0.001049537624865243,7.079462220634779e-37,1.1704368968743436e-29,9.6446449095471e-10,9.495059586060461e-32,6.334833975068108e-06,4.114532058174443e-25,2.3520057868547666e-39,8.890891670915712e-44,5.838385800120204e-32,3.877560698933953e-05,2.8358367631664126e-34,6.27766566909272e-33
1.167863207489894e-38,1.003708981270941e-32,3.6390114880150767e-38,3.0993103096788916e-30,7.120342003367783e-33,1.765436969299419e-05,1.0415197349725505e-24,8.615771438059933e-06,1.1982858533170683e-05,4.1882646361246753e-07,7.443667391053818e-29,4.512713691317852e-33,5.57477666905012e-31,2.565953478873233e-28,2.7087946457262327e-06,9.997671981701282e-05,8.674341449746077e-31,1.0431507683219833e-33,2.9094504924200954e-32,7.2670650036196125e-31,2.3478897886649965e-35,3.231475246829673e-05,2.277409472528018e-28,1.176525989379158e-37,5.515931047640791e-22,8.039084751760818e-07,2.7183195143782296e-29,2.284138286255845e-34,2.8592198013071136e-27,3.472779664381028e-33,1.3038165433002907e-11,2.149599012791726e-37,3.2601374412613965e-30,0.0010743597522423615,2.1223535052774172e-32,3.114305932933266e-06,1.7205424946602324e-25,5.280136890809919e-40,2.9016964290071953e-44,3.209343734321297e-32,2.5714062198617636e-05,6.702352144261452e-35,2.7995208255244112e-33
3.690784249343067e-38,1.307700046558153e-32,1.668335701938008e-39,5.894597646102938e-32,1.3524190491059112e-33,1.386262456153e-05,3.493260785000307e-25,8.718916422768963e-06,1.124529684871774e-05,3.5674536804329217e-07,5.963614914173594e-29,5.3710339796130254e-33,5.021442693200153e-31,2.5240291738053933e-28,3.6699728307653564e-06,6.428959655287353e-05,1.1800252056354557e-31,9.907174869410076e-35,8.694757024208136e-33,9.339357865517563e-32,6.373437397258975e-37,1.7801523554555742e-05,2.1350474635930816e-29,2.0327383814126791e-38,6.723192199501982e-23,3.724168184297412e-07,4.29741983174744e-30,8.913907325980205e-36,6.699843940046708e-28,9.933950515118503e-27,0.00031691653339569544,3.831596273423889e-38,5.896267170423697e-31,0.0008342724504285431,3.557600112718541e-33,1.1922515764883288e-06,5.319860988802268e-26,8.714082057801338e-41,6.707836256536028e-45,1.4633988348223576e-32,1.534832079602417e-05,1.2039591574621044e-35,9.967398948383387e-34
1.8644314386238722e-37,2.0411193861539288e-32,2.1367719133748298e-41,7.055507020920861e-34,2.2831702666002093e-34,1.0134799062533817e-05,1.1964259501628284e-25,9.894561562254345e-06,1.153277191136552e-05,2.9648960460264713e-07,4.348217804491106e-29,6.805036866032583e-33,4.352609461965227e-31,3.014694373506419e-28,5.959147504216845e-06,3.656677910998522e-05,1.6362242923076952e-32,6.111125336250178e-36,1.9390047476462414e-33,1.1336145727751603e-32,3.190374451625945e-38,8.55707185742056e-06,2.1082352789578436e-30,2.5461973128001744e-39,5.88161646474458e-24,1.4763919027041637e-07,5.431180747691806e-31,4.094987373158144e-37,1.4863462360878453e-28,3.8898871830391977e-28,0.00042044990705247424,5.355730402255973e-39,9.412763864816091e-32,0.0006301419119906985,6.587882848402756e-34,4.1014801438898606e-07,1.3598577984603958e-26,1.4206819331905184e-41,1.2660591592349649e-45,6.223019093601588e-33,8.631718225571855e-06,2.002902289917335e-36,2.9099655057390565e-34
1.3636016165890755e-36,3.9171232329651356e-32,3.177900348426653e-43,1.6463359709799782e-35,3.623841131847641e-35,6.969632679363009e-06,5.708918031867798e-26,1.2274626641438387e-05,1.2666726000747093e-05,2.358801566717681e-07,2.72905892480689e-29,8.771936380174833e-33,3.288500694659838e-31,5.51586781443804e-28,1.1642085276575555e-05,2.2666983532480654e-05,3.099037306993385e-33,4.177738307423856e-37,3.9595388447296396e-34,1.7513337684596015e-33,2.5692070174789287e-39,4.178438068212811e-06,2.7655362113757353e-31,4.094642197077177e-40,5.544755382712078e-25,5.60197693532747e-08,5.711095222431928e-32,2.7588298934536843e-38,3.538567675708464e-29,5.655474740106444e-29,0.0002436698730583738,8.827676083594353e-40,1.8386262716773086e-32,0.00046525966592770413,1.6992978442037403e-34,1.43016261971789e-07,3.364931944093467e-27,2.6953589222257174e-42,2.2519205752795124e-46,2.6684258076685672e-33,4.841059722725706e-06,3.4408929824150436e-37,7.163251926241708e-35
