Unnamed: 0,El-array,a,b,m,n,Rho,dev,ip,sp,vp,i,resist,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0,resInvError
,Mixed / non conventional,1,3,2,4,4549.02,0.12,0.0,-3.46,1691.241,3.504,482.660102739726,,,9.424777960769378,4548.964298844054,4969,-0.009360598138936908,-4.496940234250758,480.4116326226007,0.0,473.553006993007,471.1110759872098,-1.02912
,Mixed / non conventional,1,3,4,6,2224.49,0.11,0.0,23.43,-661.618,3.504,-188.81792237442923,,,-11.780972450961722,2224.45874174098,4970,-0.014406282751033101,-2.7007107766500553,-187.4675669861042,0.0,-171.69958041958043,-169.45640204148904,-2.06737
,Mixed / non conventional,1,3,6,8,2501.25,0.11,0.0,-38.56,-106.276,3.504,-30.329908675799086,,,-82.46680715673212,2501.2107298484198,4971,-0.003327697325818416,-0.10076110476333966,-30.279528123417414,0.0,-28.6220979020979,-28.504736463301448,-1.68709
,Mixed / non conventional,1,3,8,10,49293.62,0.12,0.0,-251.51,-698.151,3.504,-199.24400684931504,,,-247.400421470196,49293.05126993116,4972,-0.010687237624994881,-2.1180499947569444,-198.18498185193658,0.0,-201.0,-199.41172265904217,-0.14369
,Mixed / non conventional,1,3,10,12,-131389.78,0.12,0.0,2.71,845.859,3.504,241.39811643835617,,,-544.2809272344314,-131388.39064771374,4973,-0.00982751648793575,-2.3607438449246843,240.21774451589383,0.0,239.42769230769227,238.38154321721552,-0.39588
,Mixed / non conventional,1,3,12,14,33321.54,0.14,0.0,-38.81,-115.509,3.504,-32.96489726027397,,,-1010.8074362925171,33321.16328730375,4974,-0.01223768084774696,-0.40096047866477136,-32.764417020941586,0.0,-29.06041958041958,-28.847811831026114,-1.39879
,Mixed / non conventional,1,3,14,16,23664.97,0.1,0.0,-79.63,-49.221,3.504,-14.047089041095889,,,-1684.6790604875298,23664.836768338097,4975,0.00587657304062074,0.08279201140921622,-14.088485046800496,0.0,-13.888951048951048,-13.906912198144127,-0.74533
,Mixed / non conventional,1,3,16,18,423375.84,0.12,0.0,-5.23,-569.784,3.504,-162.6095890410959,,,-2603.594911662535,423369.4986149332,4976,-0.005723943275268571,-0.928111833940676,-162.14553312412556,0.0,-165.57482517482515,-164.80057048214942,-0.24546
,Mixed / non conventional,1,3,18,20,-545809.5,0.13,0.0,154.29,502.594,3.504,143.4343607305936,,,-3805.254101660642,-545804.1894891633,4977,0.00298707226358357,0.4290896614964197,143.6489055613418,0.0,150.1172027972028,150.28794712742092,0.07837
,Mixed / non conventional,1,3,20,22,-93965.48,0.12,0.0,-13.94,61.804,3.504,17.63812785388128,,,-5327.355742324881,-93964.58170623487,4978,0.003924481352188852,0.06935659818820028,17.67280615297538,0.0,14.596923076923076,14.58584471603163,-1.78983
