Unnamed: 0,El-array,a,b,m,n,Rho,dev,ip,sp,vp,i,resist,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err
,Mixed / non conventional,1,3,2,4,4463.67,0.17,0.0,16.03,1692.952,3.575,473.553006993007,,,9.424777960769378,4463.131943563759,1,-0.010366689005051043,-4.883862011594374,471.1110759872098,0.0
,Mixed / non conventional,1,3,4,6,2023.03,0.17,0.0,18.26,-613.826,3.575,-171.69958041958043,,,-11.780972450961722,2022.7880267647636,2,-0.026474991219773154,-4.486356756182772,-169.45640204148904,0.0
,Mixed / non conventional,1,3,6,8,2360.66,0.16,0.0,-22.59,-102.324,3.575,-28.6220979020979,,,-82.46680715673212,2360.3730281134144,3,-0.008234521932700294,-0.23472287759289756,-28.504736463301448,0.0
,Mixed / non conventional,1,3,8,10,49733.51,0.15,0.0,-232.99,-718.575,3.575,-201.0,,,-247.400421470196,49727.484715509396,4,-0.015929628607376272,-3.176554681915661,-199.41172265904217,0.0
,Mixed / non conventional,1,3,10,12,-130331.63,0.15,0.0,7.15,855.954,3.575,239.42769230769227,,,-544.2809272344314,-130315.92637483087,5,-0.008777098061853597,-2.0922981809534917,238.38154321721552,0.0
,Mixed / non conventional,1,3,12,14,29378.12,0.14,0.0,-32.14,-103.891,3.575,-29.06041958041958,,,-1010.8074362925171,29374.48821366878,6,-0.014739956752269372,-0.42521549878692966,-28.847811831026114,0.0
,Mixed / non conventional,1,3,14,16,23401.35,0.17,0.0,-57.47,-49.653,3.575,-13.888951048951048,,,-1684.6790604875298,23398.425004304143,7,0.002583053511400727,0.03592229838615779,-13.906912198144127,0.0
,Mixed / non conventional,1,3,16,18,431142.81,0.16,0.0,-65.75,-591.93,3.575,-165.57482517482515,,,-2603.594911662535,431089.7723245886,8,-0.009396262287327336,-1.5485093853514513,-164.80057048214942,0.0
,Mixed / non conventional,1,3,18,20,-571302.25,0.15,0.0,182.88,536.669,3.575,150.1172027972028,,,-3805.254101660642,-571234.1016738783,9,0.002272229190453291,0.3414886604362266,150.28794712742092,0.0
,Mixed / non conventional,1,3,20,22,-77772.52,0.16,0.0,8.62,52.184,3.575,14.596923076923076,,,-5327.355742324881,-77763.00197412072,10,-0.0015190564697660077,-0.022156721782890187,14.58584471603163,0.0
,Mixed / non conventional,1,3,5,7,2336.1,0.09,0.0,23.92,-150.739,2.433,-61.9560213727908,,,-37.699111843077524,2335.686979084942,11,-0.005211172228653545,-0.32202443557793714,-61.795009155001836,0.0
,Mixed / non conventional,1,3,7,9,69509.52,0.08,0.0,-163.01,-1121.294,2.433,-460.86888614878757,,,-150.79644737231,69497.39073567078,12,-0.09474220535912213,-41.68888614878756,-440.0244430743938,0.0
,Mixed / non conventional,1,3,9,11,-169716.8,0.08,0.0,-67.43,1095.117,2.433,450.10974106041925,,,-376.99111843077526,-169687.3746989541,13,-0.0007874547331056249,-0.35430154779959366,449.9325902865195,0.0
,Mixed / non conventional,1,3,11,13,-17823.38,0.1,0.0,78.84,57.504,2.433,23.635018495684342,,,-753.9822368615518,-17820.38411364023,14,-0.017012893937165197,-0.39870847041054347,23.435664260479072,0.0
,Mixed / non conventional,1,3,13,15,26991.93,0.09,0.0,-23.0,-49.762,2.433,-20.452938758734074,,,-1319.46891450771,26987.016902479518,15,0.007023564440910414,0.1441587876453383,-20.525018152556743,0.0
,Mixed / non conventional,1,3,15,17,597857.25,0.09,0.0,-124.17,-688.881,2.433,-283.1405672009864,,,-2111.150263212339,597752.2829724534,16,-0.008997017397742628,-2.5360123355620203,-281.87256103320544,0.0
,Mixed / non conventional,1,3,17,19,-663529.63,0.09,0.0,-21.24,509.704,2.433,209.49609535552818,,,-3166.7253948185225,-663416.6052776738,17,0.004293947447534319,0.9015007222829752,209.94684571666966,0.0
,Mixed / non conventional,1,3,19,21,-303164.25,0.09,0.0,58.63,163.017,2.433,67.00246609124538,,,-4523.893421169273,-303112.0155523023,18,0.007336271140338809,0.4933579622067299,67.24914507234874,0.0
,Mixed / non conventional,1,3,21,23,28549.83,0.04,0.0,93.98,-35.994,7.842,-4.589900535577659,,,-6220.353454107836,28550.803650491896,19,0.024372655313769507,0.11324814265099903,-4.646524606903158,0.0
,Mixed / non conventional,1,3,23,25,1622491.13,0.06,0.0,-122.46,-1534.162,7.842,-195.63402193318032,,,-8293.804605477077,1622550.3520974144,20,-0.022303799178297314,-4.315258606954302,-193.47639262970318,0.0
,Mixed / non conventional,1,3,22,24,51897.68,0.05,0.0,-109.09,-50.419,7.002,-7.20065695515567,,,-7207.598945498374,51899.44747687553,21,-0.02556301395775216,-0.1817474874701368,-7.109783211420601,0.0
,Mixed / non conventional,1,3,24,26,1229075.38,0.05,0.0,-13.11,-907.484,7.002,-129.6035418451871,,,-9483.682823024179,1229118.8836002962,22,-0.009824882410652689,-1.2671149310339729,-128.9699843796701,0.0
,Mixed / non conventional,1,3,26,28,-1121760.25,0.05,0.0,141.29,644.198,7.002,92.00199942873465,,,-12193.306486745501,-1121808.576427946,23,-0.00039385238011767793,-0.03622807219436197,91.98388539263746,0.0
,Mixed / non conventional,1,3,28,30,-431437.72,0.05,0.0,-23.08,196.5,7.002,28.063410454155957,,,-15374.169048504882,-431451.6163997729,24,-0.001155759035811026,-0.03241580777669384,28.04720255026761,0.0
,Mixed / non conventional,1,3,30,32,-6300.09,0.24,0.0,-8.64,2.544,7.697,0.3305183837858906,,,-19063.969620146378,-6300.9924273941,25,-0.015103016797150622,-0.0049544114226174885,0.3280411780745819,0.0
,Mixed / non conventional,1,3,32,34,2268379.5,0.09,0.0,-98.31,-749.309,7.697,-97.35078602052748,,,-23300.40731351191,2268312.9665688314,26,-0.04287363782098974,-4.086187480381497,-95.30769228033674,0.0
,Mixed / non conventional,1,3,34,36,-1526342.38,0.06,0.0,96.93,295.088,5.437,54.27404818833916,,,-28121.181240446072,-1526250.3457569892,27,-0.0011992961427253997,-0.06505164854677759,54.24152236406577,0.0
,Mixed / non conventional,1,3,36,38,-851483.38,0.05,0.0,12.87,137.925,5.437,25.36784991723377,,,-33563.99051278921,-851446.2739518948,28,-0.0016455638951577154,-0.041710099604593154,25.346994867431473,0.0
,Mixed / non conventional,1,3,38,40,-369141.34,0.05,0.0,-4.17,50.595,5.437,9.305683281221262,,,-39666.53424238932,-369124.204523393,29,0.0008734270092392558,0.00813138620341114,9.309748974322968,0.0
,Mixed / non conventional,1,3,40,42,3505746.0,0.06,0.0,-88.17,-410.181,5.437,-75.44252345043222,,,-46466.51154108182,3505550.8865978443,30,-0.030329057854605546,-2.2539210080984304,-74.31556294638301,0.0
,Mixed / non conventional,1,3,25,27,-1293149.75,0.03,0.0,100.75,684.973,5.711,119.93924006303624,,,-10781.945987120022,-1293178.4080958785,31,-0.003987087654099077,-0.4772568308882228,119.70061164759213,0.0
,Mixed / non conventional,1,3,27,29,-775788.31,0.06,0.0,-16.79,322.873,5.711,56.53528278760287,,,-13722.476710880474,-775804.101395922,32,-0.007371215755167882,-0.4152034899534769,56.327681042626125,0.0
,Mixed / non conventional,1,3,29,31,-152006.3,0.03,0.0,14.22,50.61,5.711,8.861845561197688,,,-17153.095888600008,-152008.08666118828,33,-0.0011185501146663054,-0.00990687769903964,8.856892122348167,0.0
,Mixed / non conventional,1,3,31,33,2839212.0,0.0,0.0,-127.13,-768.064,5.711,-134.48853090527052,,,-21111.502632123484,2839254.974197039,34,-0.03790534485505033,-5.00301366389121,-131.9870240733249,0.0
,Mixed / non conventional,1,3,33,35,-1699593.0,0.07,0.0,174.45,378.646,5.711,66.30117317457538,,,-25635.396053292803,-1699656.8331281925,35,-0.01744290944821811,-1.1464863313639455,65.72793000889341,0.0
,Mixed / non conventional,1,3,35,37,-1242833.75,0.03,0.0,-83.85,230.735,5.711,40.40185606723866,,,-30762.475263951364,-1242861.0978861526,36,-0.010948738108606545,-0.4399409421026448,40.18188559618734,0.0
,Mixed / non conventional,1,3,37,39,-568096.75,0.05,0.0,51.09,88.815,5.711,15.551567151111888,,,-36530.43937594186,-568105.5810145817,37,-0.006437468780477212,-0.09979152560745064,15.501671388308162,0.0
,Mixed / non conventional,1,3,39,41,3852792.5,0.05,0.0,-70.78,-511.99,5.711,-89.64979863421468,,,-42976.98750110756,3852878.2753794533,38,-0.049832764483318547,-4.35888954330558,-87.4703538625619,0.0
,Mixed / non conventional,1,3,41,43,-1771023.5,0.0,0.0,40.99,201.726,5.711,35.32236035720539,,,-50139.81875129532,-1771056.7461782175,39,-0.010340199928699787,-0.3633616519831193,35.140679531213834,0.0
,Mixed / non conventional,1,3,43,45,-1642625.25,0.04,0.0,78.45,161.588,5.711,28.294169147259673,,,-58056.632238336875,-1642664.1726717525,40,-0.011611333121902243,-0.32663667972720845,28.13085080739607,0.0
,Mixed / non conventional,1,3,42,44,-1848938.88,0.07,0.0,67.95,194.145,5.67,34.24074074074074,,,-54001.6215207197,-1849055.522070569,41,-0.006955559333235613,-0.23733809423790575,34.12207169362179,0.0
,Mixed / non conventional,1,3,44,46,-1322157.13,0.07,0.0,-93.66,120.318,5.67,21.22010582010582,,,-62309.563293135114,-1322215.5266849084,42,-0.003165711037266994,-0.06707056020033164,21.186570540005654,0.0
,Mixed / non conventional,1,3,46,48,-684694.94,0.06,0.0,38.58,54.353,5.67,9.586067019400353,,,-71428.03597018299,-684713.9398743133,43,-0.00014751226557133495,-0.0014139581758634279,9.585360040312422,0.0
,Mixed / non conventional,1,3,48,50,4590351.0,0.06,0.0,-39.8,-319.786,5.67,-56.399647266313934,,,-81394.73866369428,4590634.549966162,44,-0.031693256167177324,-1.7596046678048793,-55.519844932411495,0.0
,Mixed / non conventional,1,3,50,52,-2109196.0,0.05,0.0,84.49,129.649,5.67,22.8657848324515,,,-92247.37048551715,-2109308.524881272,45,-0.00040701321274824926,-0.009304782961862657,22.861132440970568,0.0
,Mixed / non conventional,1,3,52,54,-1729491.75,0.06,0.0,-10.68,94.271,5.67,16.626278659611994,,,-104023.63054750494,-1729525.8686673439,46,-0.004023336649032768,-0.06675881966534547,16.59289924977932,0.0
,Mixed / non conventional,1,3,54,56,-1042960.13,0.06,0.0,27.46,50.649,5.67,8.932804232804234,,,-116761.21796148103,-1043005.1020336954,47,0.0034714416888460323,0.031063626796591137,8.94833604620253,0.0
,Mixed / non conventional,1,3,56,58,5560523.0,0.06,0.0,16.17,-241.617,5.67,-42.613227513227514,,,-130497.83183930282,5560933.798151116,48,-0.017231291635287544,-0.7280086858121564,-42.249223170321436,0.0
,Mixed / non conventional,1,3,58,60,-2360584.25,0.03,0.0,60.41,92.137,5.67,16.249911816578482,,,-145271.17129280564,-2360643.7229991592,49,-0.0020943231444943075,-0.033996966096982106,16.232913333529993,0.0
,Mixed / non conventional,1,3,60,62,-2145434.25,0.07,0.0,21.7,75.502,5.67,13.316049382716049,,,-161118.93543384274,-2145467.7007276886,50,-0.006943565639329758,-0.09214096951051154,13.269978897960794,0.0
,Mixed / non conventional,1,3,45,47,-973733.44,0.0,0.0,-8.35,67.515,4.629,14.585223590408297,,,-66765.12707409254,-973784.3064176622,51,-0.003180249548349735,-0.04631101045094077,14.562068085182826,0.0
,Mixed / non conventional,1,3,47,49,4682479.0,0.03,0.0,-156.33,-284.085,4.629,-61.370706416072586,,,-76303.00237038826,4682769.157137989,52,-0.02386980524711548,-1.4476294929956595,-60.64689166957476,0.0
,Mixed / non conventional,1,3,49,51,-1807211.25,0.03,0.0,143.63,96.484,4.629,20.843378699503134,,,-86707.95723907575,-1807286.78899438,53,-0.013082604264749846,-0.27091354769866527,20.7079219256538,0.0
,Mixed / non conventional,1,3,51,53,-2004880.38,0.0,0.0,-109.38,94.691,4.629,20.456038021170883,,,-98017.69079200295,-2005053.6095885835,54,-0.0057061220234776435,-0.11639257395090397,20.39784173419543,0.0
,Mixed / non conventional,1,3,53,55,-1481696.25,0.05,0.0,95.51,62.201,4.629,13.437243465111257,,,-110269.90214100706,-1481723.521942705,55,-0.008647882109975887,-0.1157034026762922,13.37939176377311,0.0
,Mixed / non conventional,1,3,55,57,5537113.5,0.02,0.0,-86.82,-207.554,4.629,-44.83776193562325,,,-123502.29039791677,5537566.295366001,56,-0.019285163110228515,-0.8564452096446047,-44.409539330800946,0.0
,Mixed / non conventional,1,3,57,59,-1745764.13,0.0,0.0,213.04,58.665,4.629,12.673363577446533,,,-137752.55467460307,-1745788.2091133269,57,0.00987753906704709,0.12580295565171973,12.736265055272394,0.0
,Mixed / non conventional,1,3,59,61,-2329995.0,0.06,0.0,-110.21,70.474,4.629,15.224454525815514,,,-153058.3940828975,-2330230.5605094233,58,-0.006657700320625964,-0.10102356347241681,15.173942744079305,0.0
,Mixed / non conventional,1,3,61,63,-1860023.38,0.06,0.0,26.34,50.809,4.629,10.976236768200476,,,-169457.50773463448,-1860005.7270445114,59,-9.185920251435419e-05,-0.0010082220488989435,10.975732657176026,0.0
,Mixed / non conventional,1,3,63,65,6295857.0,0.06,0.0,129.28,-155.875,4.629,-33.67357960682653,,,-186987.59474166078,6296541.657022332,60,-0.008908905508113985,-0.29866435258924184,-33.52424743053191,0.0
,Mixed / non conventional,1,3,62,64,-1294952.75,0.09,0.0,-76.88,55.35,7.611,7.272368939692551,,,-178078.8233742606,-1295054.9039239686,61,-0.00026535116323656965,-0.0019294755633403327,7.27140420191088,0.0
,Mixed / non conventional,1,3,64,66,6455093.0,0.09,0.0,60.6,-250.409,7.611,-32.900932860333725,,,-196188.53422584434,6454785.79253179,62,-0.01307929406217357,-0.42752511246767,-32.687170304099894,0.0
,Mixed / non conventional,1,3,66,68,-2517284.75,0.09,0.0,37.34,88.913,7.611,11.682170542635658,,,-215485.76710056214,-2517341.480779435,63,-0.005071135934721814,-0.05909204294309589,11.65262452116411,0.0
,Mixed / non conventional,1,3,68,70,-2560220.75,0.08,0.0,-102.41,82.568,7.611,10.84850873735383,,,-236008.22111010205,-2560337.248800277,64,-0.0021254014267859766,-0.02303295880711609,10.836992257950271,0.0
