,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,1.00,3.00,2.00,4.00,5780.30,0.39,0.00,39.88,84.905,0.138
,Mixed / non conventional,1.00,3.00,4.00,6.00,3030.54,0.73,0.00,-11.82,-35.612,0.138
,Mixed / non conventional,1.00,3.00,6.00,8.00,3392.40,0.14,0.00,-35.98,-46.466,1.130
,Mixed / non conventional,1.00,3.00,8.00,10.00,54474.80,0.16,0.00,-209.34,-248.715,1.130
,Mixed / non conventional,1.00,3.00,10.00,12.00,-153823.13,0.52,0.00,24.76,275.252,0.974
,Mixed / non conventional,1.00,3.00,12.00,14.00,48058.86,0.51,0.00,-66.63,-46.306,0.974
,Mixed / non conventional,1.00,3.00,14.00,16.00,33330.09,0.06,0.00,-80.25,-47.906,2.421
,Mixed / non conventional,1.00,3.00,16.00,18.00,462565.16,0.06,0.00,-28.66,-430.200,2.421
,Mixed / non conventional,1.00,3.00,18.00,20.00,-618956.38,0.05,0.00,191.92,564.447,3.470
,Mixed / non conventional,1.00,3.00,20.00,22.00,-75290.98,0.07,0.00,-23.93,49.043,3.470
,Mixed / non conventional,1.00,3.00,5.00,7.00,3462.88,0.22,0.00,11.54,-44.670,0.486
,Mixed / non conventional,1.00,3.00,7.00,9.00,83023.23,0.17,0.00,-168.75,-267.742,0.486
,Mixed / non conventional,1.00,3.00,9.00,11.00,-202778.84,0.13,0.00,18.42,1479.258,2.750
,Mixed / non conventional,1.00,3.00,11.00,13.00,-13339.45,0.12,0.00,5.36,48.655,2.750
,Mixed / non conventional,1.00,3.00,13.00,15.00,40674.84,0.16,0.00,10.90,-47.420,1.538
,Mixed / non conventional,1.00,3.00,15.00,17.00,656867.13,0.15,0.00,-110.20,-478.620,1.538
,Mixed / non conventional,1.00,3.00,17.00,19.00,-738542.81,0.10,0.00,7.93,142.937,0.613
