,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,1.00,3.00,2.00,4.00,6010.68,0.14,0.00,5.77,2048.735,3.212,ERT72
,Mixed / non conventional,1.00,3.00,4.00,6.00,2866.59,0.12,0.00,-26.70,-781.659,3.212,ERT72
,Mixed / non conventional,1.00,3.00,6.00,8.00,4348.89,0.12,0.00,-15.38,-169.407,3.212,ERT72
,Mixed / non conventional,1.00,3.00,8.00,10.00,62041.00,0.12,0.00,-207.41,-805.586,3.212,ERT72
,Mixed / non conventional,1.00,3.00,10.00,12.00,-173014.55,0.13,0.00,-96.54,1021.159,3.212,ERT72
,Mixed / non conventional,1.00,3.00,12.00,14.00,48891.29,0.13,0.00,15.00,-155.381,3.212,ERT72
,Mixed / non conventional,1.00,3.00,14.00,16.00,44742.60,0.11,0.00,-123.04,-85.317,3.212,ERT72
,Mixed / non conventional,1.00,3.00,16.00,18.00,517366.22,0.13,0.00,26.46,-638.347,3.212,ERT72
,Mixed / non conventional,1.00,3.00,18.00,20.00,-703958.19,0.13,0.00,115.78,594.289,3.212,ERT72
,Mixed / non conventional,1.00,3.00,20.00,22.00,-79733.70,0.07,0.00,-29.32,48.080,3.212,ERT72
,Mixed / non conventional,1.00,3.00,5.00,7.00,3483.66,0.10,0.00,-11.34,-533.569,5.774,ERT72
,Mixed / non conventional,1.00,3.00,7.00,9.00,90244.96,0.09,0.00,-194.54,-3455.560,5.774,ERT72
,Mixed / non conventional,1.00,3.00,9.00,11.00,-225095.20,0.09,0.00,-19.65,3447.642,5.774,ERT72
,Mixed / non conventional,1.00,3.00,11.00,13.00,-17627.66,0.07,0.00,22.16,134.996,5.774,ERT72
,Mixed / non conventional,1.00,3.00,13.00,15.00,46194.75,0.08,0.00,-63.51,-202.153,5.774,ERT72
,Mixed / non conventional,1.00,3.00,15.00,17.00,737466.75,0.09,0.00,-64.17,-2017.016,5.774,ERT72
,Mixed / non conventional,1.00,3.00,17.00,19.00,-827363.56,0.08,0.00,-9.01,1508.601,5.774,ERT72
,Mixed / non conventional,1.00,3.00,19.00,21.00,-350832.41,0.10,0.00,14.18,447.790,5.774,ERT72
