,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name,Date
,Mixed / non conventional,1.00,3.00,2.00,4.00,5208.81,0.23,0.00,78.79,2188.798,3.960,6666,7/11/2022 4:39:16 PM
,Mixed / non conventional,1.00,3.00,4.00,6.00,2452.61,0.21,0.00,-27.96,-824.489,3.960,6666,7/11/2022 4:39:16 PM
,Mixed / non conventional,1.00,3.00,6.00,8.00,3641.43,0.20,0.00,-15.19,-174.876,3.960,6666,7/11/2022 4:39:16 PM
,Mixed / non conventional,1.00,3.00,8.00,10.00,55189.20,0.21,0.00,-181.11,-883.469,3.960,6666,7/11/2022 4:39:16 PM
,Mixed / non conventional,1.00,3.00,10.00,12.00,-153781.25,0.21,0.00,106.30,1118.970,3.960,6666,7/11/2022 4:39:16 PM
,Mixed / non conventional,1.00,3.00,12.00,14.00,43891.55,0.21,0.00,-106.13,-171.969,3.960,6666,7/11/2022 4:39:16 PM
,Mixed / non conventional,1.00,3.00,14.00,16.00,40412.93,0.22,0.00,9.56,-95.004,3.960,6666,7/11/2022 4:39:16 PM
,Mixed / non conventional,1.00,3.00,16.00,18.00,461712.03,0.21,0.00,-50.30,-702.319,3.960,6666,7/11/2022 4:39:16 PM
,Mixed / non conventional,1.00,3.00,18.00,20.00,-624418.94,0.21,0.00,294.06,649.877,3.960,6666,7/11/2022 4:39:16 PM
,Mixed / non conventional,1.00,3.00,20.00,22.00,-62370.23,0.24,0.00,-119.29,46.366,3.960,6666,7/11/2022 4:39:16 PM
,Mixed / non conventional,1.00,3.00,5.00,7.00,2893.93,0.21,0.00,-11.01,-435.017,5.667,6666,7/11/2022 4:39:20 PM
,Mixed / non conventional,1.00,3.00,7.00,9.00,78936.79,0.19,0.00,-171.80,-2966.448,5.667,6666,7/11/2022 4:39:20 PM
,Mixed / non conventional,1.00,3.00,9.00,11.00,-196309.33,0.19,0.00,67.45,2950.929,5.667,6666,7/11/2022 4:39:20 PM
,Mixed / non conventional,1.00,3.00,11.00,13.00,-19540.25,0.24,0.00,1.27,146.865,5.667,6666,7/11/2022 4:39:20 PM
,Mixed / non conventional,1.00,3.00,13.00,15.00,46659.13,0.21,0.00,91.95,-200.395,5.667,6666,7/11/2022 4:39:20 PM
,Mixed / non conventional,1.00,3.00,15.00,17.00,658626.50,0.20,0.00,-85.55,-1767.942,5.667,6666,7/11/2022 4:39:20 PM
,Mixed / non conventional,1.00,3.00,17.00,19.00,-751258.63,0.19,0.00,41.92,1344.402,5.667,6666,7/11/2022 4:39:20 PM
,Mixed / non conventional,1.00,3.00,19.00,21.00,-288929.75,0.21,0.00,-36.80,361.933,5.667,6666,7/11/2022 4:39:20 PM
,Mixed / non conventional,1.00,3.00,21.00,23.00,53977.11,0.21,0.00,119.65,-49.175,5.667,6666,7/11/2022 4:39:20 PM
,Mixed / non conventional,1.00,3.00,23.00,25.00,1627176.25,0.20,0.00,-175.28,-1111.806,5.667,6666,7/11/2022 4:39:20 PM
,Mixed / non conventional,1.00,3.00,22.00,24.00,85083.32,0.16,0.00,-19.38,-47.332,4.010,6666,7/11/2022 4:39:24 PM
,Mixed / non conventional,1.00,3.00,24.00,26.00,1211488.75,0.15,0.00,-9.29,-512.203,4.010,6666,7/11/2022 4:39:24 PM
,Mixed / non conventional,1.00,3.00,26.00,28.00,-1077340.50,0.16,0.00,23.04,354.270,4.010,6666,7/11/2022 4:39:24 PM
,Mixed / non conventional,1.00,3.00,28.00,30.00,-362873.22,0.14,0.00,-30.23,94.637,4.010,6666,7/11/2022 4:39:24 PM
,Mixed / non conventional,1.00,3.00,30.00,32.00,523.79,2.13,0.00,60.08,-0.210,7.637,6666,7/11/2022 4:39:27 PM
,Mixed / non conventional,1.00,3.00,32.00,34.00,2093681.63,0.14,0.00,-140.39,-686.273,7.637,6666,7/11/2022 4:39:27 PM
,Mixed / non conventional,1.00,3.00,34.00,36.00,-1372629.50,0.10,0.00,221.68,317.875,6.512,6666,7/11/2022 4:39:31 PM
,Mixed / non conventional,1.00,3.00,36.00,38.00,-683575.31,0.10,0.00,-110.41,132.635,6.512,6666,7/11/2022 4:39:31 PM
,Mixed / non conventional,1.00,3.00,38.00,40.00,-289539.34,0.10,0.00,323.54,47.536,6.512,6666,7/11/2022 4:39:31 PM
,Mixed / non conventional,1.00,3.00,40.00,42.00,3023610.75,0.09,0.00,-370.56,-423.764,6.512,6666,7/11/2022 4:39:31 PM
,Mixed / non conventional,1.00,3.00,25.00,27.00,-1303895.88,0.06,0.00,191.82,809.485,6.694,6666,7/11/2022 4:39:34 PM
,Mixed / non conventional,1.00,3.00,27.00,29.00,-693578.81,0.03,0.00,-100.86,338.319,6.694,6666,7/11/2022 4:39:34 PM
,Mixed / non conventional,1.00,3.00,29.00,31.00,-121236.84,0.08,0.00,99.33,47.310,6.694,6666,7/11/2022 4:39:34 PM
,Mixed / non conventional,1.00,3.00,31.00,33.00,2676687.50,0.08,0.00,-82.61,-848.670,6.694,6666,7/11/2022 4:39:34 PM
,Mixed / non conventional,1.00,3.00,33.00,35.00,-1630126.25,0.11,0.00,173.01,425.648,6.694,6666,7/11/2022 4:39:34 PM
,Mixed / non conventional,1.00,3.00,35.00,37.00,-1065885.50,0.06,0.00,-179.01,231.927,6.694,6666,7/11/2022 4:39:34 PM
,Mixed / non conventional,1.00,3.00,37.00,39.00,-407652.47,0.06,0.00,54.22,74.696,6.694,6666,7/11/2022 4:39:34 PM
,Mixed / non conventional,1.00,3.00,39.00,41.00,3398702.75,0.06,0.00,-33.14,-529.347,6.694,6666,7/11/2022 4:39:34 PM
,Mixed / non conventional,1.00,3.00,41.00,43.00,-1646487.25,0.05,0.00,65.37,219.805,6.694,6666,7/11/2022 4:39:35 PM
,Mixed / non conventional,1.00,3.00,43.00,45.00,-1324032.63,0.07,0.00,-63.51,152.655,6.694,6666,7/11/2022 4:39:35 PM
,Mixed / non conventional,1.00,3.00,42.00,44.00,-1554667.50,0.21,0.00,12.81,207.339,7.202,6666,7/11/2022 4:39:38 PM
,Mixed / non conventional,1.00,3.00,44.00,46.00,-1073603.50,0.20,0.00,-33.44,124.088,7.202,6666,7/11/2022 4:39:38 PM
,Mixed / non conventional,1.00,3.00,46.00,48.00,-495723.53,0.20,0.00,33.04,49.981,7.202,6666,7/11/2022 4:39:38 PM
