,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,71.00,1.00,-3025.34,0.68,0.00,-82.09,-41.125,0.102
,Mixed / non conventional,72.00,65.00,71.00,2.00,-3743.92,1.58,0.00,-88.34,-50.345,0.101
,Mixed / non conventional,72.00,65.00,71.00,3.00,-5053.79,1.73,0.00,-98.99,-67.292,0.100
,Mixed / non conventional,72.00,65.00,71.00,4.00,-7668.59,0.82,0.00,-112.30,-102.511,0.101
,Mixed / non conventional,72.00,65.00,71.00,5.00,-7523.08,4.20,0.00,-153.50,-101.958,0.102
,Mixed / non conventional,72.00,65.00,71.00,6.00,-5303.99,3.85,0.00,-92.23,-70.872,0.101
,Mixed / non conventional,72.00,65.00,71.00,7.00,-4263.90,1.55,0.00,-126.27,-55.848,0.099
,Mixed / non conventional,72.00,65.00,71.00,8.00,-3803.38,4.44,0.00,-99.14,-48.629,0.096
,Mixed / non conventional,72.00,65.00,71.00,9.00,-2715.09,3.66,0.00,-221.00,-35.587,0.099
,Mixed / non conventional,72.00,65.00,71.00,10.00,-3191.31,4.55,0.00,-135.20,-42.162,0.099
,Mixed / non conventional,72.00,65.00,71.00,11.00,-3912.42,2.49,0.00,-26.37,-52.471,0.101
,Mixed / non conventional,72.00,65.00,71.00,12.00,-5060.97,1.02,0.00,-34.77,-66.240,0.098
,Mixed / non conventional,72.00,65.00,71.00,13.00,-4991.37,2.88,0.00,-11.85,-64.857,0.098
,Mixed / non conventional,72.00,65.00,71.00,14.00,-4317.10,0.93,0.00,-165.03,-56.420,0.098
,Mixed / non conventional,72.00,65.00,71.00,15.00,-3807.39,0.81,0.00,-4.91,-49.820,0.098
,Mixed / non conventional,72.00,65.00,71.00,16.00,-3481.44,3.97,0.00,-148.83,-45.560,0.098
,Mixed / non conventional,72.00,65.00,71.00,17.00,-2100.25,1.51,0.00,-217.94,-34.287,0.123
,Mixed / non conventional,72.00,65.00,71.00,18.00,-2541.53,3.80,0.00,-230.04,-33.193,0.098
,Mixed / non conventional,72.00,65.00,71.00,19.00,-3029.82,2.65,0.00,-131.13,-39.106,0.097
,Mixed / non conventional,72.00,65.00,71.00,20.00,-3426.88,2.96,0.00,-26.11,-45.830,0.100
,Mixed / non conventional,72.00,65.00,71.00,21.00,-3673.64,1.83,0.00,-171.91,-48.135,0.098
,Mixed / non conventional,72.00,65.00,71.00,22.00,-3521.96,4.83,0.00,-53.80,-46.571,0.099
,Mixed / non conventional,72.00,65.00,71.00,23.00,-3212.73,3.01,0.00,37.12,-42.276,0.099
,Mixed / non conventional,72.00,65.00,71.00,24.00,-3023.82,3.92,0.00,-116.29,-40.445,0.100
,Mixed / non conventional,72.00,65.00,71.00,25.00,-1309.62,1.23,0.00,-180.59,-37.593,0.215
,Mixed / non conventional,72.00,65.00,71.00,26.00,-1664.57,1.29,0.00,-44.01,-35.647,0.161
,Mixed / non conventional,72.00,65.00,71.00,27.00,-2008.13,1.41,0.00,71.62,-34.204,0.128
,Mixed / non conventional,72.00,65.00,71.00,28.00,-2422.49,0.97,0.00,36.00,-32.967,0.102
,Mixed / non conventional,72.00,65.00,71.00,29.00,-2656.52,0.78,0.00,-78.45,-35.396,0.100
,Mixed / non conventional,72.00,65.00,71.00,30.00,-2763.29,3.81,0.00,-60.18,-36.360,0.099
,Mixed / non conventional,72.00,65.00,71.00,31.00,-2797.91,3.96,0.00,72.26,-35.813,0.096
,Mixed / non conventional,72.00,65.00,71.00,32.00,-2680.30,4.52,0.00,32.32,-34.894,0.098
,Mixed / non conventional,72.00,65.00,71.00,33.00,-417.52,0.83,0.00,-154.01,-45.064,0.808
,Mixed / non conventional,72.00,65.00,71.00,34.00,-714.09,1.10,0.00,-119.77,-42.448,0.445
,Mixed / non conventional,72.00,65.00,71.00,35.00,-1037.29,0.27,0.00,215.70,-39.647,0.286
,Mixed / non conventional,72.00,65.00,71.00,36.00,-1445.55,2.82,0.00,-14.64,-36.802,0.190
,Mixed / non conventional,72.00,65.00,71.00,37.00,-1771.93,2.85,0.00,-132.21,-35.164,0.148
,Mixed / non conventional,72.00,65.00,71.00,38.00,-1981.63,1.92,0.00,-159.30,-34.277,0.129
,Mixed / non conventional,72.00,65.00,71.00,39.00,-2108.68,1.52,0.00,89.29,-33.556,0.119
,Mixed / non conventional,72.00,65.00,71.00,40.00,-2223.02,3.81,0.00,216.58,-33.254,0.112
,Mixed / non conventional,72.00,65.00,71.00,41.00,756.61,0.46,0.00,-148.90,42.006,0.414
,Mixed / non conventional,72.00,65.00,71.00,42.00,288.51,0.05,0.00,-65.75,46.848,1.210
,Mixed / non conventional,72.00,65.00,71.00,43.00,-192.24,0.11,0.00,183.54,-48.367,1.872
,Mixed / non conventional,72.00,65.00,71.00,44.00,-589.93,0.70,0.00,-57.39,-44.139,0.556
,Mixed / non conventional,72.00,65.00,71.00,45.00,-933.94,0.20,0.00,-80.33,-40.664,0.323
,Mixed / non conventional,72.00,65.00,71.00,46.00,-1249.00,0.75,0.00,-188.66,-37.971,0.225
,Mixed / non conventional,72.00,65.00,71.00,47.00,-1478.02,0.64,0.00,85.46,-36.420,0.182
,Mixed / non conventional,72.00,65.00,71.00,48.00,-1667.54,1.22,0.00,-70.32,-35.288,0.156
,Mixed / non conventional,72.00,65.00,71.00,49.00,2400.01,2.10,0.00,-227.74,32.532,0.100
,Mixed / non conventional,72.00,65.00,71.00,50.00,1647.01,3.16,0.00,-157.84,35.355,0.158
,Mixed / non conventional,72.00,65.00,71.00,51.00,758.10,0.32,0.00,162.70,41.770,0.404
,Mixed / non conventional,72.00,65.00,71.00,52.00,191.33,0.26,0.00,-39.11,48.208,1.840
,Mixed / non conventional,72.00,65.00,71.00,53.00,-266.49,0.09,0.00,-149.46,-47.467,1.295
,Mixed / non conventional,72.00,65.00,71.00,54.00,-617.85,0.71,0.00,-174.24,-43.576,0.510
,Mixed / non conventional,72.00,65.00,71.00,55.00,-946.99,0.53,0.00,104.78,-40.175,0.305
,Mixed / non conventional,72.00,65.00,71.00,56.00,-1097.22,0.35,0.00,91.20,-38.827,0.252
,Mixed / non conventional,72.00,65.00,71.00,57.00,4660.12,1.80,0.00,-220.35,64.285,0.097
,Mixed / non conventional,72.00,65.00,71.00,58.00,3306.49,2.09,0.00,-201.48,46.625,0.098
,Mixed / non conventional,72.00,65.00,71.00,59.00,1942.69,1.80,0.00,275.99,33.215,0.116
,Mixed / non conventional,72.00,65.00,71.00,60.00,850.22,0.51,0.00,-89.16,40.038,0.311
,Mixed / non conventional,72.00,65.00,71.00,61.00,288.87,0.29,0.00,-101.87,46.355,1.016
,Mixed / non conventional,72.00,65.00,71.00,62.00,-111.74,0.10,0.00,-6.97,-49.191,2.593
,Mixed / non conventional,72.00,65.00,71.00,63.00,-306.52,0.15,0.00,201.38,-45.875,0.769
,Mixed / non conventional,72.00,65.00,71.00,64.00,-333.45,0.72,0.00,226.41,-43.144,0.476
,Mixed / non conventional,72.00,65.00,71.00,66.00,2677.81,1.49,0.00,-173.56,70.739,0.100
,Mixed / non conventional,72.00,65.00,71.00,67.00,2454.30,2.10,0.00,189.56,42.247,0.095
,Mixed / non conventional,72.00,65.00,71.00,68.00,1602.35,1.85,0.00,38.24,34.824,0.149
,Mixed / non conventional,72.00,65.00,71.00,69.00,1025.24,0.11,0.00,-53.84,40.591,0.332
,Mixed / non conventional,72.00,65.00,71.00,70.00,493.30,0.08,0.00,138.15,46.768,1.117
