,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,71.00,1.00,-2285.14,2.29,0.00,-11.08,-49.834,0.164,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,2.00,-2843.82,2.40,0.00,-24.09,-61.770,0.163,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,3.00,-3948.90,2.46,0.00,-15.73,-86.127,0.164,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,4.00,-6752.24,2.32,0.00,-13.71,-144.590,0.161,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,5.00,-6789.28,2.32,0.00,-20.65,-144.892,0.161,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,6.00,-4541.43,2.98,0.00,-6.76,-95.621,0.158,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,7.00,-3221.01,0.93,0.00,-30.95,-70.341,0.164,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,8.00,-2686.54,2.80,0.00,-9.26,-58.654,0.164,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,9.00,-2047.55,0.80,0.00,-76.47,-48.270,0.177,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,10.00,-2352.15,2.87,0.00,-46.14,-50.737,0.162,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,11.00,-2978.76,2.90,0.00,2.38,-64.017,0.162,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,12.00,-3649.98,2.88,0.00,59.01,-79.123,0.163,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,13.00,-3693.77,0.28,0.00,44.85,-79.317,0.161,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,14.00,-3284.52,3.06,0.00,-60.16,-71.578,0.164,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,15.00,-2836.59,3.02,0.00,79.36,-61.865,0.164,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,16.00,-2475.20,2.63,0.00,-72.01,-53.843,0.164,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,17.00,-1613.40,2.36,0.00,-133.40,-46.817,0.218,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,18.00,-1879.62,1.15,0.00,-159.68,-47.987,0.192,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,19.00,-2179.41,2.39,0.00,-74.22,-49.856,0.172,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,20.00,-2492.35,2.94,0.00,85.08,-55.055,0.166,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,21.00,-2668.65,1.52,0.00,-55.79,-57.795,0.163,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,22.00,-2526.14,1.82,0.00,31.46,-56.565,0.168,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,23.00,-2331.23,2.12,0.00,109.94,-50.591,0.163,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,24.00,-2107.91,1.51,0.00,-22.46,-49.631,0.177,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,25.00,-1064.33,0.45,0.00,-70.19,-45.749,0.323,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,26.00,-1319.43,0.83,0.00,-120.92,-46.321,0.263,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,27.00,-1540.40,0.52,0.00,162.43,-47.087,0.229,MA72B65Rec
