,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name,Date
,Mixed / non conventional,72.00,65.00,71.00,1.00,-3251.68,0.73,0.00,-50.33,-87.113,0.202,M2,6/29/2022 11:21:48 AM
,Mixed / non conventional,72.00,65.00,71.00,2.00,-3897.22,1.22,0.00,-71.64,-105.964,0.205,M2,6/29/2022 11:21:51 AM
,Mixed / non conventional,72.00,65.00,71.00,3.00,-5222.20,1.52,0.00,-75.24,-141.074,0.203,M2,6/29/2022 11:21:54 AM
,Mixed / non conventional,72.00,65.00,71.00,4.00,-7823.91,0.95,0.00,-47.82,-210.043,0.202,M2,6/29/2022 11:21:57 AM
,Mixed / non conventional,72.00,65.00,71.00,5.00,-6843.65,0.40,0.00,-88.07,-183.184,0.201,M2,6/29/2022 11:21:59 AM
,Mixed / non conventional,72.00,65.00,71.00,6.00,-5098.94,1.48,0.00,-49.46,-136.192,0.201,M2,6/29/2022 11:22:02 AM
,Mixed / non conventional,72.00,65.00,71.00,7.00,-4028.08,1.49,0.00,-78.87,-106.795,0.199,M2,6/29/2022 11:22:05 AM
,Mixed / non conventional,72.00,65.00,71.00,8.00,-3550.32,0.84,0.00,-53.51,-93.991,0.199,M2,6/29/2022 11:22:08 AM
,Mixed / non conventional,72.00,65.00,71.00,9.00,-2762.92,1.61,0.00,-152.28,-73.834,0.201,M2,6/29/2022 11:22:11 AM
,Mixed / non conventional,72.00,65.00,71.00,10.00,-3289.25,1.49,0.00,-158.68,-86.669,0.198,M2,6/29/2022 11:22:14 AM
,Mixed / non conventional,72.00,65.00,71.00,11.00,-3946.26,1.82,0.00,-68.34,-105.824,0.202,M2,6/29/2022 11:22:17 AM
,Mixed / non conventional,72.00,65.00,71.00,12.00,-4830.99,1.59,0.00,0.21,-126.336,0.197,M2,6/29/2022 11:22:20 AM
,Mixed / non conventional,72.00,65.00,71.00,13.00,-4625.75,1.46,0.00,20.87,-122.260,0.199,M2,6/29/2022 11:22:23 AM
,Mixed / non conventional,72.00,65.00,71.00,14.00,-4108.52,1.30,0.00,-124.42,-108.555,0.199,M2,6/29/2022 11:22:26 AM
,Mixed / non conventional,72.00,65.00,71.00,15.00,-3583.99,0.79,0.00,30.32,-95.856,0.201,M2,6/29/2022 11:22:29 AM
,Mixed / non conventional,72.00,65.00,71.00,16.00,-3288.33,1.54,0.00,-124.94,-86.903,0.199,M2,6/29/2022 11:22:32 AM
,Mixed / non conventional,72.00,65.00,71.00,17.00,-2151.42,3.30,0.00,-178.10,-56.888,0.199,M2,6/29/2022 11:22:35 AM
,Mixed / non conventional,72.00,65.00,71.00,18.00,-2549.60,0.89,0.00,-217.71,-67.472,0.199,M2,6/29/2022 11:22:38 AM
,Mixed / non conventional,72.00,65.00,71.00,19.00,-2949.55,1.18,0.00,-91.99,-78.546,0.200,M2,6/29/2022 11:22:41 AM
,Mixed / non conventional,72.00,65.00,71.00,20.00,-3330.62,1.17,0.00,26.08,-88.952,0.201,M2,6/29/2022 11:22:44 AM
,Mixed / non conventional,72.00,65.00,71.00,21.00,-3417.81,0.84,0.00,-112.49,-91.206,0.200,M2,6/29/2022 11:22:47 AM
,Mixed / non conventional,72.00,65.00,71.00,22.00,-3337.54,1.07,0.00,27.68,-88.672,0.200,M2,6/29/2022 11:22:50 AM
,Mixed / non conventional,72.00,65.00,71.00,23.00,-3035.12,0.93,0.00,106.05,-79.900,0.198,M2,6/29/2022 11:22:53 AM
,Mixed / non conventional,72.00,65.00,71.00,24.00,-2841.48,1.39,0.00,-60.85,-76.118,0.201,M2,6/29/2022 11:22:56 AM
,Mixed / non conventional,72.00,65.00,71.00,25.00,-1456.85,0.72,0.00,-133.33,-50.553,0.260,M2,6/29/2022 11:22:59 AM
,Mixed / non conventional,72.00,65.00,71.00,26.00,-1775.83,0.61,0.00,-153.19,-52.355,0.221,M2,6/29/2022 11:23:02 AM
,Mixed / non conventional,72.00,65.00,71.00,27.00,-2009.17,1.44,0.00,130.22,-54.339,0.203,M2,6/29/2022 11:23:05 AM
,Mixed / non conventional,72.00,65.00,71.00,28.00,-2287.64,0.47,0.00,74.80,-61.590,0.202,M2,6/29/2022 11:23:08 AM
,Mixed / non conventional,72.00,65.00,71.00,29.00,-2452.14,0.34,0.00,-31.08,-65.574,0.201,M2,6/29/2022 11:23:11 AM
,Mixed / non conventional,72.00,65.00,71.00,30.00,-2434.00,1.39,0.00,-12.02,-65.873,0.203,M2,6/29/2022 11:23:14 AM
,Mixed / non conventional,72.00,65.00,71.00,31.00,-2352.41,1.08,0.00,142.20,-63.824,0.203,M2,6/29/2022 11:23:17 AM
,Mixed / non conventional,72.00,65.00,71.00,32.00,-2267.37,0.98,0.00,100.03,-61.520,0.203,M2,6/29/2022 11:23:20 AM
,Mixed / non conventional,72.00,65.00,71.00,33.00,-587.09,0.53,0.00,-78.17,-47.723,0.609,M2,6/29/2022 11:23:23 AM
,Mixed / non conventional,72.00,65.00,71.00,34.00,-852.69,0.73,0.00,-53.82,-48.291,0.424,M2,6/29/2022 11:23:26 AM
,Mixed / non conventional,72.00,65.00,71.00,35.00,-1135.39,1.13,0.00,274.60,-49.324,0.325,M2,6/29/2022 11:23:29 AM
,Mixed / non conventional,72.00,65.00,71.00,36.00,-1433.25,3.62,0.00,73.74,-50.788,0.265,M2,6/29/2022 11:23:32 AM
,Mixed / non conventional,72.00,65.00,71.00,37.00,-1636.17,0.95,0.00,-64.41,-51.708,0.236,M2,6/29/2022 11:23:35 AM
,Mixed / non conventional,72.00,65.00,71.00,38.00,-1694.86,2.15,0.00,-36.16,-51.983,0.229,M2,6/29/2022 11:23:38 AM
,Mixed / non conventional,72.00,65.00,71.00,39.00,-1761.75,0.45,0.00,142.48,-52.433,0.222,M2,6/29/2022 11:23:41 AM
,Mixed / non conventional,72.00,65.00,71.00,40.00,-1836.96,1.81,0.00,268.27,-52.785,0.214,M2,6/29/2022 11:23:44 AM
,Mixed / non conventional,72.00,65.00,71.00,41.00,517.64,0.08,0.00,-67.77,46.895,0.675,M2,6/29/2022 11:23:47 AM
,Mixed / non conventional,72.00,65.00,71.00,42.00,213.24,0.24,0.00,15.70,48.779,1.704,M2,6/29/2022 11:23:50 AM
,Mixed / non conventional,72.00,65.00,71.00,43.00,-282.80,0.26,0.00,163.07,-49.046,1.291,M2,6/29/2022 11:23:53 AM
,Mixed / non conventional,72.00,65.00,71.00,44.00,-669.57,0.75,0.00,-7.22,-49.071,0.545,M2,6/29/2022 11:23:56 AM
,Mixed / non conventional,72.00,65.00,71.00,45.00,-939.54,1.06,0.00,-6.56,-49.580,0.392,M2,6/29/2022 11:23:59 AM
,Mixed / non conventional,72.00,65.00,71.00,46.00,-1141.46,0.43,0.00,-143.11,-50.039,0.325,M2,6/29/2022 11:24:02 AM
,Mixed / non conventional,72.00,65.00,71.00,47.00,-1231.68,0.33,0.00,172.59,-50.349,0.303,M2,6/29/2022 11:24:05 AM
,Mixed / non conventional,72.00,65.00,71.00,48.00,-1329.94,0.16,0.00,3.27,-50.729,0.282,M2,6/29/2022 11:24:08 AM
,Mixed / non conventional,72.00,65.00,71.00,49.00,1601.71,1.45,0.00,-128.83,52.227,0.240,M2,6/29/2022 11:24:11 AM
,Mixed / non conventional,72.00,65.00,71.00,50.00,1248.21,1.26,0.00,-116.02,50.235,0.296,M2,6/29/2022 11:24:14 AM
,Mixed / non conventional,72.00,65.00,71.00,51.00,635.34,0.91,0.00,231.96,47.644,0.550,M2,6/29/2022 11:24:17 AM
,Mixed / non conventional,72.00,65.00,71.00,52.00,102.18,0.18,0.00,58.61,50.206,3.589,M2,6/29/2022 11:24:20 AM
,Mixed / non conventional,72.00,65.00,71.00,53.00,-312.97,0.24,0.00,-71.18,-49.492,1.150,M2,6/29/2022 11:24:23 AM
,Mixed / non conventional,72.00,65.00,71.00,54.00,-590.55,0.39,0.00,-111.57,-49.100,0.601,M2,6/29/2022 11:24:26 AM
,Mixed / non conventional,72.00,65.00,71.00,55.00,-810.00,0.69,0.00,187.48,-49.381,0.438,M2,6/29/2022 11:24:29 AM
,Mixed / non conventional,72.00,65.00,71.00,56.00,-876.31,1.19,0.00,102.72,-49.279,0.401,M2,6/29/2022 11:24:32 AM
,Mixed / non conventional,72.00,65.00,71.00,57.00,2970.89,0.35,0.00,-117.00,87.612,0.208,M2,6/29/2022 11:24:35 AM
,Mixed / non conventional,72.00,65.00,71.00,58.00,2223.93,0.72,0.00,-128.48,66.272,0.207,M2,6/29/2022 11:24:38 AM
,Mixed / non conventional,72.00,65.00,71.00,59.00,1410.75,1.84,0.00,171.68,51.909,0.250,M2,6/29/2022 11:24:41 AM
,Mixed / non conventional,72.00,65.00,71.00,60.00,674.17,0.97,0.00,55.10,48.264,0.473,M2,6/29/2022 11:24:44 AM
,Mixed / non conventional,72.00,65.00,71.00,61.00,218.41,0.19,0.00,208.49,48.308,1.400,M2,6/29/2022 11:24:47 AM
,Mixed / non conventional,72.00,65.00,71.00,62.00,-121.74,0.12,0.00,243.52,-49.828,2.411,M2,6/29/2022 11:24:50 AM
,Mixed / non conventional,72.00,65.00,71.00,63.00,-284.87,0.34,0.00,233.01,-49.146,0.887,M2,6/29/2022 11:24:53 AM
,Mixed / non conventional,72.00,65.00,71.00,64.00,-277.23,0.46,0.00,226.73,-48.887,0.649,M2,6/29/2022 11:24:56 AM
,Mixed / non conventional,72.00,65.00,71.00,66.00,1774.25,1.86,0.00,-34.15,99.431,0.211,M2,6/29/2022 11:24:59 AM
,Mixed / non conventional,72.00,65.00,71.00,67.00,1624.08,2.48,0.00,78.15,59.900,0.204,M2,6/29/2022 11:25:02 AM
,Mixed / non conventional,72.00,65.00,71.00,68.00,1129.92,1.29,0.00,54.60,50.686,0.307,M2,6/29/2022 11:25:05 AM
,Mixed / non conventional,72.00,65.00,71.00,69.00,783.07,1.05,0.00,73.05,48.359,0.517,M2,6/29/2022 11:25:08 AM
,Mixed / non conventional,72.00,65.00,71.00,70.00,386.68,0.21,0.00,265.69,48.513,1.478,M2,6/29/2022 11:25:11 AM
,Mixed / non conventional,72.00,65.00,71.00,63.00,-285.05,0.32,0.00,230.12,-48.523,0.875,M2,6/29/2022 11:25:14 AM
,Mixed / non conventional,72.00,65.00,71.00,70.00,387.37,0.27,0.00,264.74,48.806,1.484,M2,6/29/2022 11:25:17 AM
,Mixed / non conventional,72.00,65.00,71.00,62.00,-121.80,0.18,0.00,239.05,-49.952,2.416,M2,6/29/2022 11:25:20 AM
,Mixed / non conventional,72.00,65.00,2.00,1.00,-13378131.00,0.25,0.00,20.15,51.139,0.513,M2,6/29/2022 11:25:23 AM
,Mixed / non conventional,72.00,65.00,4.00,3.00,-44480560.00,1.15,0.00,-24.77,104.841,0.289,M2,6/29/2022 11:25:26 AM
,Mixed / non conventional,72.00,65.00,3.00,2.00,-23601696.00,1.23,0.00,2.92,53.126,0.289,M2,6/29/2022 11:25:26 AM
,Mixed / non conventional,72.00,65.00,6.00,5.00,26214270.00,0.87,0.00,-46.57,-52.721,0.224,M2,6/29/2022 11:25:29 AM
,Mixed / non conventional,72.00,65.00,8.00,7.00,7109308.50,0.56,0.00,-28.72,-47.914,0.682,M2,6/29/2022 11:25:32 AM
,Mixed / non conventional,72.00,65.00,7.00,6.00,17194178.00,0.55,0.00,29.09,-110.341,0.682,M2,6/29/2022 11:25:32 AM
,Mixed / non conventional,72.00,65.00,10.00,9.00,-6593264.50,0.28,0.00,3.10,55.799,0.774,M2,6/29/2022 11:25:35 AM
,Mixed / non conventional,72.00,65.00,9.00,1.00,890363.44,0.27,0.00,99.82,-48.688,0.774,M2,6/29/2022 11:25:35 AM
,Mixed / non conventional,72.00,65.00,14.00,13.00,5717152.00,0.33,0.00,152.78,-203.661,2.638,M2,6/29/2022 11:25:38 AM
,Mixed / non conventional,72.00,65.00,13.00,12.00,1466725.75,0.25,0.00,-14.35,-49.486,2.638,M2,6/29/2022 11:25:38 AM
,Mixed / non conventional,72.00,65.00,12.00,11.00,-9825696.00,0.34,0.00,-78.99,314.265,2.638,M2,6/29/2022 11:25:38 AM
,Mixed / non conventional,72.00,65.00,11.00,10.00,-9544801.00,0.33,0.00,-86.68,289.695,2.638,M2,6/29/2022 11:25:38 AM
,Mixed / non conventional,72.00,65.00,10.00,2.00,1264745.75,0.33,0.00,84.54,-247.171,2.638,M2,6/29/2022 11:25:38 AM
,Mixed / non conventional,72.00,65.00,16.00,8.00,396249.28,0.59,0.00,80.35,-48.920,1.227,M2,6/29/2022 11:25:41 AM
,Mixed / non conventional,72.00,65.00,18.00,17.00,-3491123.75,0.25,0.00,40.43,49.054,0.828,M2,6/29/2022 11:25:44 AM
,Mixed / non conventional,72.00,65.00,17.00,9.00,896481.50,0.25,0.00,19.51,-78.892,0.828,M2,6/29/2022 11:25:44 AM
,Mixed / non conventional,72.00,65.00,20.00,19.00,-3149441.50,0.04,0.00,-123.28,316.356,5.249,M2,6/29/2022 11:25:47 AM
,Mixed / non conventional,72.00,65.00,19.00,18.00,-3523153.00,0.02,0.00,-119.74,332.949,5.249,M2,6/29/2022 11:25:47 AM
,Mixed / non conventional,72.00,65.00,18.00,10.00,976895.19,0.06,0.00,55.41,-575.554,5.249,M2,6/29/2022 11:25:47 AM
,Mixed / non conventional,72.00,65.00,10.00,1.00,-117758.24,0.07,0.00,104.14,50.394,5.249,M2,6/29/2022 11:25:47 AM
,Mixed / non conventional,72.00,65.00,22.00,21.00,654681.69,0.19,0.00,-137.70,-50.526,3.555,M2,6/29/2022 11:25:50 AM
,Mixed / non conventional,72.00,65.00,21.00,20.00,-713120.50,0.16,0.00,144.81,51.643,3.555,M2,6/29/2022 11:25:50 AM
,Mixed / non conventional,72.00,65.00,20.00,12.00,1713931.00,0.19,0.00,-23.37,-766.379,3.555,M2,6/29/2022 11:25:50 AM
,Mixed / non conventional,72.00,65.00,12.00,4.00,5416799.50,0.18,0.00,-38.53,-1574.589,3.555,M2,6/29/2022 11:25:50 AM
,Mixed / non conventional,72.00,65.00,24.00,16.00,399230.47,0.64,0.00,-62.89,-61.838,0.968,M2,6/29/2022 11:25:53 AM
,Mixed / non conventional,72.00,65.00,16.00,15.00,3377723.25,0.62,0.00,170.48,-49.349,0.968,M2,6/29/2022 11:25:53 AM
,Mixed / non conventional,72.00,65.00,26.00,25.00,-1766706.50,0.36,0.00,21.44,48.817,0.973,M2,6/29/2022 11:25:56 AM
,Mixed / non conventional,72.00,65.00,25.00,17.00,644582.69,0.36,0.00,-42.56,-106.959,0.973,M2,6/29/2022 11:25:56 AM
,Mixed / non conventional,72.00,65.00,28.00,27.00,-1254903.25,0.51,0.00,53.19,56.002,1.360,M2,6/29/2022 11:25:59 AM
,Mixed / non conventional,72.00,65.00,27.00,26.00,-1430017.25,0.52,0.00,-283.06,59.324,1.360,M2,6/29/2022 11:25:59 AM
,Mixed / non conventional,72.00,65.00,26.00,18.00,660656.56,0.50,0.00,-60.32,-163.556,1.360,M2,6/29/2022 11:26:00 AM
,Mixed / non conventional,72.00,65.00,18.00,9.00,294364.53,0.51,0.00,60.50,-49.310,1.360,M2,6/29/2022 11:26:00 AM
,Mixed / non conventional,72.00,65.00,30.00,29.00,-51234.91,0.45,0.00,-20.42,10.859,5.550,M2,6/29/2022 11:26:03 AM
,Mixed / non conventional,72.00,65.00,29.00,28.00,-655189.44,0.24,0.00,115.07,128.606,5.550,M2,6/29/2022 11:26:03 AM
,Mixed / non conventional,72.00,65.00,28.00,20.00,762862.75,0.20,0.00,-50.33,-881.630,5.550,M2,6/29/2022 11:26:03 AM
,Mixed / non conventional,72.00,65.00,20.00,11.00,696487.19,0.17,0.00,-107.24,-533.030,5.550,M2,6/29/2022 11:26:03 AM
,Mixed / non conventional,72.00,65.00,11.00,3.00,2323593.25,0.16,0.00,-4.53,-1003.281,5.550,M2,6/29/2022 11:26:03 AM
,Mixed / non conventional,72.00,65.00,32.00,24.00,297128.88,0.55,0.00,-169.44,-49.764,0.603,M2,6/29/2022 11:26:06 AM
,Mixed / non conventional,72.00,65.00,34.00,33.00,-723282.81,0.51,0.00,-29.25,48.434,1.262,M2,6/29/2022 11:26:09 AM
