,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,71.00,1.00,-2306.94,0.04,0.00,594.58,-2495.917,8.142
,Mixed / non conventional,72.00,65.00,71.00,2.00,-2718.46,0.14,0.00,594.96,-2930.316,8.112
,Mixed / non conventional,72.00,65.00,71.00,3.00,-3539.47,0.07,0.00,603.27,-3816.158,8.113
,Mixed / non conventional,72.00,65.00,71.00,4.00,-5453.10,0.08,0.00,647.94,-5889.766,8.127
,Mixed / non conventional,72.00,65.00,71.00,5.00,-5339.34,0.06,0.00,587.84,-5779.598,8.145
,Mixed / non conventional,72.00,65.00,71.00,6.00,-3777.16,0.09,0.00,645.55,-4105.162,8.177
,Mixed / non conventional,72.00,65.00,71.00,7.00,-2984.52,0.09,0.00,606.63,-3244.577,8.179
,Mixed / non conventional,72.00,65.00,71.00,8.00,-2627.59,0.20,0.00,619.02,-2862.937,8.196
,Mixed / non conventional,72.00,65.00,71.00,9.00,-2062.26,0.09,0.00,671.29,-2246.332,8.193
,Mixed / non conventional,72.00,65.00,71.00,10.00,-2359.30,0.06,0.00,730.55,-2572.386,8.201
,Mixed / non conventional,72.00,65.00,71.00,11.00,-2816.08,0.09,0.00,841.86,-3066.963,8.191
,Mixed / non conventional,72.00,65.00,71.00,12.00,-3438.03,0.11,0.00,934.93,-3740.815,8.182
,Mixed / non conventional,72.00,65.00,71.00,13.00,-3396.16,0.06,0.00,948.66,-3698.857,8.189
,Mixed / non conventional,72.00,65.00,71.00,14.00,-3010.43,0.09,0.00,764.66,-3278.199,8.187
,Mixed / non conventional,72.00,65.00,71.00,15.00,-2664.05,0.06,0.00,969.53,-2901.477,8.188
,Mixed / non conventional,72.00,65.00,71.00,16.00,-2445.07,0.11,0.00,681.69,-2661.919,8.183
,Mixed / non conventional,72.00,65.00,71.00,17.00,-1677.97,0.10,0.00,667.57,-1831.500,8.204
,Mixed / non conventional,72.00,65.00,71.00,18.00,-1901.98,0.07,0.00,637.03,-2073.722,8.194
,Mixed / non conventional,72.00,65.00,71.00,19.00,-2159.98,0.09,0.00,794.01,-2356.004,8.196
,Mixed / non conventional,72.00,65.00,71.00,20.00,-2471.21,0.11,0.00,900.43,-2695.064,8.193
,Mixed / non conventional,72.00,65.00,71.00,21.00,-2570.01,0.09,0.00,795.22,-2801.842,8.189
,Mixed / non conventional,72.00,65.00,71.00,22.00,-2477.30,0.06,0.00,931.42,-2711.756,8.221
,Mixed / non conventional,72.00,65.00,71.00,23.00,-2250.75,0.11,0.00,978.99,-2463.269,8.218
,Mixed / non conventional,72.00,65.00,71.00,24.00,-2159.57,0.12,0.00,796.49,-2361.504,8.210
,Mixed / non conventional,72.00,65.00,71.00,25.00,-1215.12,0.11,0.00,781.98,-1327.192,8.199
,Mixed / non conventional,72.00,65.00,71.00,26.00,-1385.60,0.14,0.00,964.95,-1511.987,8.189
,Mixed / non conventional,72.00,65.00,71.00,27.00,-1583.33,0.11,0.00,982.04,-1727.768,8.187
,Mixed / non conventional,72.00,65.00,71.00,28.00,-1799.25,0.12,0.00,970.07,-1964.061,8.188
,Mixed / non conventional,72.00,65.00,71.00,29.00,-1969.34,0.14,0.00,911.92,-2152.741,8.198
,Mixed / non conventional,72.00,65.00,71.00,30.00,-1971.14,0.10,0.00,944.10,-2157.831,8.207
,Mixed / non conventional,72.00,65.00,71.00,31.00,-1914.41,0.08,0.00,958.36,-2096.096,8.206
,Mixed / non conventional,72.00,65.00,71.00,32.00,-1859.17,0.13,0.00,941.16,-2034.647,8.199
,Mixed / non conventional,72.00,65.00,71.00,33.00,-628.86,0.07,0.00,642.11,-687.689,8.190
,Mixed / non conventional,72.00,65.00,71.00,34.00,-792.71,0.14,0.00,797.37,-866.639,8.185
,Mixed / non conventional,72.00,65.00,71.00,35.00,-997.51,0.13,0.00,960.60,-1090.164,8.178
,Mixed / non conventional,72.00,65.00,71.00,36.00,-1234.85,0.08,0.00,939.43,-1349.566,8.174
,Mixed / non conventional,72.00,65.00,71.00,37.00,-1396.57,0.15,0.00,807.51,-1528.363,8.181
,Mixed / non conventional,72.00,65.00,71.00,38.00,-1491.49,0.12,0.00,917.84,-1629.756,8.164
,Mixed / non conventional,72.00,65.00,71.00,39.00,-1565.87,0.12,0.00,965.54,-1715.526,8.180
,Mixed / non conventional,72.00,65.00,71.00,40.00,-1602.65,0.12,0.00,976.99,-1756.253,8.177
,Mixed / non conventional,72.00,65.00,71.00,41.00,226.81,0.10,0.00,716.45,248.487,8.168
,Mixed / non conventional,72.00,65.00,71.00,42.00,-65.99,0.23,0.00,861.64,-72.296,8.161
,Mixed / non conventional,72.00,65.00,71.00,43.00,-376.86,0.03,0.00,955.18,-413.295,8.161
,Mixed / non conventional,72.00,65.00,71.00,44.00,-628.71,0.03,0.00,895.52,-690.229,8.161
