,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name,Date
,Mixed / non conventional,72.00,1.00,2.00,3.00,7184.35,1.00,0.00,-10.22,-869.074,1.519,9999,7/11/2022 6:06:47 PM
,Mixed / non conventional,72.00,1.00,3.00,4.00,14591.64,1.01,0.00,38.71,-588.880,1.519,9999,7/11/2022 6:06:47 PM
,Mixed / non conventional,72.00,1.00,4.00,5.00,10561.14,0.85,0.00,-31.16,-213.398,1.519,9999,7/11/2022 6:06:47 PM
,Mixed / non conventional,72.00,1.00,5.00,6.00,-21207.16,1.00,0.00,8.59,257.591,1.519,9999,7/11/2022 6:06:47 PM
,Mixed / non conventional,72.00,1.00,6.00,7.00,-18372.68,1.00,0.00,-22.50,149.141,1.519,9999,7/11/2022 6:06:47 PM
,Mixed / non conventional,72.00,1.00,7.00,8.00,-10593.92,1.00,0.00,39.22,61.615,1.519,9999,7/11/2022 6:06:47 PM
,Mixed / non conventional,72.00,1.00,8.00,16.00,-1823.15,0.97,0.00,-93.75,34.577,1.519,9999,7/11/2022 6:06:47 PM
,Mixed / non conventional,72.00,1.00,16.00,24.00,-8498.11,0.99,0.00,71.06,53.772,1.519,9999,7/11/2022 6:06:47 PM
,Mixed / non conventional,72.00,1.00,24.00,32.00,-15897.39,1.00,0.00,89.72,59.155,1.519,9999,7/11/2022 6:06:47 PM
,Mixed / non conventional,72.00,1.00,32.00,40.00,-15031.45,0.99,0.00,155.68,46.773,1.519,9999,7/11/2022 6:06:47 PM
,Mixed / non conventional,72.00,1.00,9.00,10.00,124712.94,0.21,0.00,8.48,-425.457,1.515,9999,7/11/2022 6:06:50 PM
,Mixed / non conventional,72.00,1.00,10.00,11.00,167019.16,0.21,0.00,49.83,-458.228,1.515,9999,7/11/2022 6:06:50 PM
,Mixed / non conventional,72.00,1.00,11.00,12.00,138353.13,0.21,0.00,50.39,-312.465,1.515,9999,7/11/2022 6:06:50 PM
,Mixed / non conventional,72.00,1.00,12.00,13.00,68749.49,0.22,0.00,20.11,-130.298,1.515,9999,7/11/2022 6:06:50 PM
,Mixed / non conventional,72.00,1.00,13.00,14.00,-22695.38,0.22,0.00,-103.29,36.687,1.515,9999,7/11/2022 6:06:50 PM
,Mixed / non conventional,72.00,1.00,14.00,15.00,-35016.68,0.20,0.00,137.48,48.958,1.515,9999,7/11/2022 6:06:50 PM
,Mixed / non conventional,72.00,1.00,15.00,16.00,-29455.98,0.22,0.00,-165.67,36.055,1.515,9999,7/11/2022 6:06:50 PM
,Mixed / non conventional,72.00,1.00,16.00,23.00,-8241.65,0.22,0.00,175.24,47.235,1.515,9999,7/11/2022 6:06:50 PM
,Mixed / non conventional,72.00,1.00,23.00,24.00,-10858.57,0.22,0.00,-104.39,6.289,1.515,9999,7/11/2022 6:06:50 PM
,Mixed / non conventional,72.00,1.00,24.00,31.00,-18284.70,0.21,0.00,131.54,60.424,1.515,9999,7/11/2022 6:06:50 PM
,Mixed / non conventional,72.00,1.00,17.00,18.00,223078.88,0.11,0.00,-55.82,-215.721,1.514,9999,7/11/2022 6:06:52 PM
,Mixed / non conventional,72.00,1.00,18.00,19.00,279641.16,0.11,0.00,75.85,-243.748,1.514,9999,7/11/2022 6:06:52 PM
,Mixed / non conventional,72.00,1.00,19.00,20.00,223500.36,0.13,0.00,132.29,-177.011,1.514,9999,7/11/2022 6:06:52 PM
,Mixed / non conventional,72.00,1.00,20.00,21.00,140105.91,0.13,0.00,-137.87,-101.572,1.514,9999,7/11/2022 6:06:52 PM
,Mixed / non conventional,72.00,1.00,21.00,22.00,51719.93,0.16,0.00,124.75,-34.560,1.514,9999,7/11/2022 6:06:52 PM
,Mixed / non conventional,72.00,1.00,22.00,23.00,-24748.42,0.12,0.00,44.63,15.342,1.514,9999,7/11/2022 6:06:52 PM
,Mixed / non conventional,72.00,1.00,23.00,31.00,-17170.25,0.09,0.00,27.14,66.625,1.514,9999,7/11/2022 6:06:52 PM
,Mixed / non conventional,72.00,1.00,31.00,32.00,3516.03,0.28,0.00,-41.52,-1.428,1.514,9999,7/11/2022 6:06:52 PM
,Mixed / non conventional,72.00,1.00,32.00,39.00,-21957.89,0.10,0.00,28.69,59.499,1.514,9999,7/11/2022 6:06:52 PM
,Mixed / non conventional,72.00,1.00,39.00,40.00,33310.23,0.19,0.00,128.16,-13.017,1.514,9999,7/11/2022 6:06:52 PM
,Mixed / non conventional,72.00,1.00,25.00,26.00,249512.66,0.15,0.00,105.94,-127.793,1.511,9999,7/11/2022 6:06:55 PM
,Mixed / non conventional,72.00,1.00,26.00,27.00,259365.31,0.15,0.00,77.64,-126.123,1.511,9999,7/11/2022 6:06:55 PM
,Mixed / non conventional,72.00,1.00,27.00,28.00,206236.14,0.17,0.00,-59.94,-95.724,1.511,9999,7/11/2022 6:06:55 PM
,Mixed / non conventional,72.00,1.00,28.00,29.00,162458.84,0.16,0.00,-23.26,-72.346,1.511,9999,7/11/2022 6:06:55 PM
,Mixed / non conventional,72.00,1.00,29.00,30.00,87261.38,0.17,0.00,13.25,-37.473,1.511,9999,7/11/2022 6:06:55 PM
,Mixed / non conventional,72.00,1.00,30.00,31.00,36359.22,0.13,0.00,73.68,-15.132,1.511,9999,7/11/2022 6:06:55 PM
,Mixed / non conventional,72.00,1.00,31.00,39.00,-18666.14,0.17,0.00,-13.19,58.058,1.511,9999,7/11/2022 6:06:55 PM
,Mixed / non conventional,72.00,1.00,39.00,47.00,-11239.29,0.15,0.00,-33.14,38.590,1.511,9999,7/11/2022 6:06:55 PM
,Mixed / non conventional,72.00,1.00,47.00,48.00,23751.69,0.10,0.00,-108.44,-12.165,1.511,9999,7/11/2022 6:06:55 PM
,Mixed / non conventional,72.00,1.00,48.00,56.00,-4782.54,0.17,0.00,118.21,27.527,1.511,9999,7/11/2022 6:06:55 PM
,Mixed / non conventional,72.00,1.00,33.00,34.00,194049.09,0.12,0.00,-0.79,-75.193,1.501,9999,7/11/2022 6:06:57 PM
,Mixed / non conventional,72.00,1.00,34.00,35.00,170020.69,0.12,0.00,205.09,-65.101,1.501,9999,7/11/2022 6:06:57 PM
,Mixed / non conventional,72.00,1.00,35.00,36.00,149834.36,0.13,0.00,-127.29,-56.963,1.501,9999,7/11/2022 6:06:57 PM
