,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name,Date
,Mixed / non conventional,72.00,1.00,2.00,3.00,8672.98,0.53,0.00,10.93,-984.235,1.425,5555,7/11/2022 1:43:46 PM
,Mixed / non conventional,72.00,1.00,3.00,4.00,16920.05,0.54,0.00,103.16,-640.599,1.425,5555,7/11/2022 1:43:46 PM
,Mixed / non conventional,72.00,1.00,4.00,5.00,23877.32,0.50,0.00,-81.56,-452.614,1.425,5555,7/11/2022 1:43:46 PM
,Mixed / non conventional,72.00,1.00,5.00,6.00,-26528.61,0.53,0.00,17.70,302.291,1.425,5555,7/11/2022 1:43:46 PM
,Mixed / non conventional,72.00,1.00,6.00,7.00,-26457.59,0.52,0.00,-33.69,201.482,1.425,5555,7/11/2022 1:43:46 PM
,Mixed / non conventional,72.00,1.00,7.00,8.00,-14504.26,0.53,0.00,130.38,79.139,1.425,5555,7/11/2022 1:43:46 PM
,Mixed / non conventional,72.00,1.00,8.00,16.00,-2451.00,0.52,0.00,-192.05,43.608,1.425,5555,7/11/2022 1:43:46 PM
,Mixed / non conventional,72.00,1.00,16.00,24.00,-11264.31,0.53,0.00,454.97,66.865,1.425,5555,7/11/2022 1:43:46 PM
,Mixed / non conventional,72.00,1.00,24.00,32.00,-20852.39,0.52,0.00,-216.43,72.793,1.425,5555,7/11/2022 1:43:46 PM
,Mixed / non conventional,72.00,1.00,32.00,40.00,-19559.97,0.50,0.00,304.13,57.099,1.425,5555,7/11/2022 1:43:46 PM
,Mixed / non conventional,72.00,1.00,9.00,10.00,150012.14,1.57,0.00,13.80,-93.246,0.276,5555,7/11/2022 1:43:48 PM
,Mixed / non conventional,72.00,1.00,10.00,11.00,186067.00,1.55,0.00,65.39,-93.013,0.276,5555,7/11/2022 1:43:48 PM
,Mixed / non conventional,72.00,1.00,11.00,12.00,157488.67,1.55,0.00,62.32,-64.807,0.276,5555,7/11/2022 1:43:48 PM
,Mixed / non conventional,72.00,1.00,12.00,13.00,100827.64,1.59,0.00,-81.11,-34.818,0.276,5555,7/11/2022 1:43:48 PM
,Mixed / non conventional,72.00,1.00,13.00,14.00,-1690.88,0.18,0.00,-32.68,13.236,7.338,5555,7/11/2022 1:43:50 PM
,Mixed / non conventional,72.00,1.00,14.00,15.00,-40821.79,0.00,0.00,154.61,276.375,7.338,5555,7/11/2022 1:43:50 PM
,Mixed / non conventional,72.00,1.00,15.00,16.00,-37136.63,0.04,0.00,-132.04,220.120,7.338,5555,7/11/2022 1:43:50 PM
,Mixed / non conventional,72.00,1.00,16.00,23.00,-11939.54,0.05,0.00,256.08,331.357,7.338,5555,7/11/2022 1:43:50 PM
,Mixed / non conventional,72.00,1.00,23.00,24.00,-5889.70,0.12,0.00,209.30,16.519,7.338,5555,7/11/2022 1:43:50 PM
,Mixed / non conventional,72.00,1.00,24.00,31.00,-25475.44,0.06,0.00,-225.29,407.666,7.338,5555,7/11/2022 1:43:50 PM
,Mixed / non conventional,72.00,1.00,17.00,18.00,269134.13,0.03,0.00,-399.71,-1269.241,7.384,5555,7/11/2022 1:43:53 PM
,Mixed / non conventional,72.00,1.00,18.00,19.00,327907.38,0.00,0.00,102.46,-1393.905,7.384,5555,7/11/2022 1:43:53 PM
,Mixed / non conventional,72.00,1.00,19.00,20.00,294649.50,0.05,0.00,393.18,-1138.072,7.384,5555,7/11/2022 1:43:53 PM
,Mixed / non conventional,72.00,1.00,20.00,21.00,196320.44,0.03,0.00,-461.07,-694.105,7.384,5555,7/11/2022 1:43:53 PM
,Mixed / non conventional,72.00,1.00,21.00,22.00,93514.47,0.03,0.00,100.09,-304.743,7.384,5555,7/11/2022 1:43:53 PM
,Mixed / non conventional,72.00,1.00,22.00,23.00,-14366.61,0.05,0.00,95.28,43.434,7.384,5555,7/11/2022 1:43:53 PM
,Mixed / non conventional,72.00,1.00,23.00,31.00,-22572.75,0.04,0.00,-14.24,427.156,7.384,5555,7/11/2022 1:43:53 PM
,Mixed / non conventional,72.00,1.00,31.00,32.00,14716.25,0.02,0.00,18.44,-29.140,7.384,5555,7/11/2022 1:43:53 PM
,Mixed / non conventional,72.00,1.00,32.00,39.00,-30274.71,0.00,0.00,-48.79,400.073,7.384,5555,7/11/2022 1:43:53 PM
,Mixed / non conventional,72.00,1.00,39.00,40.00,52931.48,0.00,0.00,363.14,-100.874,7.384,5555,7/11/2022 1:43:53 PM
,Mixed / non conventional,72.00,1.00,25.00,26.00,300055.00,0.00,0.00,93.23,-380.700,3.744,5555,7/11/2022 1:43:55 PM
,Mixed / non conventional,72.00,1.00,26.00,27.00,323136.50,0.03,0.00,144.09,-389.256,3.744,5555,7/11/2022 1:43:55 PM
,Mixed / non conventional,72.00,1.00,27.00,28.00,276766.31,0.00,0.00,-92.46,-318.225,3.744,5555,7/11/2022 1:43:55 PM
,Mixed / non conventional,72.00,1.00,28.00,29.00,221775.16,0.00,0.00,-86.74,-244.654,3.744,5555,7/11/2022 1:43:55 PM
,Mixed / non conventional,72.00,1.00,29.00,30.00,133895.41,0.04,0.00,49.62,-142.438,3.744,5555,7/11/2022 1:43:55 PM
,Mixed / non conventional,72.00,1.00,30.00,31.00,67171.06,0.05,0.00,83.41,-69.251,3.744,5555,7/11/2022 1:43:55 PM
,Mixed / non conventional,72.00,1.00,31.00,39.00,-24373.79,0.00,0.00,-38.13,187.801,3.744,5555,7/11/2022 1:43:55 PM
