,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  
,Mixed / non conventional,72.00,65.00,71.00,1.00,-2058.70,1.24,0.00,-76.26,-44.085,0.161
,Mixed / non conventional,72.00,65.00,71.00,2.00,-2747.22,2.32,0.00,-83.76,-43.052,0.118
,Mixed / non conventional,72.00,65.00,71.00,3.00,-3971.77,1.81,0.00,-65.76,-41.360,0.078
,Mixed / non conventional,72.00,65.00,71.00,4.00,-6709.57,5.87,0.00,-61.49,-38.372,0.043
,Mixed / non conventional,72.00,65.00,71.00,5.00,-7564.90,3.70,0.00,-96.04,-38.502,0.038
,Mixed / non conventional,72.00,65.00,71.00,6.00,-4526.95,3.52,0.00,-29.95,-40.915,0.068
,Mixed / non conventional,72.00,65.00,71.00,7.00,-3238.40,2.43,0.00,-55.76,-42.464,0.099
,Mixed / non conventional,72.00,65.00,71.00,8.00,-2642.26,0.79,0.00,-33.67,-43.351,0.123
,Mixed / non conventional,72.00,65.00,71.00,9.00,-1713.79,0.65,0.00,-165.78,-45.166,0.198
,Mixed / non conventional,72.00,65.00,71.00,10.00,-2189.21,0.55,0.00,-101.74,-44.053,0.151
,Mixed / non conventional,72.00,65.00,71.00,11.00,-2969.34,1.08,0.00,-4.72,-42.712,0.108
,Mixed / non conventional,72.00,65.00,71.00,12.00,-3953.47,1.25,0.00,3.75,-41.227,0.078
,Mixed / non conventional,72.00,65.00,71.00,13.00,-4009.81,3.33,0.00,37.87,-41.316,0.077
,Mixed / non conventional,72.00,65.00,71.00,14.00,-3282.95,1.92,0.00,-121.58,-42.203,0.097
,Mixed / non conventional,72.00,65.00,71.00,15.00,-2732.87,1.01,0.00,17.50,-43.093,0.119
,Mixed / non conventional,72.00,65.00,71.00,16.00,-2375.14,1.14,0.00,-81.50,-43.761,0.138
,Mixed / non conventional,72.00,65.00,71.00,17.00,-1234.23,0.46,0.00,-167.83,-46.577,0.284
,Mixed / non conventional,72.00,65.00,71.00,18.00,-1609.72,1.35,0.00,-178.36,-45.525,0.213
,Mixed / non conventional,72.00,65.00,71.00,19.00,-2065.40,1.02,0.00,-82.52,-44.466,0.162
,Mixed / non conventional,72.00,65.00,71.00,20.00,-2467.23,0.22,0.00,8.27,-43.443,0.132
,Mixed / non conventional,72.00,65.00,71.00,21.00,-2707.63,2.26,0.00,-116.65,-43.188,0.120
,Mixed / non conventional,72.00,65.00,71.00,22.00,-2505.61,1.27,0.00,-35.23,-43.430,0.130
,Mixed / non conventional,72.00,65.00,71.00,23.00,-2193.70,2.13,0.00,-60.87,-44.069,0.151
,Mixed / non conventional,72.00,65.00,71.00,24.00,-2007.09,0.30,0.00,-172.39,-44.520,0.167
,Mixed / non conventional,72.00,65.00,71.00,25.00,-647.18,0.47,0.00,-133.01,-48.943,0.568
,Mixed / non conventional,72.00,65.00,71.00,26.00,-950.38,0.25,0.00,2.29,-47.871,0.378
,Mixed / non conventional,72.00,65.00,71.00,27.00,-1248.63,1.24,0.00,94.40,-46.787,0.281
,Mixed / non conventional,72.00,65.00,71.00,28.00,-1569.27,0.29,0.00,49.65,-45.773,0.219
,Mixed / non conventional,72.00,65.00,71.00,29.00,-1833.53,1.17,0.00,-30.96,-45.121,0.185
,Mixed / non conventional,72.00,65.00,71.00,30.00,-1838.08,2.71,0.00,-36.38,-45.083,0.184
,Mixed / non conventional,72.00,65.00,71.00,31.00,-1710.38,0.84,0.00,-10.57,-45.366,0.199
,Mixed / non conventional,72.00,65.00,71.00,32.00,-1612.54,0.14,0.00,-2.67,-45.684,0.212
,Mixed / non conventional,72.00,65.00,71.00,33.00,95.67,0.16,0.00,-119.59,15.609,1.222
,Mixed / non conventional,72.00,65.00,71.00,34.00,-184.84,0.30,0.00,-59.20,-30.221,1.224
,Mixed / non conventional,72.00,65.00,71.00,35.00,-493.06,0.57,0.00,208.97,-50.030,0.759
,Mixed / non conventional,72.00,65.00,71.00,36.00,-840.04,0.75,0.00,20.50,-48.685,0.433
,Mixed / non conventional,72.00,65.00,71.00,37.00,-1107.56,0.60,0.00,-91.92,-47.687,0.322
,Mixed / non conventional,72.00,65.00,71.00,38.00,-1240.16,1.53,0.00,-95.85,-47.162,0.284
,Mixed / non conventional,72.00,65.00,71.00,39.00,-1246.10,1.13,0.00,26.73,-47.067,0.282
,Mixed / non conventional,72.00,65.00,71.00,40.00,-1271.78,1.21,0.00,138.37,-46.984,0.276
,Mixed / non conventional,72.00,65.00,71.00,41.00,1156.98,0.97,0.00,-110.17,47.283,0.305
,Mixed / non conventional,72.00,65.00,71.00,42.00,693.60,0.48,0.00,-10.48,48.965,0.526
,Mixed / non conventional,72.00,65.00,71.00,43.00,211.45,0.17,0.00,177.24,34.643,1.219
,Mixed / non conventional,72.00,65.00,71.00,44.00,-182.66,0.15,0.00,-14.79,-29.871,1.216
,Mixed / non conventional,72.00,65.00,71.00,45.00,-507.86,1.55,0.00,-30.07,-49.976,0.731
,Mixed / non conventional,72.00,65.00,71.00,46.00,-780.50,0.73,0.00,-135.21,-49.003,0.465
,Mixed / non conventional,72.00,65.00,71.00,47.00,-883.27,0.89,0.00,65.06,-48.529,0.407
,Mixed / non conventional,72.00,65.00,71.00,48.00,-952.77,1.77,0.00,-72.88,-48.294,0.374
,Mixed / non conventional,72.00,65.00,71.00,49.00,2585.05,0.82,0.00,-176.38,44.330,0.126
,Mixed / non conventional,72.00,65.00,71.00,50.00,1920.44,0.49,0.00,-125.76,45.509,0.174
,Mixed / non conventional,72.00,65.00,71.00,51.00,1045.69,0.55,0.00,151.36,47.719,0.335
,Mixed / non conventional,72.00,65.00,71.00,52.00,464.56,1.46,0.00,-2.21,49.909,0.785
,Mixed / non conventional,72.00,65.00,71.00,53.00,-1.04,12.18,0.00,-99.24,-0.173,1.216
,Mixed / non conventional,72.00,65.00,71.00,54.00,-337.56,0.21,0.00,-123.79,-50.637,1.085
,Mixed / non conventional,72.00,65.00,71.00,55.00,-581.02,1.14,0.00,84.74,-49.617,0.614
,Mixed / non conventional,72.00,65.00,71.00,56.00,-641.93,0.96,0.00,44.57,-49.381,0.548
,Mixed / non conventional,72.00,65.00,71.00,57.00,5147.41,3.21,0.00,-182.41,41.090,0.056
,Mixed / non conventional,72.00,65.00,71.00,58.00,3502.64,0.99,0.00,-157.41,42.934,0.085
,Mixed / non conventional,72.00,65.00,71.00,59.00,2034.64,0.67,0.00,242.51,45.124,0.151
,Mixed / non conventional,72.00,65.00,71.00,60.00,1007.17,0.55,0.00,-66.80,47.623,0.313
,Mixed / non conventional,72.00,65.00,71.00,61.00,422.36,0.90,0.00,-41.75,49.830,0.747
,Mixed / non conventional,72.00,65.00,71.00,62.00,0.17,25.80,0.00,106.08,0.035,1.215
