,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name
,Mixed / non conventional,72.00,65.00,71.00,1.00,-2198.22,0.56,0.00,-309.31,-47.291,0.162,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,2.00,-2637.24,1.50,0.00,-318.87,-48.089,0.137,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,3.00,-3314.92,2.74,0.00,-310.51,-48.403,0.110,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,4.00,-4693.73,1.63,0.00,-304.40,-49.615,0.080,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,5.00,-4758.88,1.17,0.00,-300.56,-49.640,0.078,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,6.00,-3763.80,4.95,0.00,-300.32,-47.932,0.096,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,7.00,-2968.92,2.01,0.00,-327.32,-47.653,0.121,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,8.00,-2630.68,0.54,0.00,-305.52,-47.542,0.136,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,9.00,-1906.04,0.15,0.00,-399.86,-47.815,0.189,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,10.00,-2268.22,0.83,0.00,-381.17,-47.605,0.158,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,11.00,-2663.69,1.55,0.00,-293.77,-47.443,0.134,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,12.00,-3318.41,1.26,0.00,-232.01,-47.459,0.108,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,13.00,-3189.94,1.02,0.00,-246.53,-47.415,0.112,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,14.00,-3004.50,2.42,0.00,-383.34,-47.367,0.119,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,15.00,-2650.88,0.76,0.00,-165.83,-47.351,0.134,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,16.00,-2411.62,1.56,0.00,-354.59,-47.513,0.148,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,17.00,-1542.37,1.50,0.00,-463.47,-48.216,0.235,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,18.00,-1811.78,0.32,0.00,-502.23,-48.060,0.199,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,19.00,-2157.01,1.13,0.00,-401.27,-47.752,0.166,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,20.00,-2418.40,1.68,0.00,-170.67,-47.529,0.148,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,21.00,-2563.57,0.10,0.00,-353.54,-47.418,0.139,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,22.00,-2485.71,2.65,0.00,-298.06,-47.399,0.143,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,23.00,-2274.83,0.67,0.00,-152.55,-47.535,0.157,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,24.00,-2136.23,2.56,0.00,-322.40,-47.583,0.167,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,25.00,-1039.41,1.20,0.00,-411.48,-48.963,0.354,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,26.00,-1282.86,0.52,0.00,-459.50,-48.839,0.286,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,27.00,-1509.45,1.08,0.00,-135.40,-48.473,0.241,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,28.00,-1759.27,0.31,0.00,-112.72,-48.314,0.206,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,29.00,-1879.73,0.39,0.00,-327.92,-47.952,0.191,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,30.00,-1928.15,1.67,0.00,-293.45,-48.003,0.187,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,31.00,-1835.55,0.80,0.00,-102.66,-48.035,0.196,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,32.00,-1747.56,1.19,0.00,-119.80,-48.063,0.206,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,33.00,-276.84,0.35,0.00,-422.57,-40.627,1.099,MA72B65Rec
,Mixed / non conventional,72.00,65.00,71.00,34.00,-547.20,0.19,0.00,-383.33,-50.117,0.686,MA72B65Rec
