,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name,Date
,Mixed / non conventional,72.00,65.00,71.00,1.00,-2197.28,1.54,0.00,-358.26,-48.817,0.167,M0,6/23/2022 4:58:38 PM
,Mixed / non conventional,72.00,65.00,71.00,2.00,-2551.98,3.30,0.00,-357.29,-49.224,0.145,M0,6/23/2022 4:58:41 PM
,Mixed / non conventional,72.00,65.00,71.00,3.00,-3340.03,3.82,0.00,-391.47,-49.472,0.111,M0,6/23/2022 4:58:44 PM
,Mixed / non conventional,72.00,65.00,71.00,4.00,-4337.96,3.79,0.00,-356.07,-50.187,0.087,M0,6/23/2022 4:58:47 PM
,Mixed / non conventional,72.00,65.00,71.00,5.00,-4470.50,2.82,0.00,-391.16,-50.340,0.085,M0,6/23/2022 4:58:50 PM
,Mixed / non conventional,72.00,65.00,71.00,6.00,-3486.21,2.78,0.00,-366.36,-49.616,0.107,M0,6/23/2022 4:58:53 PM
,Mixed / non conventional,72.00,65.00,71.00,7.00,-2812.45,7.73,0.00,-385.32,-49.372,0.132,M0,6/23/2022 4:58:56 PM
,Mixed / non conventional,72.00,65.00,71.00,8.00,-2541.87,3.00,0.00,-358.35,-49.367,0.146,M0,6/23/2022 4:58:59 PM
,Mixed / non conventional,72.00,65.00,71.00,9.00,-1970.27,2.61,0.00,-548.54,-49.470,0.189,M0,6/23/2022 4:59:02 PM
,Mixed / non conventional,72.00,65.00,71.00,10.00,-2237.51,2.78,0.00,-517.63,-49.461,0.166,M0,6/23/2022 4:59:05 PM
,Mixed / non conventional,72.00,65.00,71.00,11.00,-2715.72,5.85,0.00,-360.34,-49.411,0.137,M0,6/23/2022 4:59:08 PM
,Mixed / non conventional,72.00,65.00,71.00,12.00,-3222.74,4.05,0.00,-300.48,-49.526,0.116,M0,6/23/2022 4:59:11 PM
,Mixed / non conventional,72.00,65.00,71.00,13.00,-3302.27,4.15,0.00,-398.30,-49.559,0.113,M0,6/23/2022 4:59:14 PM
,Mixed / non conventional,72.00,65.00,71.00,14.00,-2930.63,4.21,0.00,-468.32,-49.467,0.127,M0,6/23/2022 4:59:17 PM
,Mixed / non conventional,72.00,65.00,71.00,15.00,-2547.64,5.27,0.00,-245.96,-49.360,0.146,M0,6/23/2022 4:59:20 PM
,Mixed / non conventional,72.00,65.00,71.00,16.00,-2389.93,3.09,0.00,-406.16,-49.405,0.155,M0,6/23/2022 4:59:23 PM
,Mixed / non conventional,72.00,65.00,71.00,17.00,-1560.21,0.81,0.00,-508.11,-49.701,0.239,M0,6/23/2022 4:59:26 PM
,Mixed / non conventional,72.00,65.00,71.00,18.00,-1842.01,0.67,0.00,-541.80,-49.685,0.203,M0,6/23/2022 4:59:29 PM
,Mixed / non conventional,72.00,65.00,71.00,19.00,-2122.78,2.32,0.00,-427.49,-49.556,0.175,M0,6/23/2022 4:59:32 PM
