,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name,Date
,Mixed / non conventional,72.00,1.00,2.00,3.00,6155.02,0.00,0.00,-4.42,-1175.827,2.400,MR72_mvB,6/29/2022 4:09:12 PM
,Mixed / non conventional,72.00,1.00,3.00,4.00,14831.75,0.04,0.00,35.39,-945.280,2.400,MR72_mvB,6/29/2022 4:09:12 PM
,Mixed / non conventional,72.00,1.00,4.00,5.00,9444.62,0.27,0.00,-33.79,-301.377,2.400,MR72_mvB,6/29/2022 4:09:12 PM
,Mixed / non conventional,72.00,1.00,5.00,6.00,-21392.73,0.20,0.00,32.39,410.356,2.400,MR72_mvB,6/29/2022 4:09:12 PM
,Mixed / non conventional,72.00,1.00,6.00,7.00,-19394.55,0.16,0.00,-32.48,248.628,2.400,MR72_mvB,6/29/2022 4:09:12 PM
,Mixed / non conventional,72.00,1.00,7.00,8.00,-10434.64,0.10,0.00,20.41,95.842,2.400,MR72_mvB,6/29/2022 4:09:12 PM
,Mixed / non conventional,72.00,1.00,8.00,16.00,-1739.38,0.18,0.00,-59.44,52.096,2.400,MR72_mvB,6/29/2022 4:09:12 PM
,Mixed / non conventional,72.00,1.00,16.00,24.00,-7668.93,0.15,0.00,91.02,76.633,2.400,MR72_mvB,6/29/2022 4:09:12 PM
,Mixed / non conventional,72.00,1.00,24.00,32.00,-15346.82,0.10,0.00,127.72,90.185,2.400,MR72_mvB,6/29/2022 4:09:12 PM
,Mixed / non conventional,72.00,1.00,32.00,40.00,-13355.13,0.16,0.00,177.66,65.628,2.400,MR72_mvB,6/29/2022 4:09:13 PM
,Mixed / non conventional,72.00,1.00,9.00,10.00,101062.87,1.10,0.00,96.52,-3936.817,17.303,MR72_mvB,6/29/2022 4:09:15 PM
,Mixed / non conventional,72.00,1.00,10.00,11.00,143977.88,1.13,0.00,129.05,-4510.459,17.303,MR72_mvB,6/29/2022 4:09:15 PM
,Mixed / non conventional,72.00,1.00,11.00,12.00,128881.20,0.60,0.00,135.69,-3323.616,17.303,MR72_mvB,6/29/2022 4:09:15 PM
,Mixed / non conventional,72.00,1.00,12.00,13.00,61497.80,0.56,0.00,26.27,-1330.879,17.303,MR72_mvB,6/29/2022 4:09:15 PM
,Mixed / non conventional,72.00,1.00,13.00,14.00,-12108.52,5.43,0.00,-145.84,223.501,17.303,MR72_mvB,6/29/2022 4:09:15 PM
,Mixed / non conventional,72.00,1.00,14.00,15.00,-32400.57,0.74,0.00,129.71,517.259,17.303,MR72_mvB,6/29/2022 4:09:15 PM
,Mixed / non conventional,72.00,1.00,15.00,16.00,-29291.21,1.39,0.00,-175.59,409.395,17.303,MR72_mvB,6/29/2022 4:09:15 PM
,Mixed / non conventional,72.00,1.00,16.00,23.00,-7869.32,1.90,0.00,222.66,514.985,17.303,MR72_mvB,6/29/2022 4:09:15 PM
,Mixed / non conventional,72.00,1.00,23.00,24.00,-7123.56,2.65,0.00,-138.90,47.111,17.303,MR72_mvB,6/29/2022 4:09:15 PM
,Mixed / non conventional,72.00,1.00,24.00,31.00,-17986.11,1.61,0.00,165.73,678.687,17.303,MR72_mvB,6/29/2022 4:09:15 PM
,Mixed / non conventional,72.00,1.00,17.00,18.00,181845.16,0.21,0.00,-16.66,-730.512,6.290,MR72_mvB,6/29/2022 4:09:17 PM
,Mixed / non conventional,72.00,1.00,18.00,19.00,240513.95,0.22,0.00,136.54,-870.908,6.290,MR72_mvB,6/29/2022 4:09:17 PM
