Obs#,Time,Date,gsw,E_apparent,PhiPS2,Tleaf,Qamb
1,9:47:48,8/6/2022,"0,039767","0,683011","0,677586","25,35",119
2,9:47:59,8/6/2022,"0,026032","0,498464","0,687146","26,3",116
3,9:48:12,8/6/2022,"0,043069","0,740551","0,655755","25,58",135
4,9:48:27,8/6/2022,"0,051669","0,899024","0,665986","25,67",139
5,9:48:37,8/6/2022,"0,02793","0,491022","0,677479","25,64",100
6,9:48:51,8/6/2022,"0,023293","0,417412","0,624502","25,93",132
7,9:49:11,8/6/2022,"0,035214","0,632208","0,224291","25,88",85
8,9:49:21,8/6/2022,"0,028705","0,532393","0,174911","26,15",79
9,9:49:34,8/6/2022,"0,043983","0,775347","0,46276","25,73",144
10,9:49:47,8/6/2022,"0,045266","0,824099","0,481676","26,05",164
11,9:49:59,8/6/2022,"0,040537","0,708448","0,339958","25,69",102
12,9:50:08,8/6/2022,"0,03872","0,69954","0,446181","26,01",105
13,9:50:19,8/6/2022,"0,044584","0,775369","0,418592","25,71",113
14,9:50:29,8/6/2022,"0,044881","0,790877","0,332877","25,9",136
15,9:50:38,8/6/2022,"0,039245","0,665508","0,326571","25,51",71
16,9:50:47,8/6/2022,"0,045368","0,776842","0,334172","25,65",76
17,9:50:57,8/6/2022,"0,047711","0,815419","0,252012","25,61",124
18,9:51:07,8/6/2022,"0,044403","0,778477","0,252743","25,83",124
19,9:51:16,8/6/2022,"0,040216","0,667482","0,25031","25,41",94
20,9:51:24,8/6/2022,"0,055497","0,936423","0,295278","25,61",73
21,9:51:33,8/6/2022,"0,03356","0,58291","0,254492","25,81",97
22,9:51:52,8/6/2022,"0,03511","0,628133","0,342539","25,97",93
23,9:52:03,8/6/2022,"0,026119","0,443152","0,39792","25,52",52
24,9:52:12,8/6/2022,"0,032868","0,541397","0,430363","25,38",50
25,9:52:23,8/6/2022,"0,024095","0,399739","0,396311","25,36",39
26,9:52:32,8/6/2022,"0,02585","0,437347","0,431809","25,51",29
1,10:33:34,16/6/2022,"0,046398","0,832666","0,597342","25,79",94
2,10:33:44,16/6/2022,"0,031166","0,533495","0,512109","25,52",119
3,10:33:56,16/6/2022,"0,0284","0,490598","0,610392","25,7",119
4,10:34:06,16/6/2022,"0,055333","0,924718","0,626396","25,51",140
5,10:34:19,16/6/2022,"0,045815","0,82708","0,644159","26,14",112
6,10:34:28,16/6/2022,"0,018888","0,328465","0,477087","25,69",109
7,10:34:42,16/6/2022,"0,044187","0,741647","0,287659","25,64",143
8,10:34:51,16/6/2022,"0,046647","0,817335","0,214753","26,06",131
9,10:35:02,16/6/2022,"0,078072","1,34863","0,538144","26,07",121
10,10:35:12,16/6/2022,"0,071275","1,295606","0,445021","26,5",136
11,10:35:23,16/6/2022,"0,076198","1,250195","0,403603","25,71",123
12,10:35:33,16/6/2022,"0,061401","1,022883","0,394635","25,86",122
13,10:35:45,16/6/2022,"0,062308","1,019304","0,37175","25,68",98
14,10:35:53,16/6/2022,"0,051366","0,868087","0,361886","25,91",114
15,10:36:01,16/6/2022,"0,069139","1,162814","0,262816","26,05",147
16,10:36:09,16/6/2022,"0,065286","1,114114","0,362117","26,17",137
17,10:36:22,16/6/2022,"0,070607","1,157598","0,264562","25,76",105
18,10:36:31,16/6/2022,"0,058216","0,993174","0,299953",26,113
19,10:36:40,16/6/2022,"0,0501","0,847271","0,19344","26,04",124
20,10:36:49,16/6/2022,"0,043133","0,760122","0,12368","26,28",149
21,10:37:00,16/6/2022,"0,046567","0,769148","0,241371","25,71",121
22,10:37:09,16/6/2022,"0,048667","0,805527","0,324598","25,76",120
23,10:37:20,16/6/2022,"0,039953","0,67366","0,198455","25,94",110
24,10:37:29,16/6/2022,"0,039523","0,703248","0,197575","26,4",86
25,10:37:44,16/6/2022,"0,035537","0,586818","0,13993","25,84",90
26,10:37:56,16/6/2022,"0,032284","0,529171","0,207545","25,72",48
