date,time,sec,weight (kg)
11/4/2022,17:37,0,"19,38"
11/4/2022,17:42,300,"19,38"
11/4/2022,17:47,600,"19,39"
11/4/2022,17:52,900,"19,39"
11/4/2022,17:57,1200,"19,39"
11/4/2022,18:02,1500,"19,39"
11/4/2022,18:07,1800,"19,39"
11/4/2022,18:12,2100,"19,39"
11/4/2022,18:17,2400,"19,39"
11/4/2022,18:22,2700,"19,39"
11/4/2022,18:27,3000,"19,39"
11/4/2022,18:32,3300,"19,39"
11/4/2022,18:37,3600,"19,38"
11/4/2022,18:42,3900,"19,38"
11/4/2022,18:47,4200,"19,38"
11/4/2022,18:52,4500,"19,38"
11/4/2022,18:57,4800,"19,38"
11/4/2022,19:02,5100,"19,38"
11/4/2022,19:07,5400,"19,38"
11/4/2022,19:12,5700,"19,38"
11/4/2022,19:17,6000,"19,38"
11/4/2022,19:22,6300,"19,38"
11/4/2022,19:27,6600,"19,38"
11/4/2022,19:32,6900,"19,38"
11/4/2022,19:37,7200,"19,38"
11/4/2022,19:42,7500,"19,38"
11/4/2022,19:47,7800,"19,38"
11/4/2022,19:52,8100,"19,38"
11/4/2022,19:57,8400,"19,38"
11/4/2022,20:02,8700,"19,38"
11/4/2022,20:07,9000,"19,38"
11/4/2022,20:12,9300,"19,38"
11/4/2022,20:17,9600,"19,38"
11/4/2022,20:22,9900,"19,38"
11/4/2022,20:27,10200,"19,37"
11/4/2022,20:32,10500,"19,37"
11/4/2022,20:37,10800,"19,37"
11/4/2022,20:42,11100,"19,37"
11/4/2022,20:47,11400,"19,37"
11/4/2022,20:52,11700,"19,37"
11/4/2022,20:57,12000,"19,37"
11/4/2022,21:02,12300,"19,37"
11/4/2022,21:07,12600,"19,37"
11/4/2022,21:12,12900,"19,37"
11/4/2022,21:17,13200,"19,37"
11/4/2022,21:22,13500,"19,37"
11/4/2022,21:27,13800,"19,37"
11/4/2022,21:32,14100,"19,37"
11/4/2022,21:37,14400,"19,37"
11/4/2022,21:42,14700,"19,37"
11/4/2022,21:47,15000,"19,37"
11/4/2022,21:52,15300,"19,37"
11/4/2022,21:57,15600,"19,37"
11/4/2022,22:02,15900,"19,37"
11/4/2022,22:07,16200,"19,37"
11/4/2022,22:12,16500,"19,37"
11/4/2022,22:17,16800,"19,37"
11/4/2022,22:22,17100,"19,37"
11/4/2022,22:27,17400,"19,37"
11/4/2022,22:32,17700,"19,37"
11/4/2022,22:37,18000,"19,37"
11/4/2022,22:42,18300,"19,37"
11/4/2022,22:47,18600,"19,37"
11/4/2022,22:52,18900,"19,37"
11/4/2022,22:57,19200,"19,37"
11/4/2022,23:02,19500,"19,37"
11/4/2022,23:07,19800,"19,37"
11/4/2022,23:12,20100,"19,37"
11/4/2022,23:17,20400,"19,37"
11/4/2022,23:22,20700,"19,37"
11/4/2022,23:27,21000,"19,37"
11/4/2022,23:32,21300,"19,37"
11/4/2022,23:37,21600,"19,37"
11/4/2022,23:42,21900,"19,37"
11/4/2022,23:47,22200,"19,37"
11/4/2022,23:52,22500,"19,37"
11/4/2022,23:57,22800,"19,37"
12/4/2022,00:02,23100,"19,37"
12/4/2022,00:07,23400,"19,37"
12/4/2022,00:12,23700,"19,37"
12/4/2022,00:17,24000,"19,37"
12/4/2022,00:22,24300,"19,37"
12/4/2022,00:27,24600,"19,37"
12/4/2022,00:32,24900,"19,37"
12/4/2022,00:37,25199,"19,37"
12/4/2022,00:42,25499,"19,37"
12/4/2022,00:47,25799,"19,37"
12/4/2022,00:52,26099,"19,37"
12/4/2022,00:57,26399,"19,37"
12/4/2022,01:02,26699,"19,37"
12/4/2022,01:07,26999,"19,37"
12/4/2022,01:12,27299,"19,37"
12/4/2022,01:17,27599,"19,37"
12/4/2022,01:22,27899,"19,37"
12/4/2022,01:27,28199,"19,37"
12/4/2022,01:32,28499,"19,37"
12/4/2022,01:37,28799,"19,37"
12/4/2022,01:42,29099,"19,36"
12/4/2022,01:47,29399,"19,36"
12/4/2022,01:52,29699,"19,36"
12/4/2022,01:57,29999,"19,36"
12/4/2022,02:02,30299,"19,36"
12/4/2022,02:07,30599,"19,36"
12/4/2022,02:12,30899,"19,36"
12/4/2022,02:17,31199,"19,36"
12/4/2022,02:22,31499,"19,36"
12/4/2022,02:27,31799,"19,36"
12/4/2022,02:32,32099,"19,36"
12/4/2022,02:37,32399,"19,36"
12/4/2022,02:42,32699,"19,36"
12/4/2022,02:47,32999,"19,36"
12/4/2022,02:52,33299,"19,36"
12/4/2022,02:57,33599,"19,36"
12/4/2022,03:02,33899,"19,36"
12/4/2022,03:07,34199,"19,36"
12/4/2022,03:12,34499,"19,36"
12/4/2022,03:17,34799,"19,36"
12/4/2022,03:22,35099,"19,36"
12/4/2022,03:27,35399,"19,36"
12/4/2022,03:32,35699,"19,36"
12/4/2022,03:37,35999,"19,36"
12/4/2022,03:42,36299,"19,36"
12/4/2022,03:47,36599,"19,36"
12/4/2022,03:52,36899,"19,36"
