date,time,sec,weight (kg)
28/4/2022,17:23,0,"19,53"
28/4/2022,17:28,300,"19,53"
28/4/2022,17:33,600,"19,54"
28/4/2022,17:38,900,"19,54"
28/4/2022,17:43,1200,"19,53"
28/4/2022,17:48,1500,"19,53"
28/4/2022,17:53,1800,"19,53"
28/4/2022,17:58,2100,"19,53"
28/4/2022,18:03,2400,"19,53"
28/4/2022,18:08,2700,"19,53"
28/4/2022,18:13,3000,"19,53"
28/4/2022,18:18,3300,"19,53"
28/4/2022,18:23,3600,"19,53"
28/4/2022,18:28,3900,"19,53"
28/4/2022,18:33,4200,"19,53"
28/4/2022,18:38,4500,"19,53"
28/4/2022,18:43,4800,"19,53"
28/4/2022,18:48,5100,"19,53"
28/4/2022,18:53,5400,"19,53"
28/4/2022,18:58,5700,"19,53"
28/4/2022,19:03,6000,"19,53"
28/4/2022,19:08,6300,"19,53"
28/4/2022,19:13,6600,"19,53"
28/4/2022,19:18,6900,"19,53"
28/4/2022,19:23,7200,"19,53"
28/4/2022,19:28,7500,"19,53"
28/4/2022,19:33,7800,"19,53"
28/4/2022,19:38,8100,"19,53"
28/4/2022,19:43,8400,"19,53"
28/4/2022,19:48,8700,"19,53"
28/4/2022,19:53,9000,"19,53"
28/4/2022,19:58,9300,"19,53"
28/4/2022,20:03,9600,"19,53"
28/4/2022,20:08,9900,"19,53"
28/4/2022,20:13,10200,"19,53"
28/4/2022,20:18,10500,"19,53"
28/4/2022,20:23,10800,"19,53"
28/4/2022,20:28,11100,"19,53"
28/4/2022,20:33,11400,"19,53"
28/4/2022,20:38,11700,"19,53"
28/4/2022,20:43,12000,"19,53"
28/4/2022,20:48,12300,"19,53"
28/4/2022,20:53,12600,"19,53"
28/4/2022,20:58,12900,"19,53"
28/4/2022,21:03,13200,"19,53"
28/4/2022,21:08,13500,"19,53"
28/4/2022,21:13,13800,"19,53"
28/4/2022,21:18,14100,"19,53"
28/4/2022,21:23,14400,"19,53"
28/4/2022,21:28,14700,"19,53"
28/4/2022,21:33,15000,"19,53"
28/4/2022,21:38,15300,"19,53"
28/4/2022,21:43,15600,"19,53"
28/4/2022,21:48,15900,"19,53"
28/4/2022,21:53,16200,"19,53"
28/4/2022,21:58,16500,"19,53"
28/4/2022,22:03,16800,"19,53"
28/4/2022,22:08,17100,"19,53"
28/4/2022,22:13,17400,"19,53"
28/4/2022,22:18,17700,"19,53"
28/4/2022,22:23,18000,"19,53"
28/4/2022,22:28,18300,"19,53"
28/4/2022,22:33,18600,"19,53"
28/4/2022,22:38,18900,"19,53"
28/4/2022,22:43,19200,"19,53"
28/4/2022,22:48,19500,"19,53"
28/4/2022,22:53,19800,"19,53"
28/4/2022,22:58,20100,"19,53"
28/4/2022,23:03,20400,"19,53"
28/4/2022,23:08,20700,"19,53"
28/4/2022,23:13,21000,"19,53"
28/4/2022,23:18,21300,"19,53"
28/4/2022,23:23,21600,"19,53"
28/4/2022,23:28,21900,"19,53"
28/4/2022,23:33,22200,"19,53"
28/4/2022,23:38,22500,"19,53"
28/4/2022,23:43,22800,"19,53"
28/4/2022,23:48,23100,"19,53"
28/4/2022,23:53,23400,"19,53"
28/4/2022,23:58,23700,"19,53"
29/4/2022,00:03,24000,"19,53"
29/4/2022,00:08,24300,"19,53"
29/4/2022,00:13,24600,"19,53"
29/4/2022,00:18,24900,"19,53"
29/4/2022,00:23,25200,"19,52"
29/4/2022,00:28,25500,"19,53"
29/4/2022,00:33,25800,"19,52"
29/4/2022,00:38,26100,"19,52"
29/4/2022,00:43,26400,"19,52"
29/4/2022,00:48,26700,"19,52"
29/4/2022,00:53,27000,"19,52"
29/4/2022,00:58,27300,"19,52"
29/4/2022,01:03,27600,"19,52"
29/4/2022,01:08,27900,"19,52"
29/4/2022,01:13,28200,"19,52"
29/4/2022,01:18,28500,"19,52"
29/4/2022,01:23,28800,"19,52"
29/4/2022,01:28,29100,"19,52"
29/4/2022,01:33,29400,"19,52"
29/4/2022,01:38,29700,"19,52"
29/4/2022,01:43,30000,"19,52"
29/4/2022,01:48,30300,"19,52"
29/4/2022,01:53,30600,"19,52"
29/4/2022,01:58,30900,"19,52"
29/4/2022,02:03,31200,"19,52"
29/4/2022,02:08,31500,"19,52"
29/4/2022,02:13,31800,"19,52"
29/4/2022,02:18,32100,"19,52"
29/4/2022,02:23,32400,"19,52"
29/4/2022,02:28,32700,"19,52"
29/4/2022,02:33,33000,"19,52"
29/4/2022,02:38,33300,"19,52"
29/4/2022,02:43,33600,"19,52"
29/4/2022,02:48,33900,"19,52"
29/4/2022,02:53,34200,"19,52"
29/4/2022,02:58,34500,"19,52"
29/4/2022,03:03,34800,"19,52"
29/4/2022,03:08,35100,"19,52"
29/4/2022,03:13,35400,"19,52"
29/4/2022,03:18,35700,"19,52"
29/4/2022,03:23,36000,"19,52"
29/4/2022,03:28,36300,"19,52"
29/4/2022,03:33,36600,"19,52"
29/4/2022,03:38,36900,"19,52"
29/4/2022,03:43,37200,"19,52"
29/4/2022,03:48,37500,"19,52"
29/4/2022,03:53,37800,"19,52"
29/4/2022,03:58,38100,"19,52"
29/4/2022,04:03,38400,"19,52"
29/4/2022,04:08,38700,"19,52"
29/4/2022,04:13,39000,"19,52"
29/4/2022,04:18,39300,"19,52"
29/4/2022,04:23,39600,"19,52"
29/4/2022,04:28,39900,"19,52"
29/4/2022,04:33,40200,"19,52"
29/4/2022,04:38,40500,"19,52"
29/4/2022,04:43,40800,"19,52"
29/4/2022,04:48,41100,"19,52"
29/4/2022,04:53,41400,"19,52"
29/4/2022,04:58,41700,"19,52"
29/4/2022,05:03,42000,"19,52"
29/4/2022,05:08,42300,"19,52"
29/4/2022,05:13,42600,"19,52"
29/4/2022,05:18,42900,"19,52"
29/4/2022,05:23,43200,"19,52"
29/4/2022,05:28,43500,"19,52"
29/4/2022,05:33,43800,"19,52"
29/4/2022,05:38,44100,"19,52"
29/4/2022,05:43,44400,"19,52"
29/4/2022,05:48,44700,"19,52"
29/4/2022,05:53,45000,"19,52"
29/4/2022,05:58,45300,"19,52"
29/4/2022,06:03,45600,"19,52"
29/4/2022,06:08,45900,"19,52"
29/4/2022,06:13,46200,"19,52"
29/4/2022,06:18,46500,"19,52"
29/4/2022,06:23,46800,"19,52"
29/4/2022,06:28,47100,"19,52"
29/4/2022,06:33,47400,"19,52"
29/4/2022,06:38,47700,"19,52"
29/4/2022,06:43,48000,"19,52"
29/4/2022,06:48,48300,"19,52"
29/4/2022,06:53,48600,"19,52"
29/4/2022,06:58,48900,"19,52"
29/4/2022,07:03,49200,"19,52"
29/4/2022,07:08,49500,"19,52"
29/4/2022,07:13,49800,"19,52"
29/4/2022,07:18,50100,"19,52"
29/4/2022,07:23,50400,"19,52"
29/4/2022,07:28,50700,"19,52"
29/4/2022,07:33,51000,"19,52"
29/4/2022,07:38,51300,"19,52"
29/4/2022,07:43,51600,"19,52"
29/4/2022,07:48,51900,"19,52"
29/4/2022,07:53,52200,"19,52"
29/4/2022,07:58,52500,"19,52"
29/4/2022,08:03,52800,"19,52"
29/4/2022,08:08,53100,"19,52"
29/4/2022,08:13,53400,"19,52"
29/4/2022,08:18,53700,"19,52"
29/4/2022,08:23,54000,"19,52"
29/4/2022,08:28,54300,"19,52"
29/4/2022,08:33,54600,"19,52"
29/4/2022,08:38,54900,"19,52"
29/4/2022,08:43,55200,"19,52"
29/4/2022,08:48,55500,"19,52"
29/4/2022,08:53,55800,"19,52"
29/4/2022,08:58,56100,"19,52"
29/4/2022,09:03,56400,"19,52"
29/4/2022,09:08,56700,"19,52"
29/4/2022,09:13,57000,"19,52"
29/4/2022,09:18,57300,"19,52"
29/4/2022,09:23,57600,"19,52"
29/4/2022,09:28,57900,"19,52"
29/4/2022,09:33,58200,"19,52"
29/4/2022,09:38,58500,"19,52"
29/4/2022,09:43,58800,"19,52"
29/4/2022,09:48,59100,"19,52"
29/4/2022,09:53,59400,"19,52"
29/4/2022,09:58,59700,"19,52"
29/4/2022,10:03,60000,"19,52"
29/4/2022,10:08,60300,"19,52"
29/4/2022,10:13,60600,"19,52"
29/4/2022,10:18,60900,"19,52"
29/4/2022,10:23,61199,"19,52"
29/4/2022,10:28,61499,"19,52"
29/4/2022,10:33,61799,"19,52"
29/4/2022,10:38,62099,"19,52"
29/4/2022,10:43,62399,"19,52"
29/4/2022,10:48,62699,"19,52"
29/4/2022,10:53,62999,"19,52"
29/4/2022,10:58,63299,"19,51"
29/4/2022,11:03,63599,"19,51"
29/4/2022,11:08,63899,"19,51"
29/4/2022,11:13,64199,"19,51"
29/4/2022,11:18,64499,"19,51"
29/4/2022,11:23,64799,"19,51"
29/4/2022,11:28,65099,"19,51"
29/4/2022,11:33,65399,"19,51"
29/4/2022,11:38,65699,"19,51"
29/4/2022,11:43,65999,"19,51"
29/4/2022,11:48,66299,"19,51"
29/4/2022,11:53,66599,"19,51"
29/4/2022,11:58,66899,"19,51"
29/4/2022,12:03,67199,"19,51"
29/4/2022,12:08,67499,"19,51"
29/4/2022,12:13,67799,"19,51"
29/4/2022,12:18,68099,"19,51"
29/4/2022,12:23,68399,"19,51"
29/4/2022,12:28,68699,"19,51"
29/4/2022,12:33,68999,"19,51"
29/4/2022,12:38,69299,"19,51"
29/4/2022,12:43,69599,"19,51"
29/4/2022,12:48,69899,"19,51"
29/4/2022,12:53,70199,"19,51"
29/4/2022,12:58,70499,"19,51"
29/4/2022,13:03,70799,"19,51"
29/4/2022,13:08,71099,"19,51"
29/4/2022,13:13,71399,"19,51"
29/4/2022,13:18,71699,"19,51"
29/4/2022,13:23,71999,"19,51"
29/4/2022,13:28,72299,"19,51"
29/4/2022,13:33,72599,"19,51"
29/4/2022,13:38,72899,"19,51"
29/4/2022,13:43,73199,"19,51"
29/4/2022,13:48,73499,"19,51"
29/4/2022,13:53,73799,"19,51"
29/4/2022,13:58,74099,"19,51"
29/4/2022,14:03,74399,"19,51"
29/4/2022,14:08,74699,"19,51"
29/4/2022,14:13,74999,"19,51"
29/4/2022,14:18,75299,"19,51"
29/4/2022,14:23,75599,"19,51"
29/4/2022,14:28,75900,"19,51"
29/4/2022,14:33,76200,"19,51"
29/4/2022,14:38,76499,"19,51"
29/4/2022,14:43,76799,"19,51"
29/4/2022,14:48,77100,"19,51"
29/4/2022,14:53,77399,"19,51"
29/4/2022,14:58,77699,"19,51"
29/4/2022,15:03,77999,"19,51"
29/4/2022,15:08,78299,"19,51"
29/4/2022,15:13,78599,"19,51"
29/4/2022,15:18,78899,"19,51"
29/4/2022,15:23,79199,"19,51"
29/4/2022,15:28,79499,"19,51"
29/4/2022,15:33,79799,"19,51"
29/4/2022,15:38,80099,"19,51"
29/4/2022,15:43,80399,"19,51"
29/4/2022,15:48,80699,"19,51"
29/4/2022,15:53,80999,"19,51"
29/4/2022,15:58,81299,"19,51"
29/4/2022,16:03,81599,"19,51"
29/4/2022,16:08,81899,"19,51"
29/4/2022,16:13,82199,"19,51"
29/4/2022,16:18,82499,"19,51"
29/4/2022,16:23,82799,"19,51"
29/4/2022,16:28,83099,"19,51"
29/4/2022,16:33,83399,"19,51"
29/4/2022,16:38,83699,"19,5"
29/4/2022,16:43,83999,"19,5"
29/4/2022,16:48,84299,"19,5"
29/4/2022,16:53,84599,"19,5"
29/4/2022,16:58,84899,"19,5"
29/4/2022,17:03,85199,"19,5"
29/4/2022,17:08,85499,"19,5"
29/4/2022,17:13,85799,"19,5"
29/4/2022,17:18,86099,"19,5"
29/4/2022,17:23,86399,"19,5"
29/4/2022,17:28,86699,"19,5"
29/4/2022,17:33,86999,"19,5"
29/4/2022,17:38,87299,"19,5"
29/4/2022,17:43,87599,"19,5"
29/4/2022,17:48,87899,"19,5"
29/4/2022,17:53,88199,"19,5"
29/4/2022,17:58,88499,"19,5"
29/4/2022,18:03,88799,"19,5"
29/4/2022,18:08,89099,"19,5"
29/4/2022,18:13,89399,"19,5"
29/4/2022,18:18,89699,"19,5"
29/4/2022,18:23,89999,"19,5"
29/4/2022,18:28,90299,"19,5"
29/4/2022,18:33,90599,"19,5"
29/4/2022,18:38,90899,"19,5"
29/4/2022,18:43,91199,"19,53"
29/4/2022,18:48,91499,"19,53"
29/4/2022,18:53,91799,"19,53"
29/4/2022,18:58,92099,"19,53"
29/4/2022,19:03,92399,"19,53"
29/4/2022,19:08,92699,"19,53"
29/4/2022,19:13,92999,"19,53"
29/4/2022,19:18,93299,"19,53"
29/4/2022,19:23,93599,"19,53"
29/4/2022,19:28,93899,"19,53"
29/4/2022,19:33,94199,"19,53"
29/4/2022,19:38,94499,"19,53"
29/4/2022,19:43,94799,"19,53"
29/4/2022,19:48,95099,"19,53"
29/4/2022,19:53,95399,"19,53"
29/4/2022,19:58,95699,"19,53"
29/4/2022,20:03,95999,"19,53"
29/4/2022,20:08,96299,"19,53"
29/4/2022,20:13,96599,"19,53"
29/4/2022,20:18,96899,"19,53"
29/4/2022,20:23,97199,"19,53"
29/4/2022,20:28,97499,"19,53"
29/4/2022,20:33,97799,"19,53"
29/4/2022,20:38,98099,"19,53"
29/4/2022,20:43,98399,"19,53"
29/4/2022,20:48,98699,"19,53"
29/4/2022,20:53,98999,"19,53"
29/4/2022,20:58,99299,"19,53"
29/4/2022,21:03,99599,"19,53"
29/4/2022,21:08,99899,"19,53"
29/4/2022,21:13,100199,"19,53"
29/4/2022,21:18,100499,"19,53"
29/4/2022,21:23,100799,"19,53"
29/4/2022,21:28,101099,"19,53"
29/4/2022,21:33,101399,"19,53"
29/4/2022,21:38,101699,"19,53"
29/4/2022,21:43,101999,"19,53"
29/4/2022,21:48,102299,"19,53"
29/4/2022,21:53,102599,"19,53"
29/4/2022,21:58,102899,"19,53"
29/4/2022,22:03,103199,"19,53"
29/4/2022,22:08,103499,"19,53"
29/4/2022,22:13,103799,"19,53"
29/4/2022,22:18,104099,"19,52"
29/4/2022,22:23,104399,"19,52"
29/4/2022,22:28,104699,"19,52"
29/4/2022,22:33,104999,"19,52"
29/4/2022,22:38,105299,"19,52"
29/4/2022,22:43,105599,"19,52"
29/4/2022,22:48,105899,"19,52"
29/4/2022,22:53,106199,"19,52"
29/4/2022,22:58,106499,"19,52"
29/4/2022,23:03,106799,"19,52"
29/4/2022,23:08,107099,"19,52"
29/4/2022,23:13,107399,"19,52"
29/4/2022,23:18,107699,"19,52"
29/4/2022,23:23,107999,"19,52"
29/4/2022,23:28,108299,"19,52"
29/4/2022,23:33,108599,"19,52"
29/4/2022,23:38,108899,"19,52"
29/4/2022,23:43,109199,"19,52"
29/4/2022,23:48,109499,"19,52"
29/4/2022,23:53,109799,"19,52"
29/4/2022,23:58,110099,"19,52"
30/4/2022,00:03,110399,"19,52"
30/4/2022,00:08,110699,"19,52"
30/4/2022,00:13,110999,"19,52"
30/4/2022,00:18,111299,"19,52"
30/4/2022,00:23,111599,"19,52"
30/4/2022,00:28,111899,"19,52"
30/4/2022,00:33,112199,"19,52"
30/4/2022,00:38,112499,"19,52"
30/4/2022,00:43,112799,"19,52"
30/4/2022,00:48,113099,"19,52"
30/4/2022,00:53,113399,"19,52"
30/4/2022,00:58,113699,"19,52"
30/4/2022,01:03,113999,"19,52"
30/4/2022,01:08,114299,"19,52"
30/4/2022,01:13,114599,"19,52"
30/4/2022,01:18,114899,"19,52"
30/4/2022,01:23,115199,"19,52"
30/4/2022,01:28,115499,"19,52"
30/4/2022,01:33,115799,"19,52"
30/4/2022,01:38,116099,"19,52"
30/4/2022,01:43,116399,"19,52"
30/4/2022,01:48,116699,"19,52"
30/4/2022,01:53,116999,"19,52"
30/4/2022,01:58,117299,"19,52"
30/4/2022,02:03,117599,"19,52"
30/4/2022,02:08,117899,"19,52"
30/4/2022,02:13,118199,"19,52"
30/4/2022,02:18,118499,"19,52"
30/4/2022,02:23,118799,"19,52"
30/4/2022,02:28,119099,"19,52"
30/4/2022,02:33,119399,"19,52"
30/4/2022,02:38,119699,"19,52"
30/4/2022,02:43,119999,"19,52"
30/4/2022,02:48,120299,"19,52"
30/4/2022,02:53,120599,"19,52"
30/4/2022,02:58,120899,"19,52"
30/4/2022,03:03,121199,"19,52"
30/4/2022,03:08,121499,"19,52"
30/4/2022,03:13,121799,"19,52"
30/4/2022,03:18,122099,"19,52"
30/4/2022,03:23,122399,"19,52"
30/4/2022,03:28,122699,"19,52"
30/4/2022,03:33,122999,"19,52"
30/4/2022,03:38,123299,"19,52"
30/4/2022,03:43,123599,"19,52"
30/4/2022,03:48,123899,"19,52"
