date,time,sec,weight (kg)
5/7/2022,20:21,0,"19,31"
5/7/2022,20:26,300,"19,32"
5/7/2022,20:31,600,"19,32"
5/7/2022,20:36,900,"19,32"
5/7/2022,20:41,1200,"19,32"
5/7/2022,20:46,1500,"19,32"
5/7/2022,20:51,1800,"19,32"
5/7/2022,20:56,2100,"19,32"
5/7/2022,21:01,2400,"19,32"
5/7/2022,21:06,2700,"19,32"
5/7/2022,21:11,3000,"19,32"
5/7/2022,21:16,3300,"19,32"
5/7/2022,21:21,3600,"19,32"
5/7/2022,21:26,3900,"19,32"
5/7/2022,21:31,4200,"19,32"
5/7/2022,21:36,4500,"19,32"
5/7/2022,21:41,4800,"19,32"
5/7/2022,21:46,5100,"19,32"
5/7/2022,21:51,5400,"19,32"
5/7/2022,21:56,5700,"19,32"
5/7/2022,22:01,6000,"19,32"
5/7/2022,22:06,6300,"19,32"
5/7/2022,22:11,6600,"19,32"
5/7/2022,22:16,6900,"19,32"
5/7/2022,22:21,7200,"19,32"
5/7/2022,22:26,7500,"19,32"
5/7/2022,22:31,7800,"19,32"
5/7/2022,22:36,8100,"19,32"
5/7/2022,22:41,8400,"19,32"
5/7/2022,22:46,8700,"19,32"
5/7/2022,22:51,9000,"19,32"
5/7/2022,22:56,9300,"19,32"
5/7/2022,23:01,9600,"19,31"
5/7/2022,23:06,9900,"19,31"
5/7/2022,23:11,10200,"19,31"
5/7/2022,23:16,10500,"19,31"
5/7/2022,23:21,10800,"19,31"
5/7/2022,23:26,11100,"19,31"
5/7/2022,23:31,11400,"19,31"
5/7/2022,23:36,11700,"19,31"
5/7/2022,23:41,12000,"19,31"
5/7/2022,23:46,12300,"19,31"
5/7/2022,23:51,12600,"19,31"
5/7/2022,23:56,12900,"19,31"
6/7/2022,00:01,13200,"19,31"
6/7/2022,00:06,13500,"19,31"
6/7/2022,00:11,13800,"19,31"
6/7/2022,00:16,14100,"19,31"
6/7/2022,00:21,14400,"19,31"
6/7/2022,00:26,14700,"19,31"
6/7/2022,00:31,15000,"19,31"
6/7/2022,00:36,15300,"19,31"
6/7/2022,00:41,15600,"19,31"
6/7/2022,00:46,15900,"19,31"
6/7/2022,00:51,16200,"19,31"
6/7/2022,00:56,16500,"19,31"
6/7/2022,01:01,16800,"19,31"
6/7/2022,01:06,17100,"19,31"
6/7/2022,01:11,17400,"19,31"
6/7/2022,01:16,17700,"19,31"
6/7/2022,01:21,18000,"19,31"
6/7/2022,01:26,18300,"19,31"
6/7/2022,01:31,18600,"19,31"
6/7/2022,01:36,18900,"19,31"
6/7/2022,01:41,19200,"19,31"
6/7/2022,01:46,19500,"19,31"
6/7/2022,01:51,19800,"19,31"
6/7/2022,01:56,20100,"19,31"
6/7/2022,02:01,20400,"19,31"
6/7/2022,02:06,20700,"19,31"
6/7/2022,02:11,21000,"19,31"
6/7/2022,02:16,21300,"19,31"
6/7/2022,02:21,21600,"19,31"
6/7/2022,02:26,21900,"19,31"
6/7/2022,02:31,22200,"19,31"
6/7/2022,02:36,22500,"19,31"
6/7/2022,02:41,22800,"19,31"
6/7/2022,02:46,23100,"19,31"
6/7/2022,02:51,23400,"19,31"
6/7/2022,02:56,23700,"19,31"
6/7/2022,03:01,24000,"19,31"
6/7/2022,03:06,24300,"19,31"
6/7/2022,03:11,24600,"19,31"
6/7/2022,03:16,24900,"19,31"
6/7/2022,03:21,25200,"19,31"
6/7/2022,03:26,25500,"19,31"
6/7/2022,03:31,25800,"19,31"
6/7/2022,03:36,26100,"19,31"
6/7/2022,03:41,26400,"19,31"
6/7/2022,03:46,26700,"19,31"
6/7/2022,03:51,27000,"19,31"
6/7/2022,03:56,27300,"19,31"
