date,time,sec,weight (kg)
15/6/2022,19:46,0,"19,67"
15/6/2022,19:51,300,"19,68"
15/6/2022,19:56,600,"19,68"
15/6/2022,20:01,900,"19,68"
15/6/2022,20:06,1200,"19,68"
15/6/2022,20:11,1500,"19,68"
15/6/2022,20:16,1800,"19,68"
15/6/2022,20:21,2100,"19,68"
15/6/2022,20:26,2400,"19,68"
15/6/2022,20:31,2700,"19,68"
15/6/2022,20:36,3000,"19,68"
15/6/2022,20:41,3300,"19,68"
15/6/2022,20:46,3600,"19,68"
15/6/2022,20:51,3900,"19,68"
15/6/2022,20:56,4200,"19,68"
15/6/2022,21:01,4500,"19,68"
15/6/2022,21:06,4800,"19,68"
15/6/2022,21:11,5100,"19,68"
15/6/2022,21:16,5400,"19,68"
15/6/2022,21:21,5700,"19,68"
15/6/2022,21:26,6000,"19,68"
15/6/2022,21:31,6300,"19,68"
15/6/2022,21:36,6600,"19,68"
15/6/2022,21:41,6900,"19,68"
15/6/2022,21:46,7200,"19,68"
15/6/2022,21:51,7500,"19,68"
15/6/2022,21:56,7800,"19,67"
15/6/2022,22:01,8100,"19,67"
15/6/2022,22:06,8400,"19,67"
15/6/2022,22:11,8700,"19,67"
15/6/2022,22:16,9000,"19,67"
15/6/2022,22:21,9300,"19,67"
15/6/2022,22:26,9600,"19,67"
15/6/2022,22:31,9900,"19,67"
15/6/2022,22:36,10200,"19,67"
15/6/2022,22:41,10500,"19,67"
15/6/2022,22:46,10800,"19,67"
15/6/2022,22:51,11100,"19,67"
15/6/2022,22:56,11400,"19,67"
15/6/2022,23:01,11700,"19,67"
15/6/2022,23:06,12000,"19,67"
15/6/2022,23:11,12300,"19,67"
15/6/2022,23:16,12600,"19,67"
15/6/2022,23:21,12900,"19,67"
15/6/2022,23:26,13200,"19,67"
15/6/2022,23:31,13500,"19,67"
15/6/2022,23:36,13800,"19,67"
15/6/2022,23:41,14100,"19,67"
15/6/2022,23:46,14400,"19,67"
15/6/2022,23:51,14700,"19,67"
15/6/2022,23:56,15000,"19,67"
15/6/2022,00:01,15300,"19,67"
15/6/2022,00:06,15600,"19,67"
15/6/2022,00:11,15900,"19,67"
15/6/2022,00:16,16200,"19,67"
15/6/2022,00:21,16500,"19,67"
15/6/2022,00:26,16800,"19,67"
