date,time,sec,weight (kg)
29/6/2022,14:00,0,"19,42"
29/6/2022,14:05,300,"19,41"
29/6/2022,14:10,600,"19,41"
29/6/2022,14:15,900,"19,41"
29/6/2022,14:20,1200,"19,43"
29/6/2022,14:25,1500,"19,43"
29/6/2022,14:30,1800,"19,43"
29/6/2022,14:35,2100,"19,43"
29/6/2022,14:40,2400,"19,43"
29/6/2022,14:45,2700,"19,43"
29/6/2022,14:50,3000,"19,42"
29/6/2022,14:55,3300,"19,45"
29/6/2022,15:00,3600,"19,45"
29/6/2022,15:05,3900,"19,44"
29/6/2022,15:10,4200,"19,44"
29/6/2022,15:15,4500,"19,44"
29/6/2022,15:20,4800,"19,44"
29/6/2022,15:25,5100,"19,44"
29/6/2022,15:30,5400,"19,44"
29/6/2022,15:35,5700,"19,44"
29/6/2022,15:40,6000,"19,44"
29/6/2022,15:45,6300,"19,44"
29/6/2022,15:50,6600,"19,43"
29/6/2022,15:55,6900,"19,43"
29/6/2022,16:00,7200,"19,43"
29/6/2022,16:05,7500,"19,43"
29/6/2022,16:10,7800,"19,43"
29/6/2022,16:15,8100,"19,43"
29/6/2022,16:20,8400,"19,43"
29/6/2022,16:25,8700,"19,43"
29/6/2022,16:30,9000,"19,43"
29/6/2022,16:35,9300,"19,43"
29/6/2022,16:40,9600,"19,43"
29/6/2022,16:45,9900,"19,43"
29/6/2022,16:50,10200,"19,42"
29/6/2022,16:55,10500,"19,42"
29/6/2022,17:00,10800,"19,42"
29/6/2022,17:05,11100,"19,42"
29/6/2022,17:10,11400,"19,42"
29/6/2022,17:15,11700,"19,42"
29/6/2022,17:20,12000,"19,42"
29/6/2022,17:25,12300,"19,42"
29/6/2022,17:30,12600,"19,42"
29/6/2022,17:35,12900,"19,42"
29/6/2022,17:40,13200,"19,42"
29/6/2022,17:45,13500,"19,42"
29/6/2022,17:50,13800,"19,42"
29/6/2022,17:55,14100,"19,42"
29/6/2022,18:00,14400,"19,42"
29/6/2022,18:05,14700,"19,42"
29/6/2022,18:10,15000,"19,42"
29/6/2022,18:15,15300,"19,42"
29/6/2022,18:20,15600,"19,42"
29/6/2022,18:25,15900,"19,42"
29/6/2022,18:30,16200,"19,42"
29/6/2022,18:35,16500,"19,42"
29/6/2022,18:40,16800,"19,42"
29/6/2022,18:45,17100,"19,42"
29/6/2022,18:50,17400,"19,42"
29/6/2022,18:55,17700,"19,42"
29/6/2022,19:00,18000,"19,42"
29/6/2022,19:05,18300,"19,42"
29/6/2022,19:10,18600,"19,42"
29/6/2022,19:15,18900,"19,42"
29/6/2022,19:20,19200,"19,42"
29/6/2022,19:25,19500,"19,42"
29/6/2022,19:30,19800,"19,42"
29/6/2022,19:35,20100,"19,42"
29/6/2022,19:40,20400,"19,42"
29/6/2022,19:45,20700,"19,42"
29/6/2022,19:50,21000,"19,42"
29/6/2022,19:55,21300,"19,41"
29/6/2022,20:00,21600,"19,41"
29/6/2022,20:05,21900,"19,41"
29/6/2022,20:10,22200,"19,41"
29/6/2022,20:15,22500,"19,41"
29/6/2022,20:20,22800,"19,41"
29/6/2022,20:25,23100,"19,41"
29/6/2022,20:30,23400,"19,41"
29/6/2022,20:35,23700,"19,41"
29/6/2022,20:40,24000,"19,41"
29/6/2022,20:45,24300,"19,41"
29/6/2022,20:50,24600,"19,41"
29/6/2022,20:55,24900,"19,41"
29/6/2022,21:00,25200,"19,41"
29/6/2022,21:05,25500,"19,41"
29/6/2022,21:10,25800,"19,41"
29/6/2022,21:15,26100,"19,41"
29/6/2022,21:20,26400,"19,41"
29/6/2022,21:25,26700,"19,41"
29/6/2022,21:30,27000,"19,41"
29/6/2022,21:35,27300,"19,41"
29/6/2022,21:40,27600,"19,41"
29/6/2022,21:45,27900,"19,41"
29/6/2022,21:50,28200,"19,41"
29/6/2022,21:55,28500,"19,41"
29/6/2022,22:00,28800,"19,41"
29/6/2022,22:05,29100,"19,41"
29/6/2022,22:10,29400,"19,41"
29/6/2022,22:15,29700,"19,41"
29/6/2022,22:20,30000,"19,41"
29/6/2022,22:25,30300,"19,41"
29/6/2022,22:30,30600,"19,41"
29/6/2022,22:35,30900,"19,41"
29/6/2022,22:40,31200,"19,41"
29/6/2022,22:45,31500,"19,41"
29/6/2022,22:50,31800,"19,41"
29/6/2022,22:55,32100,"19,41"
29/6/2022,23:00,32400,"19,41"
29/6/2022,23:05,32700,"19,41"
29/6/2022,23:10,33000,"19,41"
29/6/2022,23:15,33300,"19,41"
29/6/2022,23:20,33600,"19,41"
29/6/2022,23:25,33900,"19,41"
29/6/2022,23:30,34200,"19,41"
29/6/2022,23:35,34500,"19,41"
29/6/2022,23:40,34800,"19,41"
29/6/2022,23:45,35100,"19,41"
29/6/2022,23:50,35400,"19,41"
29/6/2022,23:55,35700,"19,41"
30/6/2022,00:00,36000,"19,41"
30/6/2022,00:05,36300,"19,41"
30/6/2022,00:10,36600,"19,41"
30/6/2022,00:15,36900,"19,41"
30/6/2022,00:20,37200,"19,41"
30/6/2022,00:25,37500,"19,41"
30/6/2022,00:30,37800,"19,41"
30/6/2022,00:35,38100,"19,41"
30/6/2022,00:40,38400,"19,41"
30/6/2022,00:45,38700,"19,4"
30/6/2022,00:50,39000,"19,4"
30/6/2022,00:55,39300,"19,4"
30/6/2022,01:00,39600,"19,4"
30/6/2022,01:05,39900,"19,4"
30/6/2022,01:10,40200,"19,4"
30/6/2022,01:15,40500,"19,4"
30/6/2022,01:20,40800,"19,4"
30/6/2022,01:25,41100,"19,4"
30/6/2022,01:30,41400,"19,4"
30/6/2022,01:35,41700,"19,4"
30/6/2022,01:40,42000,"19,4"
30/6/2022,01:45,42300,"19,4"
30/6/2022,01:50,42600,"19,4"
30/6/2022,01:55,42900,"19,4"
30/6/2022,02:00,43200,"19,4"
30/6/2022,02:05,43500,"19,4"
30/6/2022,02:10,43800,"19,4"
30/6/2022,02:15,44100,"19,4"
30/6/2022,02:20,44400,"19,4"
30/6/2022,02:25,44700,"19,4"
30/6/2022,02:30,45000,"19,4"
30/6/2022,02:35,45300,"19,4"
30/6/2022,02:40,45600,"19,4"
30/6/2022,02:45,45900,"19,4"
30/6/2022,02:50,46200,"19,4"
30/6/2022,02:55,46500,"19,4"
30/6/2022,03:00,46800,"19,4"
30/6/2022,03:05,47100,"19,4"
30/6/2022,03:10,47400,"19,4"
30/6/2022,03:15,47700,"19,4"
30/6/2022,03:20,48000,"19,4"
30/6/2022,03:25,48300,"19,4"
30/6/2022,03:30,48600,"19,4"
30/6/2022,03:35,48900,"19,4"
30/6/2022,03:40,49200,"19,4"
30/6/2022,03:45,49500,"19,4"
30/6/2022,03:50,49800,"19,4"
30/6/2022,03:55,50100,"19,4"
30/6/2022,04:00,50400,"19,4"
30/6/2022,04:05,50700,"19,4"
30/6/2022,04:10,51000,"19,4"
30/6/2022,04:15,51300,"19,4"
30/6/2022,04:20,51600,"19,4"
30/6/2022,04:25,51900,"19,4"
30/6/2022,04:30,52200,"19,4"
30/6/2022,04:35,52500,"19,4"
30/6/2022,04:40,52800,"19,4"
30/6/2022,04:45,53100,"19,4"
30/6/2022,04:50,53400,"19,4"
30/6/2022,04:55,53700,"19,4"
30/6/2022,05:00,54000,"19,4"
30/6/2022,05:05,54300,"19,4"
30/6/2022,05:10,54600,"19,4"
30/6/2022,05:15,54900,"19,39"
30/6/2022,05:20,55200,"19,39"
30/6/2022,05:25,55500,"19,39"
30/6/2022,05:30,55800,"19,39"
30/6/2022,05:35,56100,"19,39"
30/6/2022,05:40,56400,"19,39"
30/6/2022,05:45,56700,"19,39"
30/6/2022,05:50,57000,"19,39"
30/6/2022,05:55,57300,"19,39"
30/6/2022,06:00,57600,"19,39"
30/6/2022,06:05,57900,"19,39"
30/6/2022,06:10,58200,"19,39"
30/6/2022,06:15,58500,"19,39"
30/6/2022,06:20,58800,"19,39"
30/6/2022,06:25,59100,"19,39"
30/6/2022,06:30,59400,"19,39"
30/6/2022,06:35,59700,"19,39"
30/6/2022,06:40,60000,"19,39"
30/6/2022,06:45,60300,"19,39"
30/6/2022,06:50,60600,"19,39"
30/6/2022,06:55,60900,"19,39"
30/6/2022,07:00,61200,"19,39"
30/6/2022,07:05,61500,"19,39"
30/6/2022,07:10,61800,"19,39"
30/6/2022,07:15,62100,"19,39"
30/6/2022,07:20,62400,"19,39"
30/6/2022,07:25,62699,"19,39"
30/6/2022,07:30,62999,"19,39"
30/6/2022,07:35,63299,"19,39"
30/6/2022,07:40,63599,"19,39"
30/6/2022,07:45,63899,"19,39"
30/6/2022,07:50,64199,"19,39"
30/6/2022,07:55,64499,"19,39"
30/6/2022,08:00,64799,"19,39"
30/6/2022,08:05,65099,"19,39"
30/6/2022,08:10,65399,"19,39"
30/6/2022,08:15,65699,"19,39"
30/6/2022,08:20,65999,"19,39"
30/6/2022,08:25,66299,"19,39"
30/6/2022,08:30,66599,"19,39"
30/6/2022,08:35,66899,"19,39"
30/6/2022,08:40,67199,"19,39"
30/6/2022,08:45,67499,"19,38"
30/6/2022,08:50,67799,"19,38"
30/6/2022,08:55,68099,"19,38"
30/6/2022,09:00,68399,"19,38"
30/6/2022,09:05,68699,"19,38"
30/6/2022,09:10,68999,"19,38"
30/6/2022,09:15,69299,"19,38"
30/6/2022,09:20,69599,"19,38"
30/6/2022,09:25,69899,"19,38"
30/6/2022,09:30,70199,"19,38"
30/6/2022,09:35,70499,"19,38"
30/6/2022,09:40,70799,"19,38"
30/6/2022,09:45,71099,"19,38"
30/6/2022,09:50,71399,"19,38"
30/6/2022,09:55,71699,"19,38"
30/6/2022,10:00,71999,"19,38"
30/6/2022,10:05,72299,"19,38"
30/6/2022,10:10,72599,"19,38"
30/6/2022,10:15,72899,"19,38"
30/6/2022,10:20,73199,"19,38"
30/6/2022,10:25,73499,"19,38"
30/6/2022,10:30,73799,"19,38"
30/6/2022,10:35,74099,"19,38"
30/6/2022,10:40,74399,"19,38"
30/6/2022,10:45,74699,"19,38"
30/6/2022,10:50,74999,"19,38"
30/6/2022,10:55,75299,"19,38"
30/6/2022,11:00,75599,"19,37"
30/6/2022,11:05,75899,"19,37"
30/6/2022,11:10,76199,"19,37"
30/6/2022,11:15,76499,"19,37"
30/6/2022,11:20,76799,"19,37"
30/6/2022,11:25,77099,"19,37"
30/6/2022,11:30,77399,"19,37"
30/6/2022,11:35,77699,"19,37"
30/6/2022,11:40,77999,"19,37"
30/6/2022,11:45,78299,"19,37"
30/6/2022,11:50,78599,"19,37"
30/6/2022,11:55,78899,"19,37"
30/6/2022,12:00,79199,"19,37"
30/6/2022,12:05,79499,"19,37"
30/6/2022,12:10,79799,"19,37"
30/6/2022,12:15,80099,"19,37"
30/6/2022,12:20,80399,"19,37"
30/6/2022,12:25,80699,"19,37"
30/6/2022,12:30,80999,"19,37"
30/6/2022,12:35,81299,"19,37"
30/6/2022,12:40,81599,"19,37"
30/6/2022,12:45,81899,"19,37"
30/6/2022,12:50,82199,"19,37"
30/6/2022,12:55,82499,"19,37"
30/6/2022,13:00,82799,"19,37"
30/6/2022,13:05,83099,"19,37"
30/6/2022,13:10,83399,"19,37"
30/6/2022,13:15,83699,"19,37"
30/6/2022,13:20,83999,"19,37"
30/6/2022,13:25,84299,"19,37"
30/6/2022,13:30,84599,"19,37"
30/6/2022,13:35,84899,"19,37"
30/6/2022,13:40,85199,"19,36"
30/6/2022,13:45,85499,"19,36"
30/6/2022,13:50,85799,"19,36"
30/6/2022,13:55,86099,"19,36"
30/6/2022,14:00,86399,"19,36"
30/6/2022,14:05,86699,"19,36"
30/6/2022,14:10,86999,"19,36"
30/6/2022,14:15,87299,"19,36"
30/6/2022,14:20,87599,"19,36"
30/6/2022,14:25,87899,"19,36"
30/6/2022,14:30,88199,"19,36"
30/6/2022,14:35,88499,"19,36"
30/6/2022,14:40,88799,"19,36"
30/6/2022,14:45,89099,"19,36"
30/6/2022,14:50,89399,"19,36"
30/6/2022,14:55,89699,"19,36"
30/6/2022,15:00,89999,"19,36"
30/6/2022,15:05,90299,"19,36"
30/6/2022,15:10,90599,"19,36"
30/6/2022,15:15,90899,"19,36"
30/6/2022,15:20,91199,"19,36"
30/6/2022,15:25,91499,"19,36"
30/6/2022,15:30,91799,"19,36"
30/6/2022,15:35,92099,"19,36"
30/6/2022,15:40,92399,"19,36"
30/6/2022,15:45,92699,"19,36"
30/6/2022,15:50,92999,"19,36"
30/6/2022,15:55,93299,"19,36"
30/6/2022,16:00,93599,"19,35"
30/6/2022,16:05,93899,"19,35"
30/6/2022,16:10,94199,"19,35"
30/6/2022,16:15,94499,"19,35"
30/6/2022,16:20,94799,"19,35"
30/6/2022,16:25,95099,"19,35"
30/6/2022,16:30,95399,"19,35"
30/6/2022,16:35,95699,"19,35"
30/6/2022,16:40,95999,"19,35"
30/6/2022,16:45,96299,"19,35"
30/6/2022,16:50,96599,"19,35"
30/6/2022,16:55,96899,"19,35"
30/6/2022,17:00,97199,"19,35"
30/6/2022,17:05,97499,"19,35"
30/6/2022,17:10,97799,"19,35"
30/6/2022,17:15,98099,"19,35"
30/6/2022,17:20,98399,"19,35"
30/6/2022,17:25,98699,"19,35"
