date,time,sec,weight (kg)
13/5/2022,17:43,0,"20,09"
13/5/2022,17:48,300,"20,09"
13/5/2022,17:53,600,"20,09"
13/5/2022,17:58,900,"20,09"
13/5/2022,18:03,1200,"20,09"
13/5/2022,18:08,1500,"20,09"
13/5/2022,18:13,1800,"20,09"
13/5/2022,18:18,2100,"20,09"
13/5/2022,18:23,2400,"20,09"
13/5/2022,18:28,2700,"20,09"
13/5/2022,18:33,3000,"20,09"
13/5/2022,18:38,3300,"20,09"
13/5/2022,18:43,3600,"20,09"
13/5/2022,18:48,3900,"20,09"
13/5/2022,18:53,4200,"20,09"
13/5/2022,18:58,4500,"20,09"
13/5/2022,19:03,4800,"20,09"
13/5/2022,19:08,5100,"20,09"
13/5/2022,19:13,5400,"20,09"
13/5/2022,19:18,5700,"20,09"
13/5/2022,19:23,6000,"20,09"
13/5/2022,19:28,6300,"20,09"
13/5/2022,19:33,6600,"20,09"
13/5/2022,19:38,6900,"20,09"
13/5/2022,19:43,7200,"20,09"
13/5/2022,19:48,7500,"20,09"
13/5/2022,19:53,7800,"20,09"
13/5/2022,19:58,8100,"20,09"
13/5/2022,20:03,8400,"20,09"
13/5/2022,20:08,8700,"20,09"
13/5/2022,20:13,9000,"20,09"
13/5/2022,20:18,9300,"20,09"
13/5/2022,20:23,9600,"20,09"
13/5/2022,20:28,9900,"20,09"
13/5/2022,20:33,10200,"20,09"
13/5/2022,20:38,10500,"20,09"
13/5/2022,20:43,10800,"20,09"
13/5/2022,20:48,11100,"20,09"
13/5/2022,20:53,11400,"20,09"
13/5/2022,20:58,11700,"20,09"
13/5/2022,21:03,12000,"20,09"
13/5/2022,21:08,12300,"20,09"
13/5/2022,21:13,12600,"20,09"
13/5/2022,21:18,12900,"20,09"
13/5/2022,21:23,13200,"20,09"
13/5/2022,21:28,13500,"20,09"
13/5/2022,21:33,13800,"20,09"
13/5/2022,21:38,14100,"20,09"
13/5/2022,21:43,14400,"20,09"
13/5/2022,21:48,14700,"20,09"
13/5/2022,21:53,15000,"20,09"
13/5/2022,21:58,15300,"20,09"
13/5/2022,22:03,15600,"20,09"
13/5/2022,22:08,15900,"20,09"
13/5/2022,22:13,16200,"20,09"
13/5/2022,22:18,16500,"20,09"
13/5/2022,22:23,16800,"20,09"
13/5/2022,22:28,17100,"20,09"
13/5/2022,22:33,17400,"20,09"
13/5/2022,22:38,17700,"20,09"
13/5/2022,22:43,18000,"20,09"
13/5/2022,22:48,18300,"20,09"
13/5/2022,22:53,18600,"20,09"
13/5/2022,22:58,18900,"20,09"
13/5/2022,23:03,19200,"20,09"
13/5/2022,23:08,19500,"20,09"
