date,time,sec,weight (kg)
31/5/2022,16:25,0,"19,61"
31/5/2022,16:30,300,"19,61"
31/5/2022,16:35,600,"19,61"
31/5/2022,16:40,900,"19,61"
31/5/2022,16:45,1200,"19,61"
31/5/2022,16:50,1500,"19,61"
31/5/2022,16:55,1800,"19,61"
31/5/2022,17:00,2100,"19,61"
31/5/2022,17:05,2400,"19,61"
31/5/2022,17:10,2700,"19,61"
31/5/2022,17:15,3000,"19,61"
31/5/2022,17:20,3300,"19,61"
31/5/2022,17:25,3600,"19,61"
31/5/2022,17:30,3900,"19,61"
31/5/2022,17:35,4200,"19,61"
31/5/2022,17:40,4500,"19,61"
31/5/2022,17:45,4800,"19,61"
31/5/2022,17:50,5100,"19,61"
31/5/2022,17:55,5400,"19,61"
31/5/2022,18:00,5700,"19,61"
31/5/2022,18:05,6000,"19,61"
31/5/2022,18:10,6300,"19,6"
31/5/2022,18:15,6600,"19,61"
31/5/2022,18:20,6900,"19,6"
31/5/2022,18:25,7200,"19,6"
31/5/2022,18:30,7500,"19,6"
31/5/2022,18:35,7800,"19,6"
31/5/2022,18:40,8100,"19,6"
31/5/2022,18:45,8400,"19,6"
31/5/2022,18:50,8700,"19,6"
31/5/2022,18:55,9000,"19,6"
31/5/2022,19:00,9300,"19,6"
31/5/2022,19:05,9600,"19,6"
31/5/2022,19:10,9900,"19,6"
31/5/2022,19:15,10200,"19,6"
31/5/2022,19:20,10500,"19,6"
31/5/2022,19:25,10800,"19,6"
31/5/2022,19:30,11100,"19,6"
31/5/2022,19:35,11400,"19,6"
31/5/2022,19:40,11700,"19,6"
31/5/2022,19:45,12000,"19,6"
31/5/2022,19:50,12300,"19,6"
31/5/2022,19:55,12600,"19,6"
31/5/2022,20:00,12900,"19,6"
31/5/2022,20:05,13200,"19,6"
31/5/2022,20:10,13500,"19,6"
31/5/2022,20:15,13800,"19,6"
31/5/2022,20:20,14100,"19,6"
31/5/2022,20:25,14400,"19,6"
31/5/2022,20:30,14700,"19,6"
31/5/2022,20:35,15000,"19,6"
31/5/2022,20:40,15300,"19,6"
31/5/2022,20:45,15600,"19,6"
31/5/2022,20:50,15900,"19,6"
31/5/2022,20:55,16200,"19,6"
31/5/2022,21:00,16500,"19,6"
31/5/2022,21:05,16800,"19,6"
31/5/2022,21:10,17100,"19,6"
31/5/2022,21:15,17400,"19,6"
31/5/2022,21:20,17700,"19,6"
31/5/2022,21:25,18000,"19,6"
31/5/2022,21:30,18300,"19,59"
31/5/2022,21:35,18600,"19,59"
31/5/2022,21:40,18900,"19,59"
31/5/2022,21:45,19200,"19,59"
31/5/2022,21:50,19500,"19,59"
31/5/2022,21:55,19800,"19,59"
31/5/2022,22:00,20100,"19,59"
31/5/2022,22:05,20400,"19,59"
31/5/2022,22:10,20700,"19,59"
31/5/2022,22:15,21000,"19,59"
31/5/2022,22:20,21300,"19,59"
31/5/2022,22:25,21600,"19,59"
31/5/2022,22:30,21900,"19,59"
31/5/2022,22:35,22200,"19,59"
31/5/2022,22:40,22500,"19,59"
31/5/2022,22:45,22800,"19,59"
31/5/2022,22:50,23100,"19,59"
31/5/2022,22:55,23400,"19,59"
31/5/2022,23:00,23700,"19,59"
31/5/2022,23:05,24000,"19,59"
31/5/2022,23:10,24300,"19,59"
31/5/2022,23:15,24600,"19,59"
31/5/2022,23:20,24900,"19,59"
31/5/2022,23:25,25200,"19,59"
31/5/2022,23:30,25500,"19,59"
31/5/2022,23:35,25800,"19,59"
31/5/2022,23:40,26100,"19,59"
31/5/2022,23:45,26400,"19,59"
31/5/2022,23:50,26700,"19,59"
31/5/2022,23:55,27000,"19,59"
1/6/2022,00:00,27300,"19,59"
1/6/2022,00:05,27600,"19,59"
1/6/2022,00:10,27900,"19,59"
1/6/2022,00:15,28200,"19,59"
1/6/2022,00:20,28500,"19,59"
1/6/2022,00:25,28800,"19,59"
1/6/2022,00:30,29100,"19,59"
1/6/2022,00:35,29400,"19,59"
